Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4Qcpr9IwXwanHPF8MFvNE6,"Nightshift In Blue","Twirligig","Jonti",2011-10-18,254746,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.589,0.866,11,-4.441,0,0.158,0.192,0.00647,0.0666,0.447,110.312,4
spotify:track:0xRYIJu8kMLqyurvoiQFHs,"Firework Spraying Moon","Twirligig","Jonti",2011-10-18,113360,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.47,0.833,5,-6.407,0,0.512,0.313,0.000421,0.21,0.847,83.012,3
spotify:track:4hU0y0Otd2ugokkQB9FZf5,"Hornets Nest","Twirligig","Jonti",2011-10-18,128960,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.671,0.91,10,-5.901,1,0.141,0.157,0.00576,0.199,0.646,91.946,4
spotify:track:30y2s0SMGDWqhpe9u5F3Sq,"Nodlews Way Home","Twirligig","Jonti",2011-10-18,123240,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.717,0.952,10,-4.857,1,0.101,0.143,0.167,0.58,0.962,172.496,3
spotify:track:5ceuzB5Yqqaah8z1lsXr7x,"Batmilk","Twirligig","Jonti",2011-10-18,145386,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.64,0.505,5,-5.493,0,0.0298,0.888,0.364,0.196,0.151,118.15,4
spotify:track:2ceXO7L9rX3KQnh3NC1zWK,"Cyclic Love","Twirligig","Jonti",2011-10-18,149466,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.694,0.786,11,-4.768,0,0.308,0.396,0.00000493,0.168,0.816,95.918,4
spotify:track:4NkxrwULCXqNfyWLxFpCL2,"Spooky Sport","Twirligig","Jonti",2011-10-18,165040,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.209,0.955,9,-6.197,1,0.232,0.0818,0.00319,0.369,0.209,80.479,4
spotify:track:7lCvjuIvUyuA0oxJ6N7ZAH,"Koi Moons Daughter","Twirligig","Jonti",2011-10-18,80480,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.251,0.424,2,-7.265,1,0.0335,0.463,0.00442,0.307,0.173,121.331,5
spotify:track:73FjwKyLXXbW7qszYNLfqq,"Twirligig","Twirligig","Jonti",2011-10-18,175546,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.372,0.805,1,-6.412,1,0.133,0.00101,0.208,0.0945,0.572,155.986,4
spotify:track:20rH57zNFo3ETWZpmqPEdH,"Begone Slumber","Twirligig","Jonti",2011-10-18,124106,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.745,0.67,5,-6.863,1,0.165,0.138,0.0241,0.116,0.766,96.998,4
spotify:track:4bVjl50uPYnCBTsTlpjI4u,"Frightened Mice (Dots)","Twirligig","Jonti",2011-10-18,131320,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.826,0.961,1,-4.976,0,0.0983,0.0959,0.718,0.0731,0.718,143.969,4
spotify:track:40qCG0LFxHLVepMKXzzw2m,"Snickers Hiss","Twirligig","Jonti",2011-10-18,106346,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.53,0.861,9,-7.615,1,0.282,0.00559,0.748,0.333,0.604,160.068,3
spotify:track:12EogRMo93tmimhsHDrrdB,"Solar Smoking Dogs (Lucia)","Twirligig","Jonti",2011-10-18,172120,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.351,0.828,6,-5.858,1,0.347,0.157,0.164,0.15,0.129,190.218,4
spotify:track:0HsFjgHVt9CXg4J4pICcZL,"Pássaros","Twirligig","Jonti",2011-10-18,117520,0,false,,2012-02-28T12:06:30Z,"","Stones Throw Records",0.688,0.32,6,-7.675,1,0.0559,0.787,0.425,0.0881,0.358,105.534,5
