Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:22yDdYNVCnSRqxmbDgiF4A,"Wonderlust","Wonderlust","Kid Wave",2015-06-01,174708,0,false,5forty,2016-02-04T18:23:41Z,"","Heavenly Recordings",0.385,0.791,9,-6.222,1,0.047,0.0851,0.0473,0.278,0.494,120.153,4
spotify:track:5VVvPgmteMOvXq5lik2dKo,"Gloom","Wonderlust","Kid Wave",2015-06-01,203152,0,false,5forty,2016-02-04T18:23:41Z,"","Heavenly Recordings",0.423,0.922,4,-6.464,1,0.051,0.00762,0.0608,0.147,0.688,138.931,4
spotify:track:6qK6hG0G1bQA8mcv8jNnEl,"Honey","Wonderlust","Kid Wave",2015-06-01,216063,0,false,5forty,2016-02-04T18:23:41Z,"","Heavenly Recordings",0.429,0.785,4,-7.106,1,0.0438,0.00197,0.154,0.242,0.569,122.037,4
spotify:track:3mUHgg2STkfThiltYO0p2o,"Best Friend","Wonderlust","Kid Wave",2015-06-01,201713,0,false,5forty,2016-02-04T18:23:41Z,"","Heavenly Recordings",0.358,0.772,4,-6.967,1,0.0467,0.0146,0.033,0.155,0.552,114.409,4
spotify:track:1YxoHiq2KabeRgeusGnBCa,"Walk On Fire","Wonderlust","Kid Wave",2015-06-01,297541,0,false,5forty,2016-02-04T18:23:41Z,"","Heavenly Recordings",0.219,0.5,4,-8.434,1,0.032,0.476,0.189,0.117,0.0647,180.053,4
spotify:track:1QlVEL3Y75KcoDApea4mf7,"Baby Tiger","Wonderlust","Kid Wave",2015-06-01,190857,0,false,5forty,2016-02-04T18:23:41Z,"","Heavenly Recordings",0.37,0.852,4,-6.573,1,0.0502,0.00373,0.00873,0.115,0.522,113.131,4
spotify:track:21BIagYzSXQcYg8M7C1sRP,"All I Want","Wonderlust","Kid Wave",2015-06-01,233431,0,false,5forty,2016-02-04T18:23:41Z,"","Heavenly Recordings",0.415,0.873,6,-5.622,1,0.0474,0.00352,0.569,0.145,0.61,120.023,4
spotify:track:2njpovUNHLNgihdBLibnmX,"Sway","Wonderlust","Kid Wave",2015-06-01,219801,0,false,5forty,2016-02-04T18:23:41Z,"","Heavenly Recordings",0.408,0.666,1,-6.531,1,0.0306,0.0131,0.00596,0.115,0.497,110.059,3
spotify:track:6jRPbyISUGL0Ou4HvwPRKj,"Freeride","Wonderlust","Kid Wave",2015-06-01,202084,0,false,5forty,2016-02-04T18:23:41Z,"","Heavenly Recordings",0.41,0.68,4,-6.52,1,0.0372,0.00145,0.0103,0.225,0.451,117.045,4
spotify:track:37pvFLYSSHDY30aabn2Bpr,"I’m Trying To Break Your Heart","Wonderlust","Kid Wave",2015-06-01,214066,0,false,5forty,2016-02-04T18:23:41Z,"","Heavenly Recordings",0.403,0.872,2,-6.105,1,0.0544,0.0021,0.000187,0.198,0.582,113.996,4
spotify:track:7D7Xy1y3H34Ed3qpYyq03V,"Dreaming On","Wonderlust","Kid Wave",2015-06-01,219337,0,false,5forty,2016-02-04T18:23:41Z,"","Heavenly Recordings",0.143,0.308,7,-12.397,1,0.0346,0.475,0.255,0.0803,0.128,101.863,4
