Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6MgBXLUOqSEPe0uiyCvVMD,"Intro","Ninja Tune XX Presents King Cannibal: The Way of The Ninja","King Cannibal",2010-11-15,115333,0,false,5forty,2012-07-25T01:19:34Z,"","Ninja Tune",0.47,0.392,1,-18.144,1,0.376,0.847,0.0611,0.159,0.311,99.983,4
spotify:track:5AlYTmddWVrg122vnwvuBr,"The Soundboy And The Terrorist","Ninja Tune XX Presents King Cannibal: The Way of The Ninja","King Cannibal",2010-11-15,239333,2,false,5forty,2012-07-25T01:19:34Z,"","Ninja Tune",0.715,0.63,1,-9.092,0,0.249,0.00436,0.00568,0.702,0.593,166.721,4
spotify:track:7pimKQ53sUAeILxg6TD5O8,"Bring That Back","Ninja Tune XX Presents King Cannibal: The Way of The Ninja","King Cannibal",2010-11-15,202306,2,false,5forty,2012-07-25T01:19:34Z,"","Ninja Tune",0.689,0.711,9,-9.444,1,0.251,0.00631,0.0241,0.0435,0.439,95.39,4
spotify:track:7B059TIilqZcVJm8wmJWMR,"Big Tunes, Big Hits","Ninja Tune XX Presents King Cannibal: The Way of The Ninja","King Cannibal",2010-11-15,81600,0,false,5forty,2012-07-25T01:19:34Z,"","Ninja Tune",0.737,0.803,7,-9.904,1,0.159,0.291,0.0804,0.682,0.635,98.672,4
spotify:track:1mO6ukyNuyr9d7cDLdc2SR,"The Lesson","Ninja Tune XX Presents King Cannibal: The Way of The Ninja","King Cannibal",2010-11-15,154426,1,false,5forty,2012-07-25T01:19:34Z,"","Ninja Tune",0.792,0.86,8,-9.781,1,0.0634,0.0295,0.536,0.399,0.387,114.984,4
spotify:track:2kPawKgSHrNQ4A2qb4qTEL,"Dirty Mouth Music","Ninja Tune XX Presents King Cannibal: The Way of The Ninja","King Cannibal",2010-11-15,242706,0,false,5forty,2012-07-25T01:19:34Z,"","Ninja Tune",0.488,0.628,6,-12.225,1,0.0406,0.000235,0.367,0.349,0.315,122.167,4
spotify:track:7kNvaDNxfH6jWkpx5jOwyd,"Let's Get Tight","Ninja Tune XX Presents King Cannibal: The Way of The Ninja","King Cannibal",2010-11-15,284093,1,false,5forty,2012-07-25T01:19:34Z,"","Ninja Tune",0.755,0.762,1,-9.689,1,0.146,0.00663,0.0463,0.811,0.263,124.031,4
spotify:track:2ZSqghd7MFtn5kHt9jZePU,"Generation Bleep","Ninja Tune XX Presents King Cannibal: The Way of The Ninja","King Cannibal",2010-11-15,169040,0,false,5forty,2012-07-25T01:19:34Z,"","Ninja Tune",0.662,0.643,1,-12.622,1,0.0712,0.0138,0.0263,0.354,0.318,125.02,4
spotify:track:7C6CnQIXYP5z9FfUoTGo9d,"Welcome To Our Ageing Sideshow","Ninja Tune XX Presents King Cannibal: The Way of The Ninja","King Cannibal",2010-11-15,401493,0,false,5forty,2012-07-25T01:19:34Z,"","Ninja Tune",0.486,0.501,0,-12.556,1,0.056,0.0385,0.105,0.388,0.18,124.775,4
spotify:track:5F8JKy1kq5r0ueeS1BI3mK,"Darkness Creeps But The Nighttime Crawls","Ninja Tune XX Presents King Cannibal: The Way of The Ninja","King Cannibal",2010-11-15,234840,0,false,5forty,2012-07-25T01:19:34Z,"","Ninja Tune",0.603,0.65,8,-12.053,1,0.126,0.0163,0.0393,0.337,0.35,140.028,4
spotify:track:4hT2vWKpA8spxGzkozdeeY,"We Keep It Straight Bombing","Ninja Tune XX Presents King Cannibal: The Way of The Ninja","King Cannibal",2010-11-15,288000,0,false,5forty,2012-07-25T01:19:34Z,"","Ninja Tune",0.667,0.691,1,-12.193,1,0.0721,0.00207,0.0335,0.649,0.344,139.995,4
