Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0mwbDSyt0eOlVtpjpeQo8Y,"Untitled Reversion","Koch","Lee Gamble",2014-09-26,178068,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.241,0.23,11,-21.041,0,0.0436,0.607,0.761,0.105,0.0639,88.06,4
spotify:track:2rZsNJwk6AVfYGKWZKMH2j,"Motor System","Koch","Lee Gamble",2014-09-26,269680,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.721,0.91,4,-7.959,0,0.081,0.0000153,0.552,0.128,0.0564,135.026,4
spotify:track:2FqYFAUcmUnJOqOjbjzeH0,"You Concrete","Koch","Lee Gamble",2014-09-26,135768,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.116,0.506,0,-17.014,0,0.142,0.504,0.917,0.157,0.0397,85.973,4
spotify:track:5gbXk3qpICj8PHB9WlwxAj,"Nueme","Koch","Lee Gamble",2014-09-26,443417,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.728,0.281,2,-20.31,1,0.181,0.57,0.442,0.115,0.285,106.542,4
spotify:track:17plk9b3dgbSRCEUkBYivo,"Oneiric Contur","Koch","Lee Gamble",2014-09-26,301062,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.382,0.518,1,-23.523,1,0.0605,0.704,0.931,0.113,0.179,59.294,4
spotify:track:6lgISNxYACduE5fgtrkpzm,"Head Model","Koch","Lee Gamble",2014-09-26,217894,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.343,0.331,8,-24.099,1,0.0505,0.679,0.932,0.111,0.171,119.996,5
spotify:track:5MnrX3KF5XotILMgPxOlc5,"HMix","Koch","Lee Gamble",2014-09-26,229199,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.747,0.531,11,-13.992,0,0.216,0.569,0.588,0.638,0.203,125.66,3
spotify:track:5WfHrdNHeMg5GxklQqo5nj,"Frame Drag","Koch","Lee Gamble",2014-09-26,379293,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.11,0.462,4,-17.138,1,0.0405,0.806,0.892,0.155,0.153,82.796,4
spotify:track:1EVkwC8491vzag2lleqg4n,"Voxel City Spirals","Koch","Lee Gamble",2014-09-26,330190,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.502,0.587,1,-14.62,1,0.127,0.474,0.037,0.262,0.243,150.96,4
spotify:track:1K6XydmudPkjNAbsNvWR5y,"Yehudi Lights Over Tottenham","Koch","Lee Gamble",2014-09-26,409500,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.277,0.436,1,-16.828,1,0.0781,0.508,0.892,0.0822,0.0444,127.214,3
spotify:track:4pVw1zRtxLBg3B0I6Ki6M8,"Jove Layup..","Koch","Lee Gamble",2014-09-26,533678,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.547,0.96,1,-13.128,0,0.0519,0.0123,0.885,0.169,0.558,128.692,4
spotify:track:6EQf1wG7XM1yRiDJMRpvZl,"Ornith-Mimik","Koch","Lee Gamble",2014-09-26,188866,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.608,0.715,1,-16.333,1,0.266,0.000879,0.939,0.0671,0.418,136.926,4
spotify:track:1Ai96ZNR04sWvCAODPo59n,"Caudata","Koch","Lee Gamble",2014-09-26,305745,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.582,0.202,1,-20.395,1,0.043,0.802,0.897,0.122,0.353,126.277,4
spotify:track:2xrMoBfR3BWydsAdHrDBGz,"Flatland","Koch","Lee Gamble",2014-09-26,93622,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.245,0.22,10,-24.65,1,0.057,0.264,0.973,0.106,0.108,118.672,4
spotify:track:7jY1yRefNd49tsasbP8jOR,"Gillsman","Koch","Lee Gamble",2014-09-26,294007,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.904,0.269,5,-16.733,0,0.14,0.0451,0.842,0.113,0.299,127.438,4
spotify:track:2qoi0Qce1af1bNovCfKAPo,"6EQUJ5-7","Koch","Lee Gamble",2014-09-26,229920,0,false,5forty,2014-09-21T23:54:08Z,"idm,experimental,dub techno","PAN",0.473,0.445,1,-14.918,0,0.234,0.00105,0.597,0.0996,0.102,83.561,4
