Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5nyEfM5z2hhB24AK1qFS2A,"Si Si Puede - Lack of Afro Remix","Lack of Afro Presents: One Way (Remixes & Rarities)","Ray Camacho & The Teardrops;Lack Of Afro",2012-04-30,237426,0,false,5forty,2013-11-22T22:37:26Z,"funk,jazz funk,acid jazz","Freestyle Records",0.738,0.961,7,-7.43,1,0.089,0.00845,0.755,0.129,0.606,99.148,4
spotify:track:3u5e0J6mCkU0WFe3B5YEzB,"Bossa For Bebo - Lack of Afro Remix","Lack of Afro Presents: One Way (Remixes & Rarities)","Flow Dynamics;Lack Of Afro",2012-04-30,242013,0,false,5forty,2013-11-22T22:37:26Z,"funk,acid jazz,jazz funk","Freestyle Records",0.758,0.929,7,-8.882,1,0.0423,0.00514,0.162,0.0791,0.614,104.419,4
spotify:track:4kBvBZLar30DozqDLurz7v,"First Break","Lack of Afro Presents: One Way (Remixes & Rarities)","Lack Of Afro",2012-04-30,271013,0,false,5forty,2013-11-22T22:37:26Z,"funk,jazz funk,acid jazz","Freestyle Records",0.61,0.783,4,-9.48,0,0.0369,0.0985,0.843,0.317,0.674,99.995,4
spotify:track:1MrlPTLBWboj3ykfMMrEh2,"It's Real - Lack of Afro Remix","Lack of Afro Presents: One Way (Remixes & Rarities)","Hot 8 Brass Band;Lack Of Afro",2012-04-30,330013,0,false,5forty,2013-11-22T22:37:26Z,"brass band,funk,jazz funk,acid jazz","Freestyle Records",0.644,0.957,7,-6.693,1,0.0688,0.163,0.00874,0.11,0.709,109.008,4
spotify:track:1KiU1wpIdKVDdMsDJ4xbMM,"Sugar Cane - Lack of Afro Remix","Lack of Afro Presents: One Way (Remixes & Rarities)","The Bahama Soul Club;Lack Of Afro",2012-04-30,272386,0,false,5forty,2013-11-22T22:37:26Z,"nu jazz,jazz house,acid jazz,latin jazz,jazz funk,funk","Freestyle Records",0.701,0.861,1,-6.577,1,0.144,0.0421,0.174,0.33,0.643,98.018,4
spotify:track:0A4WsdiUw7gI3eFo2Dd6Vx,"Roderigo - Natural Self Remix","Lack of Afro Presents: One Way (Remixes & Rarities)","Lack Of Afro;Natural Self",2012-04-30,224653,0,false,5forty,2013-11-22T22:37:26Z,"funk,jazz funk,acid jazz,nu jazz","Freestyle Records",0.857,0.807,10,-5.922,0,0.108,0.000618,0.76,0.044,0.558,110.379,4
spotify:track:61fmNuFZeicuEjdxtLybb6,"On My Way","Lack of Afro Presents: One Way (Remixes & Rarities)","Lack Of Afro;Herbal T",2012-04-30,297333,0,false,5forty,2013-11-22T22:37:26Z,"funk,jazz funk,acid jazz","Freestyle Records",0.586,0.944,1,-6.923,1,0.0663,0.0147,0.0122,0.0831,0.698,110.999,4
spotify:track:6lyKjrMKCg5I5AGxDkW86W,"Mogomake - Lack of Afro Remix","Lack of Afro Presents: One Way (Remixes & Rarities)","Banderas;Bouloukou;Lack Of Afro",2012-04-30,273333,0,false,5forty,2013-11-22T22:37:26Z,"funk,jazz funk,acid jazz","Freestyle Records",0.722,0.879,5,-5.912,0,0.0314,0.166,0.00122,0.398,0.854,125.003,4
spotify:track:28vdRxahmEy1cnqzJ9w4RO,"Daddy Brings His A Game","Lack of Afro Presents: One Way (Remixes & Rarities)","Lack Of Afro",2012-04-30,184853,0,false,5forty,2013-11-22T22:37:26Z,"funk,jazz funk,acid jazz","Freestyle Records",0.595,0.927,7,-9.972,1,0.149,0.0114,0.838,0.206,0.601,95.311,3
spotify:track:7D6DAYfLzujgjLsu0LsZ0S,"Squeeze Me - Lack of Afro Remix","Lack of Afro Presents: One Way (Remixes & Rarities)","Kraak & Smaak;Ben Westbeech;Lack Of Afro",2012-04-30,269306,0,false,5forty,2013-11-22T22:37:26Z,"nu disco,disco house,funk,jazz funk,acid jazz","Freestyle Records",0.759,0.93,6,-7.496,1,0.0431,0.0251,0.00000419,0.052,0.883,112.966,4
