Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2IylguIokLMTagCSWe0Ym6,"Into The Glare","Into The Glare","Ah! Kosmos;Hainbach",2025-01-31,141936,34,false,,2025-08-18T17:30:23Z,"dark ambient,ambient,electroacoustic,drone,experimental","FUU",0.545,0.293,7,-12.887,1,0.0277,0.503,0.922,0.135,0.0294,133.192,4
spotify:track:0ugKbT5NQmCtjP7hYPgge7,"Abstract","Abstract","Asaph Sánchez",2024-03-31,359000,29,false,,2025-08-18T17:30:23Z,"ambient","Asaph Sánchez",0.0673,0.279,1,-14.485,1,0.0408,0.383,0.863,0.115,0.0275,75.517,1
spotify:track:2k7QrAxW8U6YwZHKmivWiZ,"Crystal Waters","Neptuno - Hypnotic Frequencies Vol. 1","Nacho Maldonado",2025-01-24,246166,27,false,,2025-08-18T17:30:23Z,"","Nacho Maldonado",0.438,0.279,0,-21.433,1,0.0326,0.35,0.895,0.108,0.052,180.053,4
spotify:track:6dpeIEtLqTxnB7rfzVvlwz,"Nocturnal","Doff","Will August Park",2024-12-06,175040,28,false,,2025-08-18T17:30:23Z,"ambient jazz,ambient","UNO NYC",0.103,0.24,6,-19.45,0,0.0354,0.884,0.905,0.0887,0.236,81.844,3
spotify:track:5bAXwSGe8VudUcZCQs8avp,"Silver","Silver","Maya Shenfeld",2022-01-05,170914,29,false,,2025-08-18T17:30:23Z,"ambient,drone,experimental","Thrill Jockey",0.172,0.194,5,-19.835,0,0.0363,0.856,0.921,0.183,0.0305,67.492,4
spotify:track:0Q7WpjZChzlK6isNOjmS37,"Like a Glacier Waiting for the Summer","Like a Glacier Waiting for the Summer","Carlos Metta",2023-09-01,593975,29,false,,2025-08-18T17:30:23Z,"","Carlos Metta",0.0946,0.184,2,-19.741,0,0.0413,0.909,0.917,0.0918,0.0362,87.882,4
spotify:track:4hWh6S1CqPU3Xrm1YwJL8k,"All These Worlds, Pt. II","All These Worlds, Pt. II","Murcof",2024-09-03,239967,29,false,,2025-08-18T17:30:23Z,"idm,dark ambient,ambient,glitch,drone,electronic classical,space music","InFiné",0.795,0.191,10,-18.698,0,0.0726,0.234,0.891,0.109,0.0668,119.96,4
spotify:track:1756DkmF0sBuCrCSs2lUUY,"Pine Trees","Silver Ladders","Mary Lattimore",2020-10-09,200362,40,false,,2025-08-18T17:30:23Z,"ambient,art pop","Ghostly International",0.518,0.0717,11,-27.488,0,0.0393,0.984,0.932,0.0911,0.31,110.767,3
spotify:track:0adafvJBGYWdq6sNgyH39q,"The Theme","Caso 63 (Banda Sonora Original)","Mowat",2024-07-02,151248,28,false,,2025-08-18T17:30:23Z,"","Beast Discos",0.168,0.0698,11,-20.001,1,0.0476,0.962,0.886,0.111,0.0372,126.215,4
spotify:track:5HbEM6W17e2vRkiARgWT29,"Analemma","Analemma","Maya Shenfeld",2024-01-10,477048,27,false,,2025-08-18T17:30:23Z,"ambient,drone,experimental","Thrill Jockey",0.157,0.0587,1,-22.316,1,0.0385,0.92,0.578,0.0837,0.0717,83.153,4
spotify:track:1LtfK8H5kL6ZsMd2JWC2KG,"th1 [evnslower]","th1 [evnslower]","Aphex Twin",2024-09-04,668246,38,false,,2025-08-18T17:30:23Z,"idm,ambient,electronica","Warp Records",0.182,0.194,10,-21.934,0,0.0392,0.916,0.768,0.098,0.031,137.758,5
spotify:track:3ohfG89N3G3Zn3xqpLI2DQ,"Subterraneans","Subterraneans","alva noto;Martin Gore;William Basinski",2022-12-16,536601,25,false,,2025-08-18T17:30:23Z,"drone,glitch,ambient,idm,minimalism,experimental,electroacoustic,synthpop,dark ambient","NOTON",0.118,0.238,11,-18.086,0,0.0324,0.7,0.943,0.104,0.0369,82.645,4
spotify:track:3zSBsvj6MWavRKfPE51395,"#19","#19","Aphex Twin",2024-06-18,614592,54,false,,2025-08-18T17:30:23Z,"idm,ambient,electronica","Warp Records",0.118,0.117,1,-23.177,1,0.0581,0.865,0.903,0.0954,0.0529,78.095,4
spotify:track:6bslbp8bb9kpX54SogOLsp,"The Boat","Ghosts","Hania Rani",2023-10-06,425600,33,false,,2025-08-18T17:30:23Z,"neoclassical,contemporary classical","Gondwana Records",0.519,0.221,4,-24.159,0,0.033,0.856,0.913,0.0999,0.47,115.102,3
spotify:track:7GL1r3EvpFiTlMN7HTG4kg,"Detransitioning","The Origin of My Depression","Uboa",2019-02-14,267333,32,false,,2025-08-18T17:30:23Z,"dark ambient,drone,industrial,experimental,noise music","Uboa",0.148,0.181,6,-13.519,0,0.0367,0.925,0.873,0.167,0.0323,80.774,4
spotify:track:5bF8VTXeEMHB44uhFF6H1n,"Duvet","Après coup","Laurie Torres",2025-02-21,222000,41,false,,2025-08-18T17:30:23Z,"ambient jazz","Tonal Union",0.431,0.0775,9,-22.908,1,0.0401,0.949,0.981,0.0965,0.0379,128,3
spotify:track:31CYUJj5f9lbQ0Qqm9PzK5,"Falling","Floating Into The Night","Julee Cruise",1989-09-12,321853,55,false,,2025-08-18T17:30:23Z,"dream pop","143/Warner Records",0.192,0.138,5,-17.135,1,0.0315,0.892,0.553,0.114,0.0757,142.187,4
spotify:track:2Ay2lOlqlXqI0iphLhb51B,"Distant Solace","Distant Solace","Ozoyo",2024-02-02,153559,29,false,,2025-08-18T17:30:23Z,"lo-fi beats,nu jazz,glitch","Threefinger",0.377,0.582,9,-8.705,0,0.0384,0.362,0.000761,0.106,0.417,94.45,4
spotify:track:6806PuNd2YyEuzjtBo1yMv,"B4 - The loves of my entire life","Everywhere at the End of Time (Stage 1)","The Caretaker",2023-12-01,244373,44,false,,2025-08-18T17:30:23Z,"","LEITER",0.312,0.169,10,-18.098,1,0.0309,0.99,0.872,0.109,0.19,79.532,4
spotify:track:4macbsL1U1qhQD9Ixj5OVa,"Dragonfly","Dragonfly","Ozoyo",2023-02-03,197142,29,false,,2025-08-18T17:30:23Z,"lo-fi beats,nu jazz,glitch","Threefinger",0.558,0.283,0,-11.984,1,0.0357,0.953,0.879,0.109,0.318,140.198,4
spotify:track:47VFticYkP3UYOroGPjjD6,"#3 (Rhubarb)","#3 (Rhubarb)","Brendan Eder Ensemble",2022-11-04,437138,34,false,,2025-08-18T17:30:23Z,"ambient jazz","Brendan Eder Ensemble",0.0697,0.0732,6,-19.77,0,0.0417,0.945,0.855,0.0997,0.0382,63.102,5
spotify:track:25didOM7sOPt7UVEcfyc92,"Lemon Day","Music for Animals","Nils Frahm",2022-09-23,1111999,30,false,,2025-08-18T17:30:23Z,"neoclassical,contemporary classical,minimalism,ambient","LEITER Verlag GmbH & Co. KG",0.113,0.276,1,-23.32,1,0.0382,0.856,0.895,0.0633,0.0391,179.971,3
spotify:track:4XL9nn0qDcLA25X88wxmrw,"Heaven Will Come","Shards","Tim Hecker",2025-02-21,288216,37,false,,2025-08-18T17:30:23Z,"drone,ambient,electroacoustic,idm,dark ambient,experimental,minimalism","kranky",0.097,0.207,0,-15.849,0,0.0399,0.701,0.946,0.0995,0.033,70.697,3
