Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3JbGoTOHD5zjMHO0PUHbTd,"Intro","Tourism","Leftfield",2012,124027,0,false,5forty,2013-08-18T04:01:07Z,"big beat,trip hop,downtempo","Field Note Records",0.158,0.294,10,-17.272,0,0.0497,0.353,0.964,0.826,0.0487,131.757,4
spotify:track:3k9GhNpKfB6g6xcrSD9vXi,"Song of Life","Tourism","Leftfield",2012,549040,0,false,5forty,2013-08-18T04:01:07Z,"big beat,trip hop,downtempo","Field Note Records",0.635,0.891,7,-8.113,0,0.0344,0.00332,0.833,0.859,0.17,130.036,4
spotify:track:7FnCQizXwIRM3f7yGj4JVz,"Black Flute","Tourism","Leftfield",2012,520720,0,false,5forty,2013-08-18T04:01:07Z,"big beat,trip hop,downtempo","Field Note Records",0.535,0.94,0,-9.144,0,0.0598,0.00208,0.919,0.897,0.165,140.019,4
spotify:track:0KPg3FITGToUAB5h0Y8LZj,"Original","Tourism","Leftfield",2012,479920,0,false,5forty,2013-08-18T04:01:07Z,"big beat,trip hop,downtempo","Field Note Records",0.494,0.786,9,-9.1,1,0.064,0.000548,0.215,0.573,0.123,172.006,4
spotify:track:6LvBWrtFhpmJp1ks1NzfCb,"Afro- Left","Tourism","Leftfield",2012,621627,0,false,5forty,2013-08-18T04:01:07Z,"big beat,trip hop,downtempo","Field Note Records",0.654,0.936,8,-8.246,1,0.0454,0.00693,0.67,0.131,0.564,135.028,4
spotify:track:73Wz2Eh3IYVuvcYp4MGKHO,"Storm 3000","Tourism","Leftfield",2012,599467,0,false,5forty,2013-08-18T04:01:07Z,"big beat,trip hop,downtempo","Field Note Records",0.63,0.736,9,-9.153,0,0.0378,0.00447,0.884,0.173,0.389,140.045,4
spotify:track:7I1OWppAq6XVVeieGMydYH,"Release the Pressure","Tourism","Leftfield",2012,554200,0,false,5forty,2013-08-18T04:01:07Z,"big beat,trip hop,downtempo","Field Note Records",0.673,0.928,1,-8.221,0,0.0406,0.021,0.114,0.839,0.464,110.011,4
spotify:track:3D4hc0Sxxa699ZzAtpDy1M,"Inspection - Check One","Tourism","Leftfield",2012,614000,0,false,5forty,2013-08-18T04:01:07Z,"big beat,trip hop,downtempo","Field Note Records",0.63,0.846,5,-8.688,1,0.0492,0.0129,0.786,0.962,0.244,106.005,4
spotify:track:2TN2n4YqyKqr9fb4KTJ3Ws,"Afrika Shox","Tourism","Leftfield",2012,481840,0,false,5forty,2013-08-18T04:01:07Z,"big beat,trip hop,downtempo","Field Note Records",0.611,0.944,8,-7.611,1,0.0431,0.00097,0.545,0.944,0.195,130.083,4
spotify:track:1M1x5qgzkCzdHoF0oKQNEm,"Space Shanty","Tourism","Leftfield",2012,624000,0,false,5forty,2013-08-18T04:01:07Z,"big beat,trip hop,downtempo","Field Note Records",0.594,0.853,0,-8.131,1,0.0417,0.00118,0.72,0.785,0.119,135.028,4
spotify:track:6ObDWxcg6gUtLT4XwxGcGG,"Melt","Tourism","Leftfield",2012,407827,0,false,5forty,2013-08-18T04:01:07Z,"big beat,trip hop,downtempo","Field Note Records",0.214,0.529,6,-11.151,1,0.0343,0.418,0.799,0.863,0.401,82.775,4
spotify:track:2bXnt5TWSekhDfz9Q9zgIo,"Phat Planet","Tourism","Leftfield",2012,607133,0,false,5forty,2013-08-18T04:01:07Z,"big beat,trip hop,downtempo","Field Note Records",0.682,0.807,6,-10.956,1,0.043,0.0528,0.812,0.708,0.431,135.02,4
