Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4J0zyhnYqlleIasqrkKDgt,"Viking Hair","Boundary Road Snacks and Drinks","Dry Cleaning",2019-10-25,234039,0,false,,2025-10-26T09:21:21Z,"post-punk,spoken word","It's Ok",0.284,0.666,8,-7.514,1,0.0307,0.00014,0.872,0.0986,0.275,158.133,4
spotify:track:6FlWOD39b36uIqdfXkAOX8,"A Song For You","Everything In Moderation?","The Confederate Dead",2016-09-06,203333,14,false,,2025-09-23T13:11:02Z,"neo-psychedelic,space rock,psychedelic rock","The Confederate Dead",0.462,0.304,7,-11.579,1,0.0281,0.0103,0.741,0.103,0.402,89.986,4
spotify:track:7zFsBDj5Vyd95rixalXnOm,"Psalms23","Every Morning Soaking Music","Soaking Music of the Holy Spirit",2022-03-23,2492526,1,false,,2025-09-04T11:36:39Z,"","DistroKid.com",0.062,0.103,4,-21.845,1,0.0388,0.824,0.884,0.112,0.0395,69.233,4
spotify:track:5BiXDEAq0BvCzLrAqHhznB,"Permanence","Permanence","Warung;MAYY HEMM",2025-06-18,243500,21,false,,2025-08-04T14:38:30Z,"melodic house,progressive house,melodic techno,deep house,breakbeat","Anjunadeep Explorations",0.668,0.801,0,-9.359,1,0.0355,0.0067,0.863,0.131,0.307,122.007,4
spotify:track:0cTJWZMifr2OkchZ22j06V,"Bad - Live at Live Aid, Wembley Stadium, 13th July 1985","Live Aid (Live, 13th July 1985)","U2",2018-08-24,732955,24,false,,2025-07-15T07:09:37Z,"rock","The Band Aid Trust",0.486,0.921,1,-4.791,1,0.0367,0.00281,0.357,0.938,0.582,101.745,4
spotify:track:5LxvwujISqiB8vpRYv887S,"I Want You Back","Diana Ross Presents The Jackson 5","The Jackson 5",1969-12-18,176333,78,false,,2025-04-29T09:18:02Z,"motown,christmas","UNI/MOTOWN",0.469,0.538,8,-13.559,1,0.0575,0.305,0.000114,0.37,0.885,196.606,4
spotify:track:5wDr5hEYQXtA78lruKsrXO,"About You","Hypertalisman","Fakear",2024-01-19,210202,16,false,,2025-04-22T13:22:30Z,"","Nowadays Records",0.705,0.748,0,-10.385,1,0.0399,0.151,0.786,0.106,0.0387,121.999,4
spotify:track:78jIj6Ph2364zg1ZVIvbIN,"Howling - Âme Remix","Howling (Âme Remix)","Howling;RY X;Frank Wiedemann;Âme",2012-07-27,485220,55,false,,2025-01-16T13:23:29Z,"indie folk,minimal techno,melodic techno,melodic house","Innervisions",0.615,0.549,6,-10.731,0,0.0321,0.00628,0.0558,0.111,0.125,124.979,4
spotify:track:5DBULwnLOtlM7tVhFOubgV,"Pressure on Julian - 2012 Remaster","Modern Life Is Rubbish","Blur",1993-05-10,211880,29,false,,2024-04-03T22:15:34Z,"britpop,madchester,alternative rock","Parlophone UK",0.415,0.875,1,-6.111,1,0.0566,0.00501,0.0000227,0.0636,0.159,129.38,4
spotify:track:6oApuxXzaFJ88itqN8YAul,"Heart Line","transforming human girls","My Total Reversal",2023-03-25,172000,0,true,,2023-09-21T18:55:49Z,"dream pop","My Total Reversal",0.349,0.57,2,-8.328,1,0.0311,0.00000118,0.734,0.12,0.299,159.955,4
spotify:track:7HzqVQQ8ZB8EmhQoWIhlBH,"Lovesong for an Apocalypse","Lovesong for an Apocalypse","Long Distances",2023-02-17,320330,5,false,,2023-08-07T17:19:08Z,"indian indie,shoegaze","The Mighty Botox",0.397,0.848,9,-6.846,1,0.0378,0.026,0.278,0.0962,0.538,160.012,4
spotify:track:7oTocPhEMU5OGUmVjmpkOm,"Connected","Connected","Low Hummer",2023-03-29,188237,6,false,,2023-04-07T18:32:25Z,"dream pop","Dance To The Radio",0.453,0.651,9,-5.043,1,0.0382,0.000883,0.692,0.144,0.664,165.904,4
spotify:track:0h9Th1sNgWxBOmUGAbNH5C,"crimson enclosure","What Kind of Blue Are You?","Winter",2022-10-14,114607,22,false,,2023-04-07T18:21:50Z,"shoegaze,dream pop","Bar/None Records",0.397,0.616,9,-10.08,1,0.0364,0.00906,0.953,0.363,0.251,130.159,4
spotify:track:2AMDxQ1LxutduyCeox72y1,"Too Far","Ex Pilots","Ex Pilots",2023-01-20,86345,10,false,,2023-04-07T18:20:03Z,"jangle pop,shoegaze","Smoking Room",0.182,0.975,3,-2.816,1,0.0904,0.00222,0.826,0.516,0.124,127.819,4
spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,"Good Riddance (Time of Your Life)","Nimrod","Green Day",1997-10-14,153466,80,true,,2022-07-31T21:45:44Z,"punk,pop punk","Reprise",0.475,0.432,7,-7.844,1,0.0302,0.183,0,0.161,0.648,94.605,4
