Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5vNsCIdGKP7ERETpkcVyKq,"The Swan","Cheatahs","Cheatahs",2014-02-10,262826,12,false,5forty,2020-04-27T11:32:18Z,"shoegaze,dream pop","Wichita Recordings",0.123,0.906,4,-2.692,1,0.0776,0.000249,0.787,0.127,0.152,148.278,4
spotify:track:44dC1nkkw2S3AmVmkWdFj7,"The Eiggy Sea","Cyrk II","Cate Le Bon",2012-08-21,278313,0,false,5forty,2015-06-11T05:21:59Z,"art pop","The Control Group",0.567,0.535,11,-6.726,1,0.0267,0.0752,0.247,0.257,0.234,104.166,4
spotify:track:0u1eZuhgS1RA4NaYBgJKp5,"Not for Nothing","Not for Nothing","Mutual Benefit",2015-05-02,178500,6,false,5forty,2015-06-11T05:28:47Z,"","Weathervane Music",0.483,0.455,0,-8.352,1,0.0304,0.0182,0.233,0.138,0.478,62.316,4
spotify:track:55zZY0TnoxkHNovTGUw6py,"The World is Flat","Held in Splendor","Quilt",2014-02-17,124699,0,false,5forty,2015-06-11T05:33:58Z,"neo-psychedelic,retro pop","Mexican Summer",0.612,0.508,0,-9.724,1,0.0611,0.0166,0.918,0.342,0.558,113.945,4
spotify:track:1gZonCSXCqjXVDbsoOql1h,"Won't Be Around No More","At Best Cuckold","Avi Buffalo",2014-09-09,230106,0,false,5forty,2015-06-15T21:14:22Z,"baroque pop","Sub Pop Records",0.483,0.483,4,-8.479,1,0.0295,0.134,0.0889,0.0942,0.395,120.968,4
spotify:track:7amCuaCr2cW3I5UTZTJc0f,"Air","Ivy Tripp","Waxahatchee",2015-04-06,191733,0,false,5forty,2015-06-15T22:40:20Z,"alt country","Wichita Recordings",0.424,0.539,9,-8.046,1,0.0301,0.0368,0.0858,0.11,0.106,134.003,5
spotify:track:4nSZIbzwfns6sxkoJYpi23,"Seaside, Lowtide","Cyrk II","Cate Le Bon",2012-08-21,313317,0,false,5forty,2015-06-15T22:59:18Z,"art pop","The Control Group",0.34,0.401,9,-7.168,1,0.0291,0.00852,0.0171,0.0879,0.0693,72.959,4
spotify:track:1IAKqF3c08TYDgXSpK68Yh,"So Damn Pure","Not the Way","Cass McCombs",2002,212601,0,false,5forty,2015-06-15T23:05:12Z,"baroque pop,singer-songwriter","Monitor Records",0.55,0.593,0,-7.86,1,0.0239,0.0738,0.00869,0.248,0.366,94.485,4
spotify:track:4lozy9ekmUkv4DrykXqIrI,"Casper (1995)","Major Arcana","Speedy Ortiz",2013-07-08,168133,0,false,5forty,2015-06-15T23:42:11Z,"indie punk","carpark",0.618,0.46,5,-9.886,1,0.0304,0.0253,0.341,0.105,0.273,116.304,4
spotify:track:0M7ZlP2RfhlrV5Jc7LkBRj,"At the River","The Best Of","Groove Armada",2004-09-11,393373,0,false,5forty,2015-08-12T09:39:55Z,"big beat,trip hop","Jive",0.687,0.556,8,-7.051,1,0.0282,0.0382,0.463,0.213,0.466,136.027,4
spotify:track:2hgerKBJ7tetp3JfL5OZX9,"Reach For The Dead","Tomorrow's Harvest","Boards of Canada",2013-06-10,287403,0,false,5forty,2015-08-12T10:56:01Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.575,0.576,5,-9.782,0,0.0295,0.0245,0.917,0.116,0.0363,135.998,4
spotify:track:10ZyPt8BfdM5Ir7MTPldFD,"Take California","Off The Wall - Ten Years of Wall of Sound","Propellerheads",2006-12-31,239266,0,false,5forty,2015-08-12T14:41:39Z,"big beat,breakbeat","Wall of Sound",0.709,0.892,0,-5.96,1,0.0484,0.000402,0.69,0.0646,0.161,119.833,4
spotify:track:0dh2F3Mi1b1EGafGmvUC9M,"Space Walk","Lost Horizons","Lemon Jelly",2002-10-21,422826,0,false,5forty,2015-08-12T15:05:19Z,"downtempo,plunderphonics,trip hop","XL Recordings",0.628,0.89,9,-7.923,1,0.0302,0.0877,0.449,0.216,0.592,104.989,4
