Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1gLOaSB0PxwD7e78XW8RSM,"Raisin","Loftus","Loftus",2013-07-09,44600,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.525,0.00667,0,-26.64,1,0.264,0.721,0.885,0.0873,0.289,116.708,4
spotify:track:6LSlIHwuHVFkeEnyCillth,"Emma's Rubber Leg","Loftus","Loftus",2013-07-09,339693,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.491,0.076,7,-17.379,1,0.0448,0.231,0.843,0.114,0.184,114.754,3
spotify:track:0OayddZjYzL8IRLMdyCD4V,"Haywine","Loftus","Loftus",2013-07-09,292066,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.482,0.149,0,-18.958,1,0.0288,0.893,0.123,0.0794,0.151,91.639,4
spotify:track:07M9IGT4M8yngLTyRMK6hR,"Stolen From A Rifle Clean Brothel","Loftus","Loftus",2013-07-09,184333,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.682,0.494,2,-14.187,1,0.0405,0.827,0,0.179,0.423,114.353,4
spotify:track:66teGXxP6PekcqLOepCHCc,"King Carp In A Dan Ryan Ditch","Loftus","Loftus",2013-07-09,268400,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.827,0.444,5,-16.933,1,0.208,0.812,0.92,0.179,0.524,91.338,3
spotify:track:0zql0NnTKdj3OZAI5U4tEp,"Theme From Loftus Nine","Loftus","Loftus",2013-07-09,167973,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.605,0.346,2,-13.727,1,0.0572,0.541,0.948,0.11,0.355,169.635,4
spotify:track:0j5ytedu4GoORddc5afi9g,"Nervous","Loftus","Loftus",2013-07-09,306693,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.829,0.364,8,-17.114,0,0.0481,0.192,0.738,0.0806,0.542,95.521,4
spotify:track:0VdNSmPfODUOinrM2BdyBi,"Bell And Hammer","Loftus","Loftus",2013-07-09,304134,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.627,0.259,7,-14.888,1,0.0399,0.171,0.909,0.139,0.125,117.947,3
spotify:track:4Krp3PW0zfcqj4LylZPrue,"Penguin Boy's Love Story","Loftus","Loftus",2013-07-09,24256,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.412,0.0717,10,-30.718,0,0.0874,0.489,0.863,0.109,0.519,72.397,5
spotify:track:3Bdq0krgrti0DCCJZVV4n1,"When The Electricity Goes Out In The Submarine","Loftus","Loftus",2013-07-09,186844,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.409,0.147,2,-19.081,1,0.0319,0.911,0.88,0.111,0.187,82.45,4
spotify:track:16Dqnwd2LdzMDo11QGQaWL,"Marlon Perkins","Loftus","Loftus",2013-07-09,31097,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.498,0.00547,7,-35.262,1,0.033,0.875,0.905,0.104,0.353,61.297,4
spotify:track:1UTP6WWueAnrxUo1SytHLN,"Cake","Loftus","Loftus",2013-07-09,241866,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.5,0.199,11,-17.662,1,0.0344,0.219,0.689,0.111,0.428,82.768,4
spotify:track:71AmtcKkMdBJNae2v2xigo,"Blind","Loftus","Loftus",2013-07-09,179866,0,false,5forty,2013-08-27T22:14:38Z,"slowcore","Jealous Butcher Records",0.613,0.224,9,-14.099,1,0.037,0.773,0.0208,0.101,0.306,84.82,4
