Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:42YvgsqJnZez5QMvxq4teu,"I Am John (Live At iTunes Festival)","iTunes Festival: London - Loney, dear","Loney dear",2007-08-21,299593,0,false,,2010-12-31T21:42:29Z,"swedish pop","",0.434,0.77,5,-7.134,1,0.041,0.0607,0,0.979,0.588,91.223,4
spotify:track:7fkVGA3Zz9NzWLXmTSmsCP,"Saturday Waits (Live At iTunes Festival)","iTunes Festival: London - Loney, dear","Loney dear",2007-08-21,251407,0,false,,2010-12-31T21:42:29Z,"swedish pop","",0.404,0.684,2,-8.036,1,0.0458,0.194,0,0.885,0.581,123.265,4
spotify:track:4WE7LU55kj23RUzuK6WjNU,"Ignorant Boy, Beautiful Girl (Live At iTunes Festival)","iTunes Festival: London - Loney, dear","Loney dear",2007-08-21,278738,0,false,,2010-12-31T21:42:29Z,"swedish pop","",0.419,0.841,11,-5.663,1,0.0434,0.574,0.00274,0.0678,0.46,103.532,4
spotify:track:1pdjy1aqiXzNhMZvgOoRhP,"Carrying A Stone (Live At iTunes Festival)","iTunes Festival: London - Loney, dear","Loney dear",2007-08-21,284664,0,false,,2010-12-31T21:42:29Z,"swedish pop","",0.318,0.745,8,-6.991,1,0.0348,0.304,0.0145,0.605,0.285,130.823,4
spotify:track:6dfnOkRneRVykVSlIqqYPX,"Le Fever (Live At iTunes Festival)","iTunes Festival: London - Loney, dear","Loney dear",2007-08-21,292172,0,false,,2010-12-31T21:42:29Z,"swedish pop","",0.482,0.594,7,-8.065,0,0.0356,0.258,0.000991,0.917,0.258,122.052,4
spotify:track:15lvsHxTQjB7BH1FJaRqVZ,"Sinister In A State Of Hope","Loney, Noir","Loney dear",2007-03-19,187066,17,false,,2010-12-31T21:42:29Z,"swedish pop","Parlophone UK",0.471,0.461,11,-9.844,1,0.0295,0.705,0.00272,0.252,0.0989,116.868,3
spotify:track:7wReNc63Z4MGNQeuD6lhWN,"I Am John","Loney, Noir","Loney dear",2007-03-19,210579,14,false,,2010-12-31T21:42:29Z,"swedish pop","Parlophone UK",0.442,0.863,5,-6.472,1,0.0672,0.0521,0.00000588,0.272,0.815,179.992,4
spotify:track:2pprnAsYv3qvelEO4DG1vX,"Saturday Waits","Loney, Noir","Loney dear",2007-03-19,219565,18,false,,2010-12-31T21:42:29Z,"swedish pop","Parlophone UK",0.587,0.704,2,-8.021,1,0.0362,0.0572,0.0767,0.265,0.708,127.667,4
spotify:track:3juJp2Jnkddro0Kc4zmIdf,"I Am The Odd One","Loney, Noir","Loney dear",2007-03-19,191120,5,false,,2010-12-31T21:42:29Z,"swedish pop","Parlophone UK",0.21,0.311,11,-9.988,1,0.0302,0.855,0.00101,0.283,0.149,87.571,4
spotify:track:2aJExBJqeOfHsBTndYNGo5,"No One Can Win","Loney, Noir","Loney dear",2007-03-19,206240,6,false,,2010-12-31T21:42:29Z,"swedish pop","Parlophone UK",0.509,0.628,3,-7.083,1,0.0266,0.305,0.0193,0.111,0.458,105.035,3
spotify:track:61FDpYREw0wEPEJmbQ28QZ,"I Will Call You Lover Again","Loney, Noir","Loney dear",2007-03-19,167026,5,false,,2010-12-31T21:42:29Z,"swedish pop","Parlophone UK",0.616,0.51,6,-9.187,1,0.0252,0.19,0.0152,0.0761,0.877,105.947,3
spotify:track:7D3fLp6rlBOUIt21ntiyrN,"Carrying A Stone","Loney, Noir","Loney dear",2007-03-19,227573,15,false,,2010-12-31T21:42:29Z,"swedish pop","Parlophone UK",0.48,0.646,8,-6.958,1,0.0301,0.106,0.645,0.113,0.596,134.972,4
spotify:track:6KzAdk7ZEL0wKLlKlEMmsD,"The Meter Marks OK","Loney, Noir","Loney dear",2007-03-19,194133,7,false,,2010-12-31T21:42:29Z,"swedish pop","Parlophone UK",0.303,0.188,7,-17.274,1,0.053,0.966,0.0000041,0.135,0.529,178.681,3
spotify:local:Loney%2C+Dear:Sologne:I+love+you+%28in+with+the+arms%29:285,"I love you (in with the arms)","Sologne","Loney, Dear",,285000,0,false,,2010-12-31T21:42:29Z,"","undefined",,,,,,,,,,,,
spotify:track:1DiMGZSkAGX10c4Cac6pWF,"Where Are You Go Go Going To","Sologne","Loney dear",2007-09-25,198000,0,false,,2010-12-31T21:42:29Z,"swedish pop","Rebel Group",,,,,,,,,,,,
spotify:track:6ScpCpmqsya6YMUih6q6ht,"The City, The Airport","Sologne","Loney dear",2007-09-25,217346,0,false,,2010-12-31T21:42:29Z,"swedish pop","Rebel Group",0.557,0.441,7,-13.378,1,0.0309,0.143,0.0537,0.239,0.457,133.987,3
spotify:track:0YPeHFxne18PBqx5r7dwSA,"Le Fever","Sologne","Loney dear",2007-09-25,235386,0,false,,2010-12-31T21:42:29Z,"swedish pop","Rebel Group",0.45,0.825,11,-8.076,1,0.0763,0.0649,0.0000245,0.362,0.693,174.251,4
spotify:track:5yxrue21ZwHORxv5E9p3py,"A Band","Sologne","Loney dear",2007-09-25,229120,0,false,,2010-12-31T21:42:29Z,"swedish pop","Rebel Group",0.599,0.425,7,-12.927,0,0.0494,0.22,0.00115,0.0912,0.386,122.332,4
spotify:track:4Q8o8fWtUXu9x8Z9eS5e0E,"Take it Back","Sologne","Loney dear",2007-09-25,194853,0,false,,2010-12-31T21:42:29Z,"swedish pop","Rebel Group",0.648,0.194,7,-15.869,1,0.0322,0.622,0.00565,0.105,0.175,127.071,3
spotify:track:0zBdDEueke6ppLTdNiYGiA,"Grekerna","Sologne","Loney dear",2007-09-25,163693,0,false,,2010-12-31T21:42:29Z,"swedish pop","Rebel Group",0.555,0.396,9,-14.108,1,0.0324,0.798,0.000117,0.126,0.362,125.904,4
spotify:track:4jfzuC6TmC4rH8BIVxvyJT,"I Lose It All","Sologne","Loney dear",2007-09-25,233693,0,false,,2010-12-31T21:42:29Z,"swedish pop","Rebel Group",0.141,0.0591,11,-17.599,0,0.0442,0.294,0.944,0.126,0.238,143.91,4
spotify:track:2HuwdYireus4IGCsGxzNTG,"Won't You Do","Sologne","Loney dear",2007-09-25,151346,0,false,,2010-12-31T21:42:29Z,"swedish pop","Rebel Group",0.545,0.356,6,-12.297,0,0.0347,0.178,0.901,0.117,0.618,153.006,4
spotify:local:Loney%2C+dear:Various:I+fought+the+battle+of+Trinida:210,"I fought the battle of Trinida","Various","Loney, dear",,210000,0,false,,2010-12-31T21:42:29Z,"","undefined",0.439,0.0385,6,-23.537,0,0.0402,0.975,0.125,0.104,0.0834,114.41,4
spotify:local:Loney%2C+dear:Various:the+battle+of+trinidad+and+tobago.mp3:58,"the battle of trinidad and tobago.mp3","Various","Loney, dear",,58000,0,false,,2010-12-31T21:42:29Z,"","undefined",,,,,,,,,,,,
