Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1oA1CjQjGal344nScOSQ67,"Untitled","Spooky Action at a Distance","Lotus Plaza",2012-04-02,85520,0,false,,2012-05-26T02:30:57Z,"dream pop,shoegaze,neo-psychedelic","kranky",0.239,0.631,6,-12.973,1,0.0586,0.795,0.998,0.291,0.0391,60.572,3
spotify:track:5HksZihGwIoSDZfuVGI2Es,"Strangers","Spooky Action at a Distance","Lotus Plaza",2012-04-02,270600,0,false,,2012-05-26T02:30:57Z,"dream pop,shoegaze,neo-psychedelic","kranky",0.375,0.868,2,-2.604,1,0.0412,0.0000936,0.8,0.0816,0.359,128.313,4
spotify:track:06nnp39u4zejYLjhWkMZgz,"Out of Touch","Spooky Action at a Distance","Lotus Plaza",2012-04-02,273240,0,false,,2012-05-26T02:30:57Z,"dream pop,shoegaze,neo-psychedelic","kranky",0.18,0.857,2,-2.292,1,0.0773,0.000153,0.84,0.128,0.55,200.237,4
spotify:track:5eG4AmccJhfUuyhfAoex6H,"Dusty Rhodes","Spooky Action at a Distance","Lotus Plaza",2012-04-02,218720,0,false,,2012-05-26T02:30:57Z,"dream pop,shoegaze,neo-psychedelic","kranky",0.659,0.559,6,-6.99,0,0.0352,0.00625,0.00579,0.0867,0.591,121.437,4
spotify:track:6LNULtRMQyzyfBOOYcvHR9,"White Galactic One","Spooky Action at a Distance","Lotus Plaza",2012-04-02,246040,0,false,,2012-05-26T02:30:57Z,"dream pop,shoegaze,neo-psychedelic","kranky",0.391,0.92,2,-2.261,1,0.0408,0.000262,0.633,0.0765,0.601,124.845,4
spotify:track:6kJLtWKw8WIWSkxDVxMMYD,"Monoliths","Spooky Action at a Distance","Lotus Plaza",2012-04-02,215280,0,false,,2012-05-26T02:30:57Z,"dream pop,shoegaze,neo-psychedelic","kranky",0.459,0.805,4,-3.629,1,0.0432,0.00215,0.627,0.331,0.415,116.635,4
spotify:track:2Z5M3D1NFOmLtD6UI5CumA,"Jet Out of the Tundra","Spooky Action at a Distance","Lotus Plaza",2012-04-02,393200,0,false,,2012-05-26T02:30:57Z,"dream pop,shoegaze,neo-psychedelic","kranky",0.443,0.782,6,-5.383,0,0.0353,0.000135,0.811,0.112,0.526,87.497,4
spotify:track:0pfFjERbSIfsnAuM8GWMVC,"Eveningness","Spooky Action at a Distance","Lotus Plaza",2012-04-02,305040,0,false,,2012-05-26T02:30:57Z,"dream pop,shoegaze,neo-psychedelic","kranky",0.454,0.878,4,-4.148,1,0.0309,0.0000277,0.383,0.247,0.561,114.954,4
spotify:track:5nzNW9hu3mLyrMO62CTR8w,"Remember Our Days","Spooky Action at a Distance","Lotus Plaza",2012-04-02,307920,0,false,,2012-05-26T02:30:57Z,"dream pop,shoegaze,neo-psychedelic","kranky",0.366,0.88,9,-4.765,1,0.0489,0.103,0.781,0.132,0.389,159.563,4
spotify:track:6GDzE5nAOyGDi01UojIuZk,"Black Buzz","Spooky Action at a Distance","Lotus Plaza",2012-04-02,330840,0,false,,2012-05-26T02:30:57Z,"dream pop,shoegaze,neo-psychedelic","kranky",0.449,0.339,6,-11.026,0,0.0266,0.882,0.944,0.126,0.0385,94.743,4
