Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:00JzUNcRdhoALWUIiK5UnA,"Breathe In","0","Low Roar",2014-08-05,454773,43,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.112,0.274,7,-13.56,1,0.033,0.871,0.576,0.0554,0.111,86.679,3
spotify:track:00G1BtS8r791C63yZLVc0R,"Easy Way Out","0","Low Roar",2014-08-05,288666,51,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.505,0.42,9,-9.364,0,0.0266,0.558,0.0499,0.218,0.113,109.921,4
spotify:track:21jx7ZJ9bH0xQugaPa1wG0,"Nobody Loves Me Like You","0","Low Roar",2014-08-05,355893,40,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.331,0.422,7,-10.653,1,0.0311,0.692,0.729,0.107,0.105,79.951,4
spotify:track:5Pf5HwjqLAbYDVBQU7H7Oz,"I'll Keep Coming","0","Low Roar",2014-08-05,352346,51,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.332,0.596,9,-5.607,0,0.0521,0.0372,0.413,0.298,0.0996,140.104,4
spotify:track:2am60ykeXDtJVqXrHjfDJg,"Half Asleep","0","Low Roar",2014-08-05,436266,34,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.102,0.432,0,-10.033,1,0.041,0.621,0.828,0.0983,0.0467,62.709,4
spotify:track:3bnVfVpwui6X1yfvVMPTxE,"Please Don't Stop (Chapter 1)","0","Low Roar",2014-08-05,280760,39,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.37,0.321,7,-15.85,1,0.0487,0.127,0.662,0.374,0.0365,123.934,4
spotify:track:2CLzs4DW6EAtCv6FC6Mbix,"I'm Leaving","0","Low Roar",2014-08-05,334680,47,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.203,0.527,4,-8.398,1,0.0344,0.499,0.0449,0.0897,0.124,90.128,3
spotify:track:5L8UaRYjCoy9ZhMkJQHXgP,"In the Morning","0","Low Roar",2014-08-05,84733,29,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.418,0.221,0,-18.326,1,0.0271,0.396,0.00118,0.111,0.415,96.885,4
spotify:track:3Z71twl5Fz2W1bT4mwnor7,"Phantoms","0","Low Roar",2014-08-05,363586,31,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.42,0.319,0,-6.902,1,0.0301,0.0335,0.000147,0.0954,0.0384,144.602,4
spotify:track:2ZaibgMfl2NS3ntzYqnLhm,"Anything You Need","0","Low Roar",2014-08-05,195653,48,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.221,0.34,9,-10.935,0,0.0314,0.806,0.989,0.104,0.0397,85.665,4
spotify:track:0LHMAiZXmYy97d23W2O8f4,"Dreamer","0","Low Roar",2014-08-05,309720,33,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.255,0.161,9,-12.711,0,0.0327,0.925,0.0155,0.147,0.0679,74.007,4
spotify:track:7gRXgnx8qh6uJgdqOv9xDX,"Vampire on My Fridge","0","Low Roar",2014-08-05,390746,32,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.438,0.509,0,-10.368,1,0.0351,0.0789,0.0239,0.119,0.0363,140.065,4
spotify:track:4WwOjWieFNqzbJvVeMjkdy,"Please Don't Stop (Chapter 2)","0","Low Roar",2014-08-05,243613,37,false,5forty,2014-09-29T23:02:16Z,"","Tonequake Records",0.382,0.263,7,-16.56,1,0.0359,0.73,0.662,0.19,0.0388,109.814,4
