Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6RT7sNnqXBgDgutu6ggJcm,"Blue & Silver","Twin-Hand Movement","Lower Dens",2010-07-20,191800,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.477,0.721,4,-7.827,1,0.0343,0.0103,0.825,0.0864,0.149,131.013,4
spotify:track:40R6D5N10n1JNSk9m1r5ca,"Brains","Brains","Lower Dens",2012-02-02,301956,0,false,,2012-03-05T14:53:08Z,"dream pop","Ribbon Music",0.384,0.542,1,-10.293,0,0.0447,0.0032,0.875,0.118,0.688,169.53,4
spotify:track:7ih9zyGxl9YuJgdswKZtn3,"I Get Nervous","Twin-Hand Movement","Lower Dens",2010-07-20,204306,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.406,0.568,11,-6.598,1,0.0333,0.0661,0.857,0.118,0.0937,126.04,4
spotify:track:5JAJoeCGUAw6NXhCm21DoH,"Tea Lights","Twin-Hand Movement","Lower Dens",2010-07-20,280493,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.555,0.598,11,-7.08,0,0.025,0.00471,0.833,0.0867,0.221,105.917,4
spotify:track:5F9e3WwtoCzmCieKpHbDLp,"A Dog's Dick","Twin-Hand Movement","Lower Dens",2010-07-20,149840,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.302,0.563,9,-5.198,1,0.033,0.000135,0.831,0.0958,0.581,109.777,4
spotify:track:6RT7sNnqXBgDgutu6ggJcm,"Blue & Silver","Twin-Hand Movement","Lower Dens",2010-07-20,191800,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.477,0.721,4,-7.827,1,0.0343,0.0103,0.825,0.0864,0.149,131.013,4
spotify:track:5JAJoeCGUAw6NXhCm21DoH,"Tea Lights","Twin-Hand Movement","Lower Dens",2010-07-20,280493,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.555,0.598,11,-7.08,0,0.025,0.00471,0.833,0.0867,0.221,105.917,4
spotify:track:5F9e3WwtoCzmCieKpHbDLp,"A Dog's Dick","Twin-Hand Movement","Lower Dens",2010-07-20,149840,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.302,0.563,9,-5.198,1,0.033,0.000135,0.831,0.0958,0.581,109.777,4
spotify:track:1Z3WERJ0ueIboB6NxfmNof,"Holy Water","Twin-Hand Movement","Lower Dens",2010-07-20,140533,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.395,0.756,2,-4.842,1,0.0353,0.00000369,0.866,0.106,0.662,140.993,4
spotify:track:7ih9zyGxl9YuJgdswKZtn3,"I Get Nervous","Twin-Hand Movement","Lower Dens",2010-07-20,204306,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.406,0.568,11,-6.598,1,0.0333,0.0661,0.857,0.118,0.0937,126.04,4
spotify:track:1lVmubE2uCZrvY1jvCymDf,"Completely Golden","Twin-Hand Movement","Lower Dens",2010-07-20,179533,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.466,0.788,4,-6.481,1,0.032,0.025,0.866,0.174,0.843,132.907,4
spotify:track:6RWEYUspJLi1SevemMHfRt,"Plastic & Powder","Twin-Hand Movement","Lower Dens",2010-07-20,386853,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.194,0.325,2,-10.887,1,0.0326,0.482,0.821,0.122,0.0435,70.565,5
spotify:track:2KHeh6UWKoBpHJ1OvvSTIZ,"Rosie","Twin-Hand Movement","Lower Dens",2010-07-20,190000,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.249,0.728,11,-6.683,0,0.0402,0.0798,0.899,0.109,0.0382,142.291,4
spotify:track:7pPvdokyA0FRJsgN9KR1gF,"Truss Me","Twin-Hand Movement","Lower Dens",2010-07-20,164266,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.517,0.279,11,-11.756,1,0.0268,0.9,0.0559,0.104,0.13,93.147,4
spotify:track:5aj4C05nbJdMat1DqfEHqR,"Hospice Gates","Twin-Hand Movement","Lower Dens",2010-07-20,246706,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.471,0.674,11,-6.977,1,0.034,0.000133,0.871,0.111,0.405,128.054,4
spotify:track:1HjhLILKuN9vvyXuRRpPLy,"Two Cocks","Twin-Hand Movement","Lower Dens",2010-07-20,209333,0,false,,2012-03-05T14:53:08Z,"dream pop","Gnomonsong",0.484,0.593,2,-7.233,1,0.0301,0.0128,0.799,0.105,0.35,164.81,4
spotify:track:40R6D5N10n1JNSk9m1r5ca,"Brains","Brains","Lower Dens",2012-02-02,301956,0,false,,2012-03-05T14:53:08Z,"dream pop","Ribbon Music",0.384,0.542,1,-10.293,0,0.0447,0.0032,0.875,0.118,0.688,169.53,4
