Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:33GLigpe5PChdcOz8pGGrq,"One Step Beyond","One Step Beyond","Madness",1979-10-19,138373,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.474,0.921,0,-4.384,0,0.0609,0.0484,0.0357,0.156,0.942,154.851,4
spotify:track:5JeB4U4A5LCAdESCeTfCS4,"My Girl","One Step Beyond","Madness",1979-10-19,165013,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.677,0.914,1,-4.329,0,0.0415,0.105,0.00429,0.0685,0.761,119.608,4
spotify:track:60oxptQheOSdbJgzRJNcCE,"Night Boat To Cairo","One Step Beyond","Madness",1979-10-19,211880,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.313,0.967,5,-5.153,1,0.0448,0.0497,0.322,0.098,0.573,151.356,4
spotify:track:2OX9HqR4J4hpE9Fks1aQIk,"Believe Me","One Step Beyond","Madness",1979-10-19,149813,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.425,0.897,5,-4.508,1,0.0949,0.0429,0,0.315,0.585,149.632,4
spotify:track:7tPvKzicufqHytAOoinM0r,"Land Of Hope And Glory","One Step Beyond","Madness",1979-10-19,178493,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.429,0.854,7,-5.28,1,0.108,0.0117,0.0000861,0.389,0.744,74.279,4
spotify:track:0SvgPHcp5llLdVkA7WQSzE,"The Prince","One Step Beyond","Madness",1979-10-19,200266,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.633,0.858,7,-4.946,1,0.0553,0.00856,0.00242,0.0759,0.877,98.356,4
spotify:track:7vp1wJKIs5CTqgYkRicSD7,"Tarzan’s Nuts","One Step Beyond","Madness",1979-10-19,145560,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.585,0.879,4,-4.996,0,0.0309,0.0382,0.247,0.0998,0.971,144.392,4
spotify:track:5MV5kAmDW7YBk0jNonfPXN,"In The Middle Of The Night","One Step Beyond","Madness",1979-10-19,183120,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.617,0.726,4,-5.033,0,0.0554,0.249,0,0.352,0.699,143.008,4
spotify:track:1Y8WTiOK6tccHU8x5rdB9R,"Bed & Breakfast Man","One Step Beyond","Madness",1979-10-19,153640,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.663,0.933,9,-4.812,1,0.0374,0.0039,0.0000276,0.0402,0.977,128.089,4
spotify:track:6uLR3KAfxDJLm9MlyQZAQJ,"Razorblade Alley","One Step Beyond","Madness",1979-10-19,163960,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.484,0.843,6,-5.008,0,0.0363,0.0386,0.00142,0.0924,0.903,128.518,4
spotify:track:2VvnyIv4bEAH0nuS9mNgrA,"Swan Lake","One Step Beyond","Madness",1979-10-19,157026,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.719,0.937,11,-4.937,0,0.0332,0.103,0.799,0.134,0.958,108.925,4
spotify:track:7nZrGygMoFItvUiv3jvisL,"Rockin' In Ab","One Step Beyond","Madness",1979-10-19,150973,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.463,0.912,0,-4.677,1,0.0393,0.00593,0,0.048,0.921,155.1,4
spotify:track:6iaLEXiH79kjXSplVf27dB,"Mummy's Boy","One Step Beyond","Madness",1979-10-19,145613,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.477,0.681,0,-5.54,1,0.0407,0.0218,0,0.177,0.883,148.443,4
spotify:track:3fpGUYfSSaZDBVtzXOglz4,"Madness","One Step Beyond","Madness",1979-10-19,160066,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.528,0.84,0,-4.8,1,0.243,0.0261,0.00395,0.0689,0.842,146.133,4
spotify:track:66h1tMEVizdcD4qoYcLMnJ,"Chipmunks Are Go!","One Step Beyond","Madness",1979-10-19,52280,0,false,,2012-05-22T11:35:16Z,"ska","Salvo",0.595,0.369,11,-7.091,1,0.0741,0.894,0,0.548,0.853,90.698,3
