Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4pgjR24t7Hq7KfnvmYM3kw,"Tame the Sun","Endless Now","Male Bonding",2011-08-29,145960,0,false,5forty,2012-11-30T01:46:45Z,"noise rock,garage rock,indie punk","Sub Pop Records",0.327,0.894,9,-5.546,1,0.0695,0.00916,0.769,0.112,0.504,106.491,4
spotify:track:2ZJf8dVPr5InVdepRJwlq9,"Carrying","Endless Now","Male Bonding",2011-08-29,132946,0,false,5forty,2012-11-30T01:46:45Z,"noise rock,garage rock,indie punk","Sub Pop Records",0.348,0.858,1,-6.062,1,0.0453,0.0000349,0.00162,0.0794,0.564,107.92,4
spotify:track:25LtU606gRt77aIdeNLRsl,"Seems to Notice","Endless Now","Male Bonding",2011-08-29,167986,0,false,5forty,2012-11-30T01:46:45Z,"noise rock,garage rock,indie punk","Sub Pop Records",0.345,0.71,2,-5.576,1,0.0461,0.000223,0.000971,0.0949,0.679,111.32,4
spotify:track:4ErJTbqpmfqVN8LjV9ytaM,"Bones","Endless Now","Male Bonding",2011-08-29,383800,0,false,5forty,2012-11-30T01:46:45Z,"noise rock,garage rock,indie punk","Sub Pop Records",0.363,0.956,9,-6.702,0,0.106,0.000577,0.0833,0.245,0.132,121.003,4
spotify:track:7F7pBrQQtabbCHD6fAD3oa,"Before It's Gone","Endless Now","Male Bonding",2011-08-29,174266,0,false,5forty,2012-11-30T01:46:45Z,"noise rock,garage rock,indie punk","Sub Pop Records",0.213,0.882,7,-5.588,1,0.059,0.0014,0.00308,0.134,0.411,80.859,4
spotify:track:0Wb46Af0QiY1ECDbcttytC,"What's That Scene","Endless Now","Male Bonding",2011-08-29,202013,0,false,5forty,2012-11-30T01:46:45Z,"noise rock,garage rock,indie punk","Sub Pop Records",0.296,0.886,9,-6.499,1,0.0604,0.000202,0.00206,0.103,0.439,117.864,4
spotify:track:6p1iHCyCIZ7v2CzdCNNbLM,"Mysteries Complete","Endless Now","Male Bonding",2011-08-29,170373,0,false,5forty,2012-11-30T01:46:45Z,"noise rock,garage rock,indie punk","Sub Pop Records",0.347,0.887,5,-6.29,1,0.0672,0.000393,0.125,0.152,0.527,104.996,4
spotify:track:4BIKt21nzqOPX2NoT8m4Kd,"Can't Dream","Endless Now","Male Bonding",2011-08-29,222866,0,false,5forty,2012-11-30T01:46:45Z,"noise rock,garage rock,indie punk","Sub Pop Records",0.298,0.888,9,-6.351,1,0.0741,0.000583,0.00934,0.109,0.131,119.539,4
spotify:track:0Gu6S7v40hm5wvNuaqJ8C8,"The Saddle","Endless Now","Male Bonding",2011-08-29,95053,0,false,5forty,2012-11-30T01:46:45Z,"noise rock,garage rock,indie punk","Sub Pop Records",0.351,0.249,0,-8.684,1,0.0404,0.585,0.94,0.105,0.241,145.488,3
spotify:track:3I4kZ4yFke7LTGQsm1OxTv,"Channeling Your Fears","Endless Now","Male Bonding",2011-08-29,250386,0,false,5forty,2012-11-30T01:46:45Z,"noise rock,garage rock,indie punk","Sub Pop Records",0.4,0.776,7,-6.524,1,0.0506,0.00305,0.00765,0.082,0.496,120.93,4
spotify:track:1oowVb3iacAvniuHHsiGB2,"Dig You Out","Endless Now","Male Bonding",2011-08-29,202106,0,false,5forty,2012-11-30T01:46:45Z,"noise rock,garage rock,indie punk","Sub Pop Records",0.344,0.748,7,-5.278,1,0.0458,0.000944,0.517,0.0944,0.453,88.242,4
spotify:track:1gmZMaB5qzhwcRdvl7mgVv,"Reprise","Endless Now","Male Bonding",2011-08-29,25440,0,false,5forty,2012-11-30T01:46:45Z,"noise rock,garage rock,indie punk","Sub Pop Records",0.126,0.422,9,-11.427,1,0.0441,0.75,0.85,0.391,0,80.762,3
