Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5dGJmWVdBxx7vJuOYq3x2u,"Headache","METZ","Metz",2012-10-09,138800,0,false,5forty,2012-10-14T20:27:33Z,"noise rock,post-punk","Sub Pop Records",0.248,0.942,7,-7.188,1,0.0772,0.00000841,0.0321,0.611,0.149,154.834,4
spotify:track:5ckZsfSW377yK01ez9LRUs,"Get Off","METZ","Metz",2012-10-09,142640,0,false,5forty,2012-10-14T20:27:33Z,"noise rock,post-punk","Sub Pop Records",0.33,0.968,11,-7.249,1,0.0677,0.0000238,0.878,0.382,0.148,92.447,4
spotify:track:3gAIx3hTM9kwitsxg9OtTz,"Sad Pricks","METZ","Metz",2012-10-09,171600,0,false,5forty,2012-10-14T20:27:33Z,"noise rock,post-punk","Sub Pop Records",0.211,0.921,0,-8.108,0,0.0821,0.00000817,0.543,0.0448,0.265,80.202,4
spotify:track:41ZC89YOLd1TC2SyFfvXMM,"Rats","METZ","Metz",2012-10-09,185213,0,false,5forty,2012-10-14T20:27:33Z,"noise rock,post-punk","Sub Pop Records",0.267,0.841,5,-8.214,1,0.0682,0.00000431,0.329,0.488,0.354,146.046,4
spotify:track:6XcJ8U2gAQ9oDnmy3vTxiB,"Knife in the Water","METZ","Metz",2012-10-09,132680,0,false,5forty,2012-10-14T20:27:33Z,"noise rock,post-punk","Sub Pop Records",0.26,0.67,10,-8.131,1,0.0776,0.0000221,0.494,0.17,0.216,141.052,4
spotify:track:23QGRGL2W4wwpOPhuSHpZ2,"Nausea","METZ","Metz",2012-10-09,65706,0,false,5forty,2012-10-14T20:27:33Z,"noise rock,post-punk","Sub Pop Records",0.465,0.998,2,-8.091,1,0.178,0.973,0.846,0.442,0.0382,91.208,3
spotify:track:6rCUsrdkiaPL7MX5xtLzNa,"Wet Blanket","METZ","Metz",2012-10-09,233640,0,false,5forty,2012-10-14T20:27:33Z,"noise rock,post-punk","Sub Pop Records",0.0953,0.825,6,-9.761,1,0.065,0.00000272,0.843,0.108,0.433,164.942,4
spotify:track:35voeRfLhuXXLlKBUbXglf,"Wasted","METZ","Metz",2012-10-09,247733,0,false,5forty,2012-10-14T20:27:33Z,"noise rock,post-punk","Sub Pop Records",0.226,0.916,1,-6.281,1,0.0549,0.00000187,0.315,0.104,0.397,137.479,4
spotify:track:44qpbwXcPFL8EcbxMTb6ZH,"The Mule","METZ","Metz",2012-10-09,144746,0,false,5forty,2012-10-14T20:27:33Z,"noise rock,post-punk","Sub Pop Records",0.276,0.98,2,-6.648,0,0.0918,0.0000598,0.929,0.321,0.041,176.071,4
spotify:track:0fokzBiN90Nq40rEhthue0,"Negative Space","METZ","Metz",2012-10-09,328146,0,false,5forty,2012-10-14T20:27:33Z,"noise rock,post-punk","Sub Pop Records",0.142,0.77,6,-7.884,1,0.155,0.000181,0.821,0.372,0.0353,171.153,4
