Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ylDCI9NNEQwlo42iYKxHg,"Everyone Is Guilty","Set 'Em Wild|Set 'Em Free","Akron/Family",2009-05-04,357880,0,false,,2010-12-31T09:47:26Z,"","Crammed Discs",0.372,0.829,2,-4.471,1,0.077,0.00152,0.00991,0.347,0.0806,133.953,4
spotify:track:2PSVWwpqok4PYuxOlI1iyw,"Concrete Seconds","Blue Screen Life","Pinback",2001,248306,0,false,,2010-12-31T11:31:08Z,"indie rock","Ace Fu Records",0.706,0.412,2,-13.15,1,0.0389,0.0574,0.025,0.293,0.523,99.383,4
spotify:track:6lYDNZJ4XAOmbf6aik7V9e,"Halfway Home","A Word In Your Ear","Alfie",2002-03-25,254333,0,false,,2011-01-01T10:25:15Z,"neo-psychedelic,tech house,britpop","Twisted Nerve Recordings",0.5,0.591,2,-8.94,1,0.0288,0.195,0.0718,0.198,0.3,110.15,4
spotify:local:Asthmaboy:Later+Days:An+Abbreviation:205,"An Abbreviation","Later Days","Asthmaboy",,205000,0,false,,2011-01-01T10:33:04Z,"","undefined",,,,,,,,,,,,
spotify:track:2wq3IABSPtBFush3qsfZoK,"Step Into My Office, Baby","Dear Catastrophe Waitress","Belle and Sebastian",2003-10-06,252333,0,false,,2011-01-01T10:38:28Z,"baroque pop","Rough Trade",0.51,0.557,2,-8.613,1,0.0443,0.364,0,0.417,0.508,135.701,4
spotify:local:King+Biscuit+Time:King+Biscuit+Time+%27Sings%27+Nelly+Foggit%27s+Blues+In+%27Me+And+The+Pharaohs:Eye+O%27+The+Bug:121,"Eye O' The Bug","King Biscuit Time 'Sings' Nelly Foggit's Blues In 'Me And The Pharaohs","King Biscuit Time",,121000,0,false,,2011-01-01T11:15:52Z,"","undefined",,,,,,,,,,,,
spotify:local:King+Biscuit+Time:King+Biscuit+Time+%27Sings%27+Nelly+Foggit%27s+Blues+In+%27Me+And+The+Pharaohs:Fatheriver:187,"Fatheriver","King Biscuit Time 'Sings' Nelly Foggit's Blues In 'Me And The Pharaohs","King Biscuit Time",,187000,0,false,,2011-01-01T11:17:03Z,"","undefined",,,,,,,,,,,,
spotify:track:7wReNc63Z4MGNQeuD6lhWN,"I Am John","Loney, Noir","Loney dear",2007-03-19,210579,14,false,,2011-01-01T11:19:46Z,"swedish pop","Parlophone UK",0.442,0.863,5,-6.472,1,0.0672,0.0521,0.00000588,0.272,0.815,179.992,4
spotify:track:6ScpCpmqsya6YMUih6q6ht,"The City, The Airport","Sologne","Loney dear",2007-09-25,217346,0,false,,2011-01-01T11:19:56Z,"swedish pop","Rebel Group",0.45,0.825,11,-8.076,1,0.0763,0.0649,0.0000245,0.362,0.693,174.251,4
spotify:track:6oUJL2e4AD7j33KRfeXyRJ,"Head Home","The Trials Of Van Occupanther","Midlake",2006,341880,0,false,,2011-01-01T11:24:41Z,"","Universal Music LLC",0.418,0.791,2,-8.72,0,0.0311,0.327,0.0441,0.0886,0.48,143.016,4
spotify:track:6tHY2oyBCgPKsGEfEN6JfJ,"We Gathered In Spring","The Trials Of Van Occupanther","Midlake",2006,212653,0,false,,2011-01-01T11:25:14Z,"","Universal Music LLC",0.298,0.372,9,-10.967,1,0.0284,0.308,0.0000129,0.179,0.399,157.885,4
spotify:track:5FyGFevTnI1FMiSMoDCQFd,"Initials B.B.","Initials B B","Serge Gainsbourg",1968,215426,0,false,,2011-01-01T11:45:55Z,"chanson,variété française,french pop,french jazz,french house","Universal Music LLC",0.503,0.67,3,-8.492,1,0.032,0.00205,0.57,0.0465,0.642,101.653,4
spotify:local:Thao+Nguyen+%26+the+Get+Down+Sta:We+Brave+Bee+Stings+And:Bag+of+Hammers:169,"Bag of Hammers","We Brave Bee Stings And","Thao Nguyen & the Get Down Sta",,169000,0,false,,2011-01-01T11:54:07Z,"","undefined",,,,,,,,,,,,
spotify:track:4vZGCBtLlTDl6PfpQFlOJO,"You","Lucky Shiner","Gold Panda",2010-10-10,216373,0,false,,2011-08-23T11:27:09Z,"chillwave,idm","Notown Records",0.501,0.954,11,-4.824,1,0.0979,0.00102,0.834,0.334,0.646,179.879,4
