Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2GOWugjLgfFmPr6tXGvSF1,"Silent Passage","Late Night Tales: Midlake","Bob Carpenter",2011-03-25,167935,0,false,5forty,2013-06-11T04:49:37Z,"","Late Night Tales",0.483,0.357,7,-10.196,1,0.0279,0.435,0,0.114,0.485,129.315,4
spotify:track:1jxqAZh0X6rFopqA7eE0EB,"Time's The Thief","Late Night Tales: Midlake","Bread, Love And Dreams",2011-03-25,280861,0,false,5forty,2013-06-11T04:49:37Z,"folk rock,baroque pop","Late Night Tales",0.546,0.365,5,-14.716,1,0.0301,0.491,0.00763,0.207,0.616,135.457,4
spotify:track:3aifC3VLWgUe4ZIh3ROpcZ,"Genesis Hall","Late Night Tales: Midlake","Fairport Convention",2011-03-25,214975,0,false,5forty,2013-06-11T04:49:37Z,"folk rock,folk,traditional folk","Late Night Tales",0.508,0.467,2,-10.482,0,0.0275,0.42,0.000106,0.264,0.349,130.846,3
spotify:track:4AtKTaErnHZZI9j4NXANyw,"The Blacksmith","Late Night Tales: Midlake","Steeleye Span",2011-03-25,220666,0,false,5forty,2013-06-11T04:49:37Z,"folk rock,folk,traditional folk,celtic rock,celtic","Late Night Tales",0.619,0.445,11,-11.773,1,0.0278,0.5,0.228,0.0897,0.906,84.559,4
spotify:track:4LdohD92UHFZ2LqzeXgPxO,"Warmth Of Your Eyes","Late Night Tales: Midlake","Lazarus",2011-03-25,183773,0,false,5forty,2013-06-11T04:49:37Z,"lovers rock,christian alternative rock,rocksteady,italo disco","Late Night Tales",0.369,0.182,9,-21.015,1,0.0304,0.808,0.000984,0.315,0.128,79.074,4
spotify:track:4w04PWFdEcRbXBtz7siZZ2,"Caroline","Late Night Tales: Midlake","Espers",2011-03-25,203232,0,false,5forty,2013-06-11T04:49:37Z,"baroque pop,neofolk,folk","Late Night Tales",0.269,0.571,2,-10.595,1,0.0315,0.00445,0.00691,0.0892,0.525,80.359,4
spotify:track:4cc6qGUGRx9Sv0y0UmXu3M,"Esmaria","Late Night Tales: Midlake","Jimmie Spheeris",2011-03-25,344792,0,false,5forty,2013-06-11T04:49:37Z,"aor","Late Night Tales",0.313,0.183,2,-14.863,1,0.0304,0.699,0.00768,0.0784,0.128,136.468,4
spotify:track:6yOPe33Mk9t3XCms8swf0g,"Copenhagan","Late Night Tales: Midlake","Scott Walker",2011-03-25,137593,0,false,5forty,2013-06-11T04:49:37Z,"baroque pop,singer-songwriter,art pop,drone metal,avant-garde","Late Night Tales",0.23,0.347,2,-12.103,1,0.0373,0.901,0.0264,0.149,0.143,84.761,3
spotify:track:4yyNE8PqsIqFbZbQD02nK8,"Am I Going Insane","Late Night Tales: Midlake","Midlake",2011-03-25,364743,0,false,5forty,2013-06-11T04:49:37Z,"","Late Night Tales",0.202,0.539,9,-11.299,1,0.0316,0.0357,0.0366,0.0851,0.155,158.784,3
spotify:track:0ussSlcMQKDSKkr9prrmZX,"Unravel","Late Night Tales: Midlake","Björk",2011-03-25,197753,0,false,5forty,2013-06-11T04:49:37Z,"art pop,trip hop","Late Night Tales",0.181,0.297,7,-13.683,1,0.0333,0.671,0,0.11,0.0643,88.468,1
spotify:track:5eqlsfph6foS4sbAUuxAlU,"Silver Soul","Late Night Tales: Midlake","Beach House",2011-03-25,288380,0,false,5forty,2013-06-11T04:49:37Z,"dream pop","Late Night Tales",0.361,0.543,2,-11.147,1,0.0308,0.34,0.0000155,0.166,0.237,135.066,4
spotify:track:3aM16DmLeUyShxTg8aHqC8,"Carnival","Late Night Tales: Midlake","Sandy Denny/Harry Robinson",2011-03-25,346252,0,false,5forty,2013-06-11T04:49:37Z,"","Late Night Tales",0.432,0.447,11,-9.823,0,0.0277,0.478,0.00267,0.266,0.24,125.466,4
spotify:track:3rlR5Tf8osnkaTjdOlzJJd,"Christine's Tune","Late Night Tales: Midlake","The Flying Burrito Brothers",2011-03-25,181826,0,false,5forty,2013-06-11T04:49:37Z,"country rock,alt country,americana,folk rock","Late Night Tales",0.506,0.822,3,-6.915,1,0.03,0.00119,0.314,0.163,0.887,97.725,4
spotify:track:6szlUEWf5QUFs4wDl5HOcY,"Happiness & Tears","Late Night Tales: Midlake","Jan Duindam",2011-03-25,218389,0,false,5forty,2013-06-11T04:49:37Z,"","Late Night Tales",0.437,0.31,5,-12.163,0,0.0313,0.00351,0.00391,0.181,0.303,127.82,4
spotify:track:2fqMm3RXmKXGzHCWvMSQG4,"Coldest Night Of The Year","Late Night Tales: Midlake","Twice As Much",2011-03-25,207303,0,false,5forty,2013-06-11T04:49:37Z,"baroque pop","Late Night Tales",0.347,0.464,10,-10.464,1,0.0298,0.495,0.000102,0.289,0.644,92.104,4
spotify:track:3SWnmetoOdLQym2ZLyR2fL,"Crucify Your Mind","Late Night Tales: Midlake","Rodríguez",2011-03-25,148938,0,false,5forty,2013-06-11T04:49:37Z,"folk rock,folk","Late Night Tales",0.487,0.506,9,-9.93,1,0.0767,0.148,0,0.24,0.604,86.885,4
spotify:track:6pOgXkyL7ZuVDYsFCE9gci,"These Days","Late Night Tales: Midlake","Nico",2011-03-25,210674,0,false,5forty,2013-06-11T04:49:37Z,"proto-punk,art rock","Late Night Tales",0.41,0.216,5,-13.724,1,0.0312,0.979,0.14,0.101,0.239,93.4,4
spotify:track:5uH6xoXoctKp2aZ0RXBZ4C,"Whispering Pines - 2000 Remastered Version","Late Night Tales: Midlake","The Band",2011-03-25,237840,0,false,5forty,2013-06-11T04:49:37Z,"folk rock,roots rock,southern rock,americana","Late Night Tales",0.38,0.344,0,-11.037,1,0.0285,0.433,0.000335,0.0945,0.131,140.317,4
spotify:track:1zmjVwiMU5fRRj5x3cFejT,"The Happy Detective Pt. 4","Late Night Tales: Midlake","Will Self",2011-03-25,153307,0,false,5forty,2013-06-11T04:49:37Z,"spoken word","Late Night Tales",0.711,0.152,3,-21.143,1,0.938,0.452,0,0.371,0.578,109.465,4
spotify:track:6vLozZS8O4w6stkcjI1MIi,"Midlake Late Night Tales Continuous Mix","Late Night Tales: Midlake","Late Night Tales",2011-03-25,4285360,0,false,5forty,2013-06-11T04:49:37Z,"","Late Night Tales",0.355,0.407,2,-10.542,1,0.0413,0.202,0.000108,0.137,0.211,128.356,4
