Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1GYjMhOZ4sLd3xGvelcsi3,"Adorn","Kaleidoscope Dream","Miguel",2012-10-01,193146,54,false,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.625,0.576,11,-5.693,0,0.175,0.0543,0.0000407,0.187,0.235,179.063,4
spotify:track:4t6dqSAxE5osx8Mfxa0Quz,"Don't Look Back","Kaleidoscope Dream","Miguel",2012-10-01,266053,19,false,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.34,0.646,5,-5.193,0,0.0522,0.00964,0,0.0668,0.291,111.863,4
spotify:track:30qvRMGbQrLXq3FTsXjEfQ,"Use Me","Kaleidoscope Dream","Miguel",2012-10-01,280266,25,false,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.432,0.867,9,-6.809,1,0.0593,0.0532,0,0.247,0.54,79.995,4
spotify:track:6UnhtSItiWD9XjFM2uFuNg,"Do You...","Kaleidoscope Dream","Miguel",2012-10-01,207920,33,true,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.593,0.589,11,-6.401,1,0.0366,0.462,0.00000388,0.0937,0.306,148.055,4
spotify:track:0wzrFr9HbXtaKYI80rZ4w2,"Kaleidoscope Dream","Kaleidoscope Dream","Miguel",2012-10-01,257026,21,false,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.645,0.481,0,-10.442,0,0.0579,0.00715,0.0000116,0.0978,0.519,84.967,4
spotify:track:1PXageFImXnjV4XmcCmuHE,"The Thrill","Kaleidoscope Dream","Miguel",2012-10-01,182480,22,false,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.566,0.511,11,-8.595,0,0.0347,0.00275,0.0000687,0.585,0.338,149.799,4
spotify:track:1x7oQkTAF0YLw7uPyvtnre,"How Many Drinks?","Kaleidoscope Dream","Miguel",2012-10-01,272946,52,true,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.379,0.608,0,-7.011,0,0.134,0.00311,0.000614,0.251,0.241,81.734,4
spotify:track:2SEXsl9UShqKSc3inzSpIX,"Where's the Fun in Forever","Kaleidoscope Dream","Miguel",2012-10-01,209906,17,false,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.666,0.75,2,-5.678,0,0.0862,0.00325,0.0132,0.589,0.695,157.959,4
spotify:track:6wnEJI2Nc8IeQccUDu73Kn,"Arch & Point","Kaleidoscope Dream","Miguel",2012-10-01,197226,24,false,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.551,0.543,2,-6.468,1,0.0638,0.0318,0.0000776,0.285,0.185,158.005,3
spotify:track:0F050ZE4CAxTaK0b012UH9,"Pussy is Mine","Kaleidoscope Dream","Miguel",2012-10-01,173200,29,true,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.717,0.109,2,-16.159,1,0.0642,0.745,0,0.495,0.289,130.397,4
spotify:track:2O3nQ6UGKDF5Rx1KPJ5lWj,"Candles in the Sun","Kaleidoscope Dream","Miguel",2012-10-01,296093,19,true,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.361,0.407,9,-9.024,0,0.0364,0.0161,0.00233,0.0477,0.173,83.242,4
spotify:track:4mSvgwsr5o78hh2GWHXXeF,"Gravity","Kaleidoscope Dream","Miguel",2012-10-01,219613,23,false,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.608,0.552,0,-5.681,1,0.0406,0.00714,0,0.24,0.267,89.026,4
spotify:track:6c0dyA7uojZhcOjvs4MLE8,"...All","Kaleidoscope Dream","Miguel",2012-10-01,239880,16,true,5forty,2012-12-07T21:07:10Z,"r&b","ByStorm Entertainment/RCA Records",0.582,0.82,1,-5.227,0,0.0667,0.172,0.00299,0.0736,0.37,139.836,4
