Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3M0Hb0SrwM2ToGaLsHhNTJ,"Muesli","Maritime","Minotaur Shock",2005-06-13,186173,0,false,5forty,2013-10-17T04:33:15Z,"idm","4AD",0.879,0.234,0,-10.976,1,0.246,0.479,0.69,0.0884,0.139,105.011,4
spotify:track:5eKytbhQrETXm71cLDtyP4,"(She's In) Drydock Now","Maritime","Minotaur Shock",2005-06-13,236280,0,false,5forty,2013-10-17T04:33:15Z,"idm","4AD",0.735,0.401,5,-11.901,1,0.251,0.248,0.732,0.0938,0.605,88.485,4
spotify:track:34KTkXjuvkKVg5mVEovF9m,"Vigo Bay","Maritime","Minotaur Shock",2005-06-13,262213,0,false,5forty,2013-10-17T04:33:15Z,"idm","4AD",0.643,0.664,11,-11.619,0,0.0371,0.249,0.89,0.283,0.476,119.982,4
spotify:track:2geTXoNVfxxRzSg1hirzv9,"Six Foolish Fishermen","Maritime","Minotaur Shock",2005-06-13,234386,0,false,5forty,2013-10-17T04:33:15Z,"idm","4AD",0.505,0.651,0,-11.682,1,0.0388,0.00581,0.891,0.0826,0.673,167.66,4
spotify:track:2JMaq54prjL3yLCHNaezOR,"Hilly","Maritime","Minotaur Shock",2005-06-13,393306,0,false,5forty,2013-10-17T04:33:15Z,"idm","4AD",0.807,0.458,10,-12.243,0,0.057,0.431,0.864,0.206,0.834,135.035,4
spotify:track:4BZTJjU7lMUOO4zUwRe0gZ,"Twosley","Maritime","Minotaur Shock",2005-06-13,245480,0,false,5forty,2013-10-17T04:33:15Z,"idm","4AD",0.509,0.326,4,-12.309,0,0.0723,0.0599,0.9,0.0891,0.169,140.024,4
spotify:track:7uXdf3jK2V7ZCeiethUiC3,"Somebody Once Told Me It Existed But They Never Found It","Maritime","Minotaur Shock",2005-06-13,360373,0,false,5forty,2013-10-17T04:33:15Z,"idm","4AD",0.61,0.393,4,-12.665,1,0.0348,0.458,0.89,0.0831,0.281,115.006,3
spotify:track:6DH1Qsb2yPlBouS4VBsEoz,"Luck Shield","Maritime","Minotaur Shock",2005-06-13,342573,0,false,5forty,2013-10-17T04:33:15Z,"idm","4AD",0.601,0.481,0,-13.551,1,0.0312,0.317,0.854,0.0971,0.297,90.004,4
spotify:track:4uK45eByEJ08GhhDLuCmqL,"Mistaken Tourist","Maritime","Minotaur Shock",2005-06-13,316773,0,false,5forty,2013-10-17T04:33:15Z,"idm","4AD",0.813,0.491,0,-12.211,1,0.0488,0.0256,0.884,0.0916,0.545,130.014,4
spotify:track:0IrmXOpVwz03SINAC1UukQ,"The Broads","Maritime","Minotaur Shock",2005-06-13,247493,0,false,5forty,2013-10-17T04:33:15Z,"idm","4AD",0.597,0.504,0,-10.798,1,0.0264,0.335,0.233,0.363,0.335,90.978,4
spotify:track:6dkfCKDIs4OIAgGvgGR5ST,"Four Magpies","Maritime","Minotaur Shock",2005-06-13,336906,0,false,5forty,2013-10-17T04:33:15Z,"idm","4AD",0.771,0.387,0,-12.93,1,0.0478,0.0364,0.892,0.0756,0.544,109.995,4
