Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5nKe9PgCtEhqdnvXAQIBhF,"Horn Intro","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,9866,1,false,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0,0.475,1,-4.701,1,0,0.0131,0.0908,0.399,0,0,0
spotify:track:5op53ANI4exiWqFHKuwWxd,"The World At Large","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,272506,57,false,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.523,0.477,6,-9.076,1,0.0254,0.0961,0.000106,0.101,0.249,76.973,4
spotify:track:2lwwrWVKdf3LR9lbbhnr6R,"Float On","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,208466,74,false,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.649,0.888,6,-4.807,1,0.0293,0.013,0.00000223,0.0888,0.553,100.975,4
spotify:track:4ToYlykhwpW98KtMIGnWQK,"Ocean Breathes Salty","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,224333,56,false,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.646,0.964,7,-3.177,1,0.0369,0.0407,0.00000365,0.293,0.747,95.479,4
spotify:track:5OyurLkQVrXM7I33eiF696,"Dig Your Grave","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,12933,1,false,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0,0.22,3,-14.549,0,0,0.926,0.0232,0.218,0,0,0
spotify:track:72zsr1jSMnaMPtl713jXeJ,"Bury Me With It","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,229866,42,false,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.521,0.931,2,-4.549,1,0.0654,0.00575,0,0.243,0.816,170.048,4
spotify:track:1UnB75lnUCGkgru3tEsQYY,"Dance Hall","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,177066,39,true,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.405,0.931,11,-4.459,0,0.0498,0.00594,0.107,0.673,0.655,187.159,4
spotify:track:27QCaXOhT6qY0NT6tv5IZ6,"Bukowski","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,254666,47,true,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.622,0.413,8,-9.975,1,0.0457,0.0839,0.00235,0.131,0.52,130.166,4
spotify:track:5b9lH8ThEcXGWsBM3TqAi5,"This Devil's Workday","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,139306,38,false,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.47,0.635,7,-5.716,0,0.0446,0.779,0,0.562,0.913,210.025,4
spotify:track:7mKkJuVgkR72ozJGvJOTHP,"The View","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,250093,42,true,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.655,0.883,0,-4.913,1,0.0443,0.00165,0.00813,0.0472,0.69,123,4
spotify:track:604fgWYaIUfr9UtBe9bj1p,"Satin In A Coffin","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,155200,42,false,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.458,0.836,7,-6.146,0,0.0479,0.00384,0,0.365,0.417,173.839,4
spotify:track:0SCJXZZKUHgbWmUkhCpA9H,"Interlude (Milo)","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,58893,34,false,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.111,0.0792,2,-15.796,1,0.0377,0.17,0.877,0.101,0.34,89.658,4
spotify:track:2q5zd5u4A4JzAbes2VDPjk,"Blame It On the Tetons","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,324973,39,false,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.401,0.307,7,-14.729,1,0.0301,0.204,0.23,0.129,0.525,81.98,4
spotify:track:0UhIdavKe4EQSJCTPd6wQa,"Black Cadillacs","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,163426,39,true,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.654,0.786,0,-4.697,1,0.0879,0.132,0,0.0756,0.806,120.097,4
spotify:track:2FgVVn5jX8lE7nSLnYKLhE,"One Chance","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,181506,39,false,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.461,0.675,7,-6.098,1,0.0659,0.304,0.00711,0.132,0.423,186.183,4
spotify:track:1fBO9S4vo5cfCfRK1Ofaxa,"The Good Times Are Killing Me","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,256800,47,true,,2010-12-31T21:44:41Z,"indie rock,indie,alternative rock","Epic",0.691,0.551,5,-8.984,1,0.0389,0.386,0.00115,0.223,0.654,93.979,4
