Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7csqf9U9jyjQPYDfCH75TJ,"Punk Rock:","Come On Die Young","Mogwai",1999-03-29,128826,0,false,,2010-12-31T21:49:10Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.481,0.253,9,-17.029,0,0.0296,0.916,0.838,0.0836,0.124,111.143,4
spotify:track:7p560I8pOWxqU20WI4uF1M,"CODY","Come On Die Young","Mogwai",1999-03-29,393240,0,false,,2010-12-31T21:49:10Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.39,0.301,4,-12.718,0,0.0305,0.325,0.0257,0.117,0.0338,133.233,4
spotify:track:15i01O5lb36U6z1zO20B8e,"Helps Both Ways","Come On Die Young","Mogwai",1999-03-29,293360,0,false,,2010-12-31T21:49:10Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.502,0.14,4,-15.948,0,0.0369,0.564,0.811,0.936,0.0376,97.21,4
spotify:track:0dNEJ32R6EhtN8PZaOAAvy,"Year 2000 Non-Compliant Cardia","Come On Die Young","Mogwai",1999-03-29,205640,0,false,,2010-12-31T21:49:10Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.503,0.525,7,-8.374,1,0.0312,0.000557,0.937,0.117,0.244,98.121,3
spotify:track:6llWlH4eUKTOCUjWy5LRSX,"Kappa","Come On Die Young","Mogwai",1999-03-29,292760,0,false,,2010-12-31T21:49:10Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.63,0.413,0,-11.247,1,0.0352,0.00175,0.767,0.207,0.0402,118.187,4
spotify:track:4GXiOkqcrGD8rFbYqaHUiR,"Waltz For Aidan","Come On Die Young","Mogwai",1999-03-29,224000,0,false,,2010-12-31T21:49:10Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.491,0.0577,9,-16.533,1,0.0333,0.407,0.78,0.0986,0.0371,109.206,3
spotify:track:1N7VBGh3nRuEW8SFYkOZk2,"May Nothing But Happiness Come Through Your Door","Come On Die Young","Mogwai",1999-03-29,509800,0,false,,2010-12-31T21:49:10Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.484,0.295,5,-13.157,1,0.0313,0.0896,0.772,0.446,0.0371,99.776,4
spotify:track:1zxrzpiHkZQxT0PQ1Rqyzo,"Oh! How The Dogs Stack Up","Come On Die Young","Mogwai",1999-03-29,123840,0,false,,2010-12-31T21:49:10Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.409,0.0957,9,-20.766,1,0.032,0.98,0.0318,0.352,0.364,78.316,4
spotify:track:4HwaHFYkIu5te6ClrnmaAP,"Ex-Cowboy","Come On Die Young","Mogwai",1999-03-29,549400,0,false,,2010-12-31T21:49:10Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.238,0.283,2,-11.85,0,0.0306,0.00134,0.904,0.11,0.0385,100.246,4
spotify:track:0nkVSg7F8HxuGpoH5BJWk4,"Chocky","Come On Die Young","Mogwai",1999-03-29,563333,0,false,,2010-12-31T21:49:10Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.28,0.508,7,-12.469,1,0.0522,0.000488,0.86,0.143,0.201,116.653,3
spotify:track:7pAiaDuLw9VaGmJ0KqnKcB,"Christmas Steps","Come On Die Young","Mogwai",1999-03-29,639026,0,false,,2010-12-31T21:49:10Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.376,0.0464,9,-14.803,1,0.0705,0.0718,0.857,0.168,0.0398,85.634,4
spotify:track:3pAwTKVzPLmqI4i0J0vTQt,"Punk Rock/Puff Daddy/Antichrist","Come On Die Young","Mogwai",1999-03-29,134373,0,false,,2010-12-31T21:49:10Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.142,0.377,9,-22.743,0,0.0562,0.867,0.956,0.0624,0.297,171.524,4
spotify:track:1Uomc7MeYw2zgeehLRvOtw,"Like Herod - Hood Remix","Kicking A Dead Pig","Mogwai",2001-10-01,416493,0,false,,2010-12-31T21:49:25Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.465,0.267,4,-17.232,1,0.0364,0.0144,0.86,0.123,0.104,123.249,4
spotify:track:6B8WhhvbLLmInI1GceE5h4,"Helicon 2 - Max Tundra Remix","Kicking A Dead Pig","Mogwai",2001-10-01,440506,0,false,,2010-12-31T21:49:25Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.43,0.362,6,-13.194,0,0.0405,0.0107,0.496,0.088,0.154,114.858,4
spotify:track:4RlWW7faVL2BKBvfMG8OO8,"Summer - Klute's Weird Winter Mix","Kicking A Dead Pig","Mogwai",2001-10-01,393066,0,false,,2010-12-31T21:49:25Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.607,0.649,0,-11.316,0,0.106,0.000867,0.861,0.0985,0.222,169.965,4
spotify:track:54j2vzu5HvFVuWUifrM79w,"Gwai on 45 - Arab Strap remix","Kicking A Dead Pig","Mogwai",2001-10-01,509800,0,false,,2010-12-31T21:49:25Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.689,0.282,5,-19.145,1,0.0561,0.714,0.883,0.0901,0.0366,114.981,4
spotify:track:2XqNMcTZClSTY7sKTP1svZ,"A Cheery Wave from Stranded Youngsters - Third Eye Foundation Tet Offensive Remix","Kicking A Dead Pig","Mogwai",2001-10-01,309933,0,false,,2010-12-31T21:49:25Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.446,0.399,9,-18.896,1,0.0421,0.00476,0.785,0.298,0.117,80.661,4
spotify:track:02xKvRReTU5A3eQp7WENLB,"Like Herod - Alec Empire's Face The Future Remix","Kicking A Dead Pig","Mogwai",2001-10-01,315066,0,false,,2010-12-31T21:49:25Z,"post-rock,shoegaze,math rock","Chemikal Underground Records",0.338,0.674,7,-11.844,1,0.121,0.143,0.786,0.107,0.465,83.225,4
