Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5KLZDzUwTvJmNV3t5bjBCs,"Hungry Face","Les Revenants Soundtrack","Mogwai",2013-02-25,144693,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.579,0.607,7,-10.548,1,0.0282,0.794,0.926,0.0717,0.36,108.965,4
spotify:track:77usMf9weSg5uBP00Cmh5j,"Jaguar","Les Revenants Soundtrack","Mogwai",2013-02-25,138960,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.364,0.171,11,-23.241,1,0.0537,0.67,0.884,0.0962,0.0577,199.97,4
spotify:track:5A17kBjM3iP58w4hxf1ky1,"The Huts","Les Revenants Soundtrack","Mogwai",2013-02-25,242320,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.753,0.282,0,-18.651,1,0.061,0.833,0.893,0.117,0.0396,148.065,4
spotify:track:3M8ATR8VRxZdSAbieOQVZS,"Kill Jester","Les Revenants Soundtrack","Mogwai",2013-02-25,209853,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.673,0.2,7,-11.851,1,0.0323,0.858,0.951,0.109,0.139,105.044,3
spotify:track:716b5TcySpSeEdPGD7P0oX,"This Messiah Needs Watching","Les Revenants Soundtrack","Mogwai",2013-02-25,277040,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.338,0.387,9,-13.478,0,0.0336,0.621,0.784,0.0961,0.144,108.131,5
spotify:track:1zICTkTBYvVYaoCxceiJIC,"Whisky Time","Les Revenants Soundtrack","Mogwai",2013-02-25,99933,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.611,0.00864,11,-24.759,0,0.06,0.901,0.948,0.11,0.162,100.025,4
spotify:track:51cEre5bGWwbN5wiR1Bq3X,"Special N","Les Revenants Soundtrack","Mogwai",2013-02-25,229066,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.459,0.575,4,-9.24,1,0.0255,0.00504,0.892,0.111,0.0568,100.008,4
spotify:track:0KGIKWkPQ8iDr0LZBF6M1Y,"Relative Hysteria","Les Revenants Soundtrack","Mogwai",2013-02-25,220826,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.551,0.387,4,-11.972,1,0.0286,0.361,0.885,0.111,0.0536,91.034,4
spotify:track:5z1fuyDFCA6Nedrj6fGLb4,"Fridge Magic","Les Revenants Soundtrack","Mogwai",2013-02-25,202933,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.379,0.165,10,-14.241,1,0.0374,0.754,0.934,0.106,0.039,139.966,4
spotify:track:5UhMWJj1ZxCDnm1ZxZDv5y,"Portugal","Les Revenants Soundtrack","Mogwai",2013-02-25,241520,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.147,0.471,5,-11.012,0,0.038,0.863,0.962,0.0914,0.0419,89.967,3
spotify:track:0lLZnL5JmrUvkbt8wmMmyH,"Eagle Tax","Les Revenants Soundtrack","Mogwai",2013-02-25,201906,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.591,0.47,2,-13.396,1,0.0323,0.771,0.952,0.136,0.0392,102.945,5
spotify:track:7itPaqpPgbrCOn4Qv2VyVO,"Modern","Les Revenants Soundtrack","Mogwai",2013-02-25,168946,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.395,0.675,7,-9.53,1,0.0389,0.635,0.796,0.125,0.0699,103.021,4
spotify:track:2vcYBTtT3IPzkgHRujGv1y,"What Are They Doing In Heaven Today?","Les Revenants Soundtrack","Mogwai",2013-02-25,352320,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.51,0.239,0,-13.362,1,0.0293,0.382,0.0403,0.128,0.163,99.855,3
spotify:track:3OjQdswP24lGYkPqcRTGZD,"Wizard Motor","Les Revenants Soundtrack","Mogwai",2013-02-25,281120,0,false,5forty,2013-03-11T19:18:01Z,"post-rock,shoegaze,math rock","Rock Action Records",0.43,0.773,1,-7.554,1,0.0354,0.000622,0.914,0.138,0.0792,99.988,1
