Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:45dNWdzIqcgdJuEPRcDMHQ,"Heard About You Last Night","RAVE TAPES","Mogwai",2014-01-20,324106,0,false,5forty,2014-01-20T02:46:36Z,"post-rock,shoegaze,math rock","Rock Action Records",0.509,0.349,3,-13.183,1,0.0317,0.133,0.845,0.0738,0.153,119.968,4
spotify:track:25aup5UErkDCLLbfLt47FW,"Simon Ferocious","RAVE TAPES","Mogwai",2014-01-20,289120,0,false,5forty,2014-01-20T02:46:36Z,"post-rock,shoegaze,math rock","Rock Action Records",0.483,0.544,5,-12.714,0,0.0325,0.0141,0.736,0.141,0.221,105.995,4
spotify:track:4K6XQKmSiR70aWnhCNfGfU,"Remurdered","RAVE TAPES","Mogwai",2014-01-20,385946,0,false,5forty,2014-01-20T02:46:36Z,"post-rock,shoegaze,math rock","Rock Action Records",0.57,0.566,10,-12.26,1,0.0306,0.000243,0.709,0.107,0.211,114.004,4
spotify:track:2Le0wPhT0TjEIHEhSyMxn7,"Hexon Bogon","RAVE TAPES","Mogwai",2014-01-20,155920,0,false,5forty,2014-01-20T02:46:36Z,"post-rock,shoegaze,math rock","Rock Action Records",0.382,0.726,0,-9.028,0,0.0386,0.0000326,0.735,0.0652,0.334,129.923,4
spotify:track:6msByaKdpqbu4YpVPlvkJf,"Repelish","RAVE TAPES","Mogwai",2014-01-20,236306,0,false,5forty,2014-01-20T02:46:36Z,"post-rock,shoegaze,math rock","Rock Action Records",0.561,0.396,3,-15.396,1,0.027,0.319,0.808,0.241,0.341,137.019,4
spotify:track:53s5GnnHANg3duUlvLJ4bt,"Master Card","RAVE TAPES","Mogwai",2014-01-20,237960,0,false,5forty,2014-01-20T02:46:36Z,"post-rock,shoegaze,math rock","Rock Action Records",0.591,0.75,2,-9.228,0,0.0445,0.000054,0.727,0.0829,0.641,123.99,4
spotify:track:78QzbnDUnj7HlshhcG1yzJ,"Deesh","RAVE TAPES","Mogwai",2014-01-20,333640,0,false,5forty,2014-01-20T02:46:36Z,"post-rock,shoegaze,math rock","Rock Action Records",0.298,0.524,10,-11.865,0,0.0296,0.0228,0.866,0.222,0.212,174.059,4
spotify:track:2whhntzXjqqezogGnRdfir,"Blues Hour","RAVE TAPES","Mogwai",2014-01-20,377866,0,false,5forty,2014-01-20T02:46:36Z,"post-rock,shoegaze,math rock","Rock Action Records",0.248,0.235,0,-12.938,1,0.0302,0.337,0.906,0.0993,0.0439,136.377,4
spotify:track:7Jxb9UKQyrXTv0dSr498Ny,"No Medicine for Regret","RAVE TAPES","Mogwai",2014-01-20,340640,0,false,5forty,2014-01-20T02:46:36Z,"post-rock,shoegaze,math rock","Rock Action Records",0.368,0.344,9,-12.152,0,0.0354,0.0249,0.838,0.112,0.17,113.018,4
spotify:track:0qHpESnilBXKYK8NM3fRf9,"The Lord Is Out Of Control","RAVE TAPES","Mogwai",2014-01-20,263453,0,false,5forty,2014-01-20T02:46:36Z,"post-rock,shoegaze,math rock","Rock Action Records",0.344,0.321,5,-11.16,1,0.0423,0.000941,0.917,0.154,0.249,120.434,3
