Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6EPul0zkvRijlQvjrGoE4I,"George Square Thatcher Death Party - Justin K Broadrick Reshape","A Wrenched Virile Lore","Mogwai",2012-11-19,306813,0,false,5forty,2012-12-06T04:52:38Z,"post-rock,shoegaze,math rock","Rock Action Records",0.497,0.857,6,-7.989,0,0.0303,0.00155,0.524,0.11,0.679,130.022,4
spotify:track:729LpJ8XX9ZXiwb6lGiPNG,"Rano Pano - Klad Hest Mogwai Is My Dick RMX","A Wrenched Virile Lore","Mogwai",2012-11-19,440720,0,false,5forty,2012-12-06T04:52:38Z,"post-rock,shoegaze,math rock","Rock Action Records",0.488,0.892,1,-8.629,0,0.0469,0.0205,0.887,0.111,0.181,93.003,4
spotify:track:6vbJLfxRXWhFexpJB1DDpt,"White Noise - EVP Mix by Cylob","A Wrenched Virile Lore","Mogwai",2012-11-19,312960,0,false,5forty,2012-12-06T04:52:38Z,"post-rock,shoegaze,math rock","Rock Action Records",0.607,0.683,6,-12.652,0,0.0345,0.703,0.89,0.115,0.411,120.013,4
spotify:track:3tCgDN4oKWJfHBCD5BDdjh,"How to Be a Werewolf - Xander Harris Remix","A Wrenched Virile Lore","Mogwai",2012-11-19,412413,0,false,5forty,2012-12-06T04:52:38Z,"post-rock,shoegaze,math rock","Rock Action Records",0.642,0.563,7,-11.256,1,0.0507,0.000449,0.875,0.0545,0.189,127.031,4
spotify:track:1qouFLSIXEOZGSB1waoGhV,"Letters to the Metro - Zombi Remix","A Wrenched Virile Lore","Mogwai",2012-11-19,441653,0,false,5forty,2012-12-06T04:52:38Z,"post-rock,shoegaze,math rock","Rock Action Records",0.603,0.843,4,-10.274,0,0.0395,0.000652,0.857,0.109,0.106,109.996,4
spotify:track:6FoBK5GYoWilS649unWlUK,"Mexican Grand Prix - reworked by RM Hubbert","A Wrenched Virile Lore","Mogwai",2012-11-19,274973,0,false,5forty,2012-12-06T04:52:38Z,"post-rock,shoegaze,math rock","Rock Action Records",0.456,0.251,5,-16.995,1,0.0341,0.916,0.791,0.136,0.552,143.99,4
spotify:track:0A97zSsTJSjr0rfgoJgLmM,"Rano Pano - Tim Hecker Remix","A Wrenched Virile Lore","Mogwai",2012-11-19,284400,0,false,5forty,2012-12-06T04:52:38Z,"post-rock,shoegaze,math rock","Rock Action Records",0.366,0.442,1,-15.934,0,0.0389,0.242,0.925,0.174,0.321,186.025,4
spotify:track:6RxhLrzkRcOWsFp6EErYdi,"San Pedro - The Soft Moon Remix","A Wrenched Virile Lore","Mogwai",2012-11-19,231560,0,false,5forty,2012-12-06T04:52:38Z,"post-rock,shoegaze,math rock","Rock Action Records",0.459,0.946,2,-6.619,1,0.0623,0.0000521,0.774,0.131,0.0787,130.034,4
spotify:track:7JqAX3FJO4FG13u5lzYeR2,"Too Raging to Cheers - Umberto Remix","A Wrenched Virile Lore","Mogwai",2012-11-19,389586,0,false,5forty,2012-12-06T04:52:38Z,"post-rock,shoegaze,math rock","Rock Action Records",0.435,0.477,0,-10.265,0,0.033,0.39,0.923,0.0772,0.0399,135.006,4
spotify:track:5DOBIMYuDHEYrMe0i7S4Qc,"La Mort Blanche - Robert Hampson Remix","A Wrenched Virile Lore","Mogwai",2012-11-19,822893,0,false,5forty,2012-12-06T04:52:38Z,"post-rock,shoegaze,math rock","Rock Action Records",0.176,0.563,0,-12.898,1,0.0516,0.735,0.74,0.258,0.0515,119.973,4
