Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:11VJR4xCNF5nNiRnepnQza,"White Noise","Hardcore Will Never Die, but You Will (Music for a Forgotten Future)","Mogwai",2011-02-14,303520,0,false,5forty,2013-03-22T02:03:59Z,"post-rock,shoegaze,math rock","Rock Action Records",0.483,0.82,6,-5.827,0,0.043,0.000112,0.937,0.372,0.301,120.002,4
spotify:track:4uK0yMnGBVMZa6c8UeHVpV,"Mexican Grand Prix","Hardcore Will Never Die, but You Will (Music for a Forgotten Future)","Mogwai",2011-02-14,317480,0,false,5forty,2013-03-22T02:03:59Z,"post-rock,shoegaze,math rock","Rock Action Records",0.471,0.736,9,-6.231,0,0.113,0.00000955,0.816,0.0669,0.275,143.997,4
spotify:track:1IBfjA0CiK5t8vIvL09Evi,"Rano Pano","Hardcore Will Never Die, but You Will (Music for a Forgotten Future)","Mogwai",2011-02-14,314920,0,false,5forty,2013-03-22T02:03:59Z,"post-rock,shoegaze,math rock","Rock Action Records",0.105,0.783,9,-5.994,1,0.0669,0.000115,0.929,0.122,0.178,186.36,4
spotify:track:2bb9QnuaY5PoPxWUeseyvh,"Death Rays","Hardcore Will Never Die, but You Will (Music for a Forgotten Future)","Mogwai",2011-02-14,360640,0,false,5forty,2013-03-22T02:03:59Z,"post-rock,shoegaze,math rock","Rock Action Records",0.324,0.432,0,-7.555,1,0.0361,0.000277,0.852,0.11,0.069,109.918,4
spotify:track:4wQDYd6VUCafWptPhnWq7k,"San Pedro","Hardcore Will Never Die, but You Will (Music for a Forgotten Future)","Mogwai",2011-02-14,207160,0,false,5forty,2013-03-22T02:03:59Z,"post-rock,shoegaze,math rock","Rock Action Records",0.39,0.904,7,-4.842,0,0.0591,0,0.879,0.09,0.339,129.981,4
spotify:track:3ey8PVGLAZOfLg7OovI3i4,"Letters to the Metro","Hardcore Will Never Die, but You Will (Music for a Forgotten Future)","Mogwai",2011-02-14,280626,0,false,5forty,2013-03-22T02:03:59Z,"post-rock,shoegaze,math rock","Rock Action Records",0.508,0.218,9,-12.21,0,0.0292,0.589,0.929,0.0363,0.0646,59.005,4
spotify:track:2iSfjISxCxE6eJmju32NlW,"George Square Thatcher Death Party","Hardcore Will Never Die, but You Will (Music for a Forgotten Future)","Mogwai",2011-02-14,239440,0,false,5forty,2013-03-22T02:03:59Z,"post-rock,shoegaze,math rock","Rock Action Records",0.524,0.879,9,-6.663,1,0.0426,0.00000143,0.86,0.174,0.526,130.039,4
spotify:track:7iqFA5qbxdKVdbx7LB6PZQ,"How to Be a Werewolf","Hardcore Will Never Die, but You Will (Music for a Forgotten Future)","Mogwai",2011-02-14,382613,0,false,5forty,2013-03-22T02:03:59Z,"post-rock,shoegaze,math rock","Rock Action Records",0.546,0.601,2,-8.94,1,0.0379,0.0235,0.746,0.0856,0.0395,126.995,4
spotify:track:7bK6ueUUrHgBj4jdJllS4f,"Too Raging to Cheers","Hardcore Will Never Die, but You Will (Music for a Forgotten Future)","Mogwai",2011-02-14,269573,0,false,5forty,2013-03-22T02:03:59Z,"post-rock,shoegaze,math rock","Rock Action Records",0.185,0.208,5,-8.208,1,0.0384,0.00513,0.944,0.122,0.0602,134.922,4
spotify:track:4ChX3s9oKNbhTj6aw5kiI9,"You're Lionel Ritchie","Hardcore Will Never Die, but You Will (Music for a Forgotten Future)","Mogwai",2011-02-14,509253,0,false,5forty,2013-03-22T02:03:59Z,"post-rock,shoegaze,math rock","Rock Action Records",0.315,0.319,5,-9.594,1,0.0324,0.0101,0.657,0.102,0.0378,96.866,4
spotify:track:5qTtr9XaN8vMwfy9eyuhC4,"Music for a Forgotten Future","Hardcore Will Never Die, but You Will (Music for a Forgotten Future)","Mogwai",2011-02-14,1389173,0,false,5forty,2013-03-22T02:03:59Z,"post-rock,shoegaze,math rock","Rock Action Records",0.135,0.283,5,-13.068,1,0.0336,0.941,0.942,0.45,0.0365,143.942,5
