Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3AgEOAo3dvkjtsBmeTGRjg,"Get A Move On!","Keep It Unreal (10th Anniversary Analogue Remaster Edition)","Mr. Scruff;Sneaky",1999,454600,44,false,5forty,2013-01-07T20:48:20Z,"electro swing,trip hop,nu jazz,downtempo,acid jazz","Ninja Tune",0.76,0.767,7,-7.586,1,0.0482,0.00344,0.759,0.519,0.816,123.324,4
spotify:track:3EICmI9QNviAUB17cT3HZz,"Get a Move On","Hôtel Costes - La Suite (Mixed by Stéphane Pompougnac) [Bonus Track Version]","Mr. Scruff",1999-11-16,332959,0,false,5forty,2013-01-07T20:48:20Z,"electro swing,trip hop,nu jazz,downtempo,acid jazz","Pschent Music",0.769,0.753,6,-6.475,0,0.0833,0.00322,0.447,0.527,0.814,128.019,4
spotify:track:54KxjGEVqy7wtoICc4858l,"Spandex Man","Keep It Unreal","Mr. Scruff",1999,278140,31,false,5forty,2013-01-07T20:48:20Z,"electro swing,trip hop,nu jazz,downtempo,acid jazz","Ninja Tune",0.707,0.522,7,-9.798,1,0.259,0.0691,0.876,0.105,0.727,208.065,4
spotify:track:6NjS0gT3ysUiIhEmtVfbcA,"Get A Move On! - Radio Edit","Get A Move On!","Mr. Scruff;Sneaky",1999,206786,5,false,5forty,2013-01-07T20:48:20Z,"electro swing,trip hop,nu jazz,downtempo,acid jazz","Ninja Tune",0.749,0.751,7,-8.11,1,0.0508,0.00148,0.579,0.352,0.694,123.331,4
spotify:track:0yEsVvLF98B5uiBxdc9M0N,"Music Takes Me Up","Ninja Tuna","Mr. Scruff;Alice Russell",2008-09-22,328466,0,false,5forty,2013-01-07T20:48:20Z,"electro swing,trip hop,nu jazz,downtempo,acid jazz,retro soul","Ninja Tune",0.66,0.809,4,-8.65,0,0.0359,0.0752,0.00402,0.114,0.51,97.378,4
spotify:track:3iTj3jTuR7bZjduagnJTeY,"Is He Ready?","Keep It Unreal (10th Anniversary Analogue Remaster Edition)","Mr. Scruff",1999,16466,0,false,5forty,2013-01-07T20:48:20Z,"electro swing,trip hop,nu jazz,downtempo,acid jazz","Ninja Tune",0.519,0.187,8,-22.937,1,0.722,0.944,0.0000156,0.37,0,104.177,4
spotify:track:2cSk6QZIEay3qRSLS2J4Gd,"Spandex Man","Keep It Unreal (10th Anniversary Analogue Remaster Edition)","Mr. Scruff",1999,281400,24,false,5forty,2013-01-07T20:48:20Z,"electro swing,trip hop,nu jazz,downtempo,acid jazz","Ninja Tune",0.718,0.551,7,-8.919,1,0.319,0.0848,0.855,0.151,0.688,207.968,4
spotify:track:3AgEOAo3dvkjtsBmeTGRjg,"Get A Move On!","Keep It Unreal (10th Anniversary Analogue Remaster Edition)","Mr. Scruff;Sneaky",1999,454600,44,false,5forty,2013-01-07T20:48:20Z,"electro swing,trip hop,nu jazz,downtempo,acid jazz","Ninja Tune",0.76,0.767,7,-7.586,1,0.0482,0.00344,0.759,0.519,0.816,123.324,4
spotify:track:1kso4ftbucCeUK4F4q7Nsk,"Midnight Feast","Keep It Unreal (10th Anniversary Analogue Remaster Edition)","Mr. Scruff",1999,216440,41,false,5forty,2013-01-07T20:48:20Z,"electro swing,trip hop,nu jazz,downtempo,acid jazz","Ninja Tune",0.771,0.29,7,-10.579,1,0.0873,0.089,0.903,0.121,0.127,81.045,4
spotify:track:4MgBzMR1KJg6YCrMSRueQM,"Honeydew","Keep It Unreal (10th Anniversary Analogue Remaster Edition)","Mr. Scruff;Feebi",1999,456026,33,false,5forty,2013-01-07T20:48:20Z,"electro swing,trip hop,nu jazz,downtempo,acid jazz","Ninja Tune",0.79,0.655,1,-11.527,1,0.0772,0.0171,0.00138,0.454,0.7,138.99,4
