Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2nlivHG7sBn9C22SBhzuQp,"Better Way To Live","Fine Art","KNEECAP;Grian Chatten",2024-06-14,176848,62,true,ix0fkflzes2ljqak9nmae7jcb,2024-08-28T08:45:25Z,"","Heavenly Recordings",0.788,0.69,4,-6.897,0,0.219,0.218,0,0.413,0.813,94.012,4
spotify:track:7C3O1iMUgxj59WQxJjvU61,"Sick In The Head","Fine Art","KNEECAP",2024-06-14,152197,58,true,ix0fkflzes2ljqak9nmae7jcb,2024-08-28T09:33:19Z,"","Heavenly Recordings",0.721,0.883,7,-5.73,1,0.259,0.512,0,0.465,0.538,102.108,4
spotify:track:21jmykqS340CuvBBoNCUsU,"Midnight Dipper","Tainted Lunch","Warmduscher",2019-11-01,185919,49,false,ix0fkflzes2ljqak9nmae7jcb,2024-08-28T08:46:04Z,"egg punk,post-punk","The Leaf Label",0.735,0.519,0,-6.352,0,0.0921,0.268,0.000405,0.267,0.842,105.804,4
spotify:track:1O3Ci5e4Ca936YoJTyOUzx,"Staying Alive","Staying Alive","Warmduscher",2024-08-07,194226,0,false,ix0fkflzes2ljqak9nmae7jcb,2024-08-28T08:46:11Z,"egg punk,post-punk","Strap Originals",0.575,0.905,4,-4.126,1,0.0468,0.331,0.00000273,0.0944,0.552,98.696,4
spotify:track:07MmMkkxvMpcc9uvfjj46i,"The Last Rotation Of Earth","The Last Rotation Of Earth","BC Camplight",2023-05-12,249000,29,false,ix0fkflzes2ljqak9nmae7jcb,2024-08-28T08:46:27Z,"","Bella Union",0.531,0.714,0,-4.979,1,0.0443,0.0838,0.000525,0.161,0.816,78.039,4
spotify:track:50176qKJ6lYRYfy8BQ9UdK,"I'm Desperate","Deportation Blues","BC Camplight",2018-08-24,249666,27,false,ix0fkflzes2ljqak9nmae7jcb,2024-08-28T08:46:34Z,"","Bella Union",0.353,0.79,8,-6.374,1,0.0578,0.00206,0.0118,0.297,0.231,178.103,4
spotify:track:469d5BNae99knRggeaqA0n,"Up and Comer","Letter to Self","SPRINTS",2024-01-05,226385,32,false,ix0fkflzes2ljqak9nmae7jcb,2024-08-28T08:46:49Z,"post-punk","City Slang",0.307,0.717,6,-5.656,0,0.0758,0.0183,0.000349,0.132,0.16,92.739,4
spotify:track:02bA26OEe0nNFyE3YcNx4K,"Heavy","Letter to Self","SPRINTS",2024-01-05,207409,44,false,ix0fkflzes2ljqak9nmae7jcb,2024-08-28T08:46:54Z,"post-punk","City Slang",0.348,0.705,11,-5.925,1,0.0591,0.00435,0.000738,0.0877,0.189,88.581,4
spotify:track:2oi55VmillH7At5wHVNFbE,"Mehram","Mehram","Asfar Hussain;Arooj Aftab",2022-01-29,338973,42,false,ix0fkflzes2ljqak9nmae7jcb,2024-08-28T08:47:09Z,"sufi,qawwali,indian indie,hindi indie","Giraffe Pakistan",0.366,0.12,1,-15.475,1,0.0344,0.895,0.00191,0.113,0.0637,129.95,4
spotify:track:2ZeVYOdBt4wqY5u7T54yWT,"Whiskey","Night Reign","Arooj Aftab",2024-05-31,307007,29,false,ix0fkflzes2ljqak9nmae7jcb,2024-08-28T08:47:14Z,"","Arooj Aftab",0.364,0.267,5,-15.349,0,0.03,0.679,0.0486,0.194,0.178,111.135,3
spotify:track:1HqPMPBhjbf7DR5f60MYpm,"Pat Earrings","Famous Last Words","CASISDEAD",2023-10-27,235866,46,true,ix0fkflzes2ljqak9nmae7jcb,2024-08-28T08:47:25Z,"grime,uk grime","XL Recordings",0.76,0.557,5,-8.366,1,0.0764,0.0578,0.00353,0.0985,0.117,102.016,4
