Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4dd48vnIkl6LXaliFmZb7i,"Soft As Snow (But Warm Inside) - Remastered Version","Isn't Anything","my bloody valentine",1988-11-21,142226,0,false,,2012-07-17T01:09:34Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.366,0.912,1,-7.663,1,0.113,0.000123,0.0555,0.187,0.492,88.351,4
spotify:track:5cbgkkdNVvwimsEEsdDTq1,"Lose My Breath - Remastered Version","Isn't Anything","my bloody valentine",1988-11-21,218000,0,false,,2012-07-17T01:09:34Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.391,0.653,6,-11.524,1,0.0266,0.000526,0.841,0.0954,0.398,92.229,4
spotify:track:7LNsZbo97C0NOLtkNPIu8K,"Cupid Come - Remastered Version","Isn't Anything","my bloody valentine",1988-11-21,269813,0,false,,2012-07-17T01:09:34Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.462,0.85,0,-6.456,1,0.0299,0.000608,0.747,0.119,0.441,107.29,4
spotify:track:4cLPUS573z5vLrKNoavOfw,"(When You Wake) You're Still In A Dream - Remastered Version","Isn't Anything","my bloody valentine",1988-11-21,198640,0,false,,2012-07-17T01:09:34Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.249,0.957,11,-4.369,0,0.0515,0.0000205,0.782,0.177,0.45,152.837,4
spotify:track:4flpOYm2Y4RaPLLq0xLZOD,"No More Sorry - Remastered Version","Isn't Anything","my bloody valentine",1988-11-21,167800,0,false,,2012-07-17T01:09:34Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.0729,0.381,3,-8.69,0,0.0396,0.0000514,0.908,0.182,0.257,80.463,1
spotify:track:1Mfput14ctJdaflFxlBlJe,"All I Need - Remastered Version","Isn't Anything","my bloody valentine",1988-11-21,185026,0,false,,2012-07-17T01:09:34Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.293,0.954,6,-7.702,0,0.129,0.000444,0.863,0.258,0.0865,107.293,4
spotify:track:1vJvMCzOipwm4mDiDem7BO,"Feed Me With Your Kiss - Remastered Version","Isn't Anything","my bloody valentine",1988-11-21,234933,0,false,,2012-07-17T01:09:34Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.0912,0.953,2,-5.084,0,0.0952,0.00000106,0.942,0.13,0.219,165.355,4
spotify:track:6fHSpWuFyEgx3AcGBYmIp0,"Suesfine - Remastered Version","Isn't Anything","my bloody valentine",1988-11-21,132946,0,false,,2012-07-17T01:09:34Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.108,0.992,0,-5.956,1,0.132,0.00000561,0.887,0.403,0.0365,171.947,4
spotify:track:7mb7GhVmLoLAdbiaIwHJQV,"Several Girls Galore - Remastered Version","Isn't Anything","my bloody valentine",1988-11-21,141160,0,false,,2012-07-17T01:09:34Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.268,0.963,1,-5.942,1,0.175,0.0031,0.871,0.792,0.145,138.954,4
spotify:track:1nrFrMDJF22j1zNvcv35ss,"You Never Should - Remastered Version","Isn't Anything","my bloody valentine",1988-11-21,203040,0,false,,2012-07-17T01:09:34Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.154,0.971,8,-4.586,1,0.0981,0.00000208,0.82,0.281,0.153,159.942,4
spotify:track:79gCsuSOqUUSZO2SxQDTYY,"Nothing Much To Loose - Remastered Version","Isn't Anything","my bloody valentine",1988-11-21,197706,0,false,,2012-07-17T01:09:34Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.28,0.977,2,-5.613,1,0.153,0.00000489,0.824,0.169,0.0702,130.333,4
spotify:track:7iC7ZYs8CxHvPl9AYbIR8g,"I Can See It (But I Can't Feel It) - Remastered Version","Isn't Anything","my bloody valentine",1988-11-21,194693,0,false,,2012-07-17T01:09:34Z,"shoegaze,dream pop,slowcore,noise rock","Creation Records",0.256,0.713,7,-7.729,0,0.0331,0.0000217,0.677,0.104,0.641,174.342,4
