Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2TcdvHNJYlkEZOKgSG41cJ,"Organ Symphony No. 1 in E-Flat Major: IV. Andante","Symphonica","Otto Olsson;Gotthard Arner",2014-04-01,405552,0,false,5forty,2016-01-10T05:21:05Z,"","Proprius",0.0614,0.000211,8,-43.692,1,0.0504,0.62,0.438,0.114,0.243,75.497,3
spotify:track:5ATNYwdGdylTYCAxhkDmSs,"Merry-Go-Round","Island Universe","James and Blackburn",2012-01-10,197293,0,false,5forty,2020-03-04T18:49:30Z,"","James and Blackburn",0.514,0.659,8,-8.573,1,0.0294,0.264,0.848,0.116,0.547,168.069,4
spotify:track:0QS28YSUyJjIygfy1NuMXi,"Hey Jo","Hey Jo","The Districts",2019-11-06,235786,0,true,5forty,2020-03-04T18:49:30Z,"","Fat Possum",0.411,0.778,9,-5.481,1,0.0536,0.0303,0.00211,0.415,0.479,173.925,4
spotify:track:3DSR37UmPY0V3Q8GFwPMIR,"Riding Solo","Riding Solo","Hinds",2019-12-03,216986,0,true,5forty,2020-03-04T18:49:30Z,"","Lucky Number",0.399,0.91,2,-5.285,1,0.0482,0.000125,0.204,0.196,0.537,175.978,4
spotify:track:0YvJi6WHE6eRHEvGC9wf76,"Want","Want (Deluxe Version)","Rufus Wainwright",2005-01-01,310973,0,false,5forty,2020-03-04T18:49:30Z,"singer-songwriter","Universal Music Group",0.391,0.312,2,-12.211,1,0.0315,0.765,0.000317,0.105,0.0968,112.286,4
spotify:track:3DYTSfmIS1ej6afbJRRjZt,"Lupo","Cairobi","Cairobi",2017-01-27,348360,0,false,5forty,2020-03-04T18:49:30Z,"space rock,neo-psychedelic","Week of Wonders",0.472,0.897,2,-5.819,1,0.0539,0.00127,0.0469,0.324,0.756,162.045,4
spotify:track:6jV4D5egMQKJzpcu9blbG6,"Sticky Hulks","Mutilator Defeated at Last","Thee Oh Sees",2015-05-26,410600,38,false,5forty,2020-03-04T18:49:30Z,"garage rock,neo-psychedelic,psychedelic rock,noise rock,egg punk,acid rock,space rock","Castle Face",0.363,0.584,7,-7.635,1,0.0288,0.0595,0.677,0.0991,0.467,139.23,4
spotify:track:6Xzfs35KS1EEONuLfn4fzH,"Congregation","Ones and Sixes","Low",2015-09-11,231533,0,false,5forty,2020-04-17T20:24:40Z,"slowcore,dream pop,post-rock","Sub Pop Records",0.593,0.484,8,-9.76,1,0.0343,0.0302,0.189,0.297,0.647,161.995,4
spotify:track:2z2u1XOwu9KAPvSXxE9gTD,"Aries (feat. Peter Hook and Georgia)","Aries (feat. Peter Hook and Georgia)","Gorillaz;Peter Hook;Georgia",2020-04-09,253333,0,false,5forty,2020-06-21T10:01:39Z,"madchester,acid house,chicago house","Parlophone UK",0.611,0.667,2,-7.801,1,0.0342,0.0175,0.0844,0.241,0.793,119.996,4
spotify:track:4RaHOv9CxrO5dtkM4MxicM,"Buy Nothing Day","Rolling Blackouts","The Go! Team",2011-01-30,239066,0,false,5forty,2020-07-18T16:00:56Z,"plunderphonics,alternative dance","Memphis Industries",0.235,0.783,4,-3.724,1,0.0534,0.0000158,0.156,0.388,0.399,141.258,4
spotify:track:7dGgCgyGJW0KUcRnxpq1Z8,"Northern Sky","Bryter Layter","Nick Drake",1970-03-06,223866,0,false,5forty,2020-09-05T20:43:49Z,"folk,singer-songwriter","Universal Music Group",0.539,0.261,5,-18.45,0,0.0393,0.54,0.785,0.128,0.466,89.837,4
spotify:track:54KFQB6N4pn926IUUYZGzK,"To Build A Home","Ma Fleur","The Cinematic Orchestra;Patrick Watson",2007-05-07,371320,75,false,5forty,2020-09-16T17:24:57Z,"nu jazz,downtempo","Ninja Tune",0.264,0.122,9,-15.399,1,0.0349,0.885,0.349,0.094,0.0735,148.658,4
spotify:track:7FENfCageZo0STA2IqJd2N,"Jack In Titanic","Jack In Titanic","BODEGA",2018-05-03,184825,0,false,5forty,2020-10-24T11:52:25Z,"post-punk","What's Your Rupture",0.687,0.584,10,-5.964,0,0.0288,0.026,0.0108,0.0879,0.38,108.024,4
spotify:track:4q26ViixkilRLjl1MdLABS,"My Only Swerving","El Ten Eleven","El Ten Eleven",2005-09-20,314586,0,false,5forty,2020-12-23T22:22:03Z,"post-rock,math rock","Fake Record Label",0.521,0.627,4,-11.863,1,0.0471,0.109,0.829,0.122,0.139,171.84,4
spotify:track:1WETgXqmJ2NaziQhtav0pK,"Moth's Wings","Manners","Passion Pit",2009,256320,45,false,5forty,2021-01-10T00:21:48Z,"indie","Columbia",0.514,0.727,11,-6.219,1,0.0283,0.00138,0.0916,0.0756,0.136,120.995,4
spotify:track:4RaHOv9CxrO5dtkM4MxicM,"Buy Nothing Day","Rolling Blackouts","The Go! Team",2011-01-30,239066,0,false,5forty,2021-01-13T09:04:13Z,"plunderphonics,alternative dance","Memphis Industries",0.235,0.783,4,-3.724,1,0.0534,0.0000158,0.156,0.388,0.399,141.258,4
