Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3mjnb1TW98Z2MgKWe52zBT,"L Y F","Go Tell Fire To The Mountain","WU LYF",2011-06-13,270573,0,false,5forty,2018-07-19T07:32:01Z,"","LYF Recordings",0.254,0.595,7,-7.873,1,0.0328,0.0376,0.274,0.262,0.156,132.233,4
spotify:track:0Fs1vFNUvUQbFAI1Romaf2,"Cave Song","Go Tell Fire To The Mountain","WU LYF",2011-06-13,228133,0,false,5forty,2018-07-19T07:32:01Z,"","LYF Recordings",0.275,0.95,11,-5.301,0,0.101,0.106,0.0319,0.117,0.375,135.534,4
spotify:track:2urAOHFg15M7gRt9tpAlRJ,"Such A Sad Puppy Dog","Go Tell Fire To The Mountain","WU LYF",2011-06-13,331293,0,false,5forty,2018-07-19T07:32:01Z,"","LYF Recordings",0.206,0.49,3,-9.036,1,0.0351,0.136,0.000746,0.11,0.0618,99.438,4
spotify:track:1FZNWo5FNBNNoUEPdNJLLU,"Summas Bliss","Go Tell Fire To The Mountain","WU LYF",2011-06-13,240040,0,false,5forty,2018-07-19T07:32:01Z,"","LYF Recordings",0.375,0.811,2,-8.178,0,0.0571,0.202,0.436,0.161,0.303,134.642,4
spotify:track:5jKquctaN6WpxQvWMUO5sP,"We Bros","Go Tell Fire To The Mountain","WU LYF",2011-06-13,386826,0,false,5forty,2018-07-19T07:32:01Z,"","LYF Recordings",0.31,0.829,5,-7.39,0,0.103,0.205,0.000223,0.257,0.173,128.058,4
spotify:track:56mgbW81OVXwAgUsNkewPA,"Spitting Blood","Go Tell Fire To The Mountain","WU LYF",2011-06-13,227306,0,false,5forty,2018-07-19T07:32:01Z,"","LYF Recordings",0.366,0.741,2,-7.071,0,0.075,0.194,0.0000346,0.333,0.141,131.734,4
spotify:track:5btdHCCsrhgOLpGcdABdNx,"Dirt","Go Tell Fire To The Mountain","WU LYF",2011-06-13,198066,0,false,5forty,2018-07-19T07:32:01Z,"","LYF Recordings",0.323,0.709,0,-7.01,1,0.0525,0.196,0.418,0.136,0.317,133.915,4
spotify:track:65EZG3CVd6LgncTUNiE0hv,"Concrete Gold","Go Tell Fire To The Mountain","WU LYF",2011-06-13,334826,0,false,5forty,2018-07-19T07:32:01Z,"","LYF Recordings",0.236,0.762,9,-7.042,1,0.0488,0.0506,0.492,0.107,0.303,136.061,4
spotify:track:0UOIPc9qK74SzfY2gZAZfv,"14 Crowns For Me & Your Friends","Go Tell Fire To The Mountain","WU LYF",2011-06-13,281133,0,false,5forty,2018-07-19T07:32:01Z,"","LYF Recordings",0.264,0.635,10,-9.175,1,0.0585,0.469,0.116,0.0918,0.264,133.8,4
spotify:track:1S5hJpALHVEPGefPaEn5Jb,"Heavy Pop","Go Tell Fire To The Mountain","WU LYF",2011-06-13,334266,0,false,5forty,2018-07-19T07:32:01Z,"","LYF Recordings",0.2,0.625,10,-7.843,1,0.0453,0.0935,0.0203,0.162,0.0362,134.682,4
