Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:15HDaD8ezZeGeyKxhm7nNl,"Será Más Fácil","Será Más Fácil","Linda Guilala",2019-12-13,225119,0,false,5forty,2020-01-26T18:09:35Z,"shoegaze,musique concrète,dream pop","Elefant Records distributed by Altafonte",0.414,0.732,2,-7.217,1,0.0427,0.0328,0.952,0.111,0.233,124.999,4
spotify:track:6mi9fKG911GzpFjdK6jtaZ,"La Inseguridad","Será Más Fácil","Linda Guilala",2019-12-13,234298,0,false,5forty,2020-01-26T18:09:35Z,"shoegaze,musique concrète,dream pop","Elefant Records distributed by Altafonte",0.305,0.84,10,-5.423,1,0.0489,0.00000886,0.951,0.105,0.327,150.036,1
spotify:track:1glefzN9wENfpZyyQ2FF2Q,"Renew","10000","Versing",2019-05-03,202359,0,false,5forty,2020-01-26T18:10:07Z,"lo-fi indie,noise rock","Hardly Art",0.2,0.866,2,-3.798,1,0.0439,0.000389,0.194,0.106,0.469,153.757,4
spotify:track:4DzKNL51v6dgV454m7AW5y,"Cotton & Cane","Living Theatre","Olden Yolk",2019-05-17,218104,0,false,5forty,2020-01-26T18:10:35Z,"neo-psychedelic","Trouble In Mind Records",0.604,0.738,2,-6.482,1,0.0349,0.163,0.0000297,0.368,0.531,137.002,4
spotify:track:7IzJ7EGpIpq2vW3ylVTtMh,"Not","Two Hands","Big Thief",2019-10-11,367093,0,false,5forty,2020-01-26T18:11:02Z,"","4AD",0.422,0.788,11,-6.57,1,0.0556,0.101,0.00282,0.16,0.544,140.423,4
spotify:track:2MqVPn4GpAhMDtoaVEULaG,"Minor Problem","Minor Problem","Bankrupt",2019-12-10,182105,1,true,5forty,2020-01-26T18:11:54Z,"celtic rock,horror punk,psychobilly,celtic punk","PiaRRecords",0.636,0.891,2,-5.715,1,0.0349,0.000688,0.000417,0.149,0.789,114.012,4
spotify:track:6wFEj0rLCs49b0bySheufb,"In the Shade","In the Shade","His Father's Voice",2019-10-14,209362,0,false,5forty,2020-01-26T18:12:17Z,"","Independent",0.458,0.793,9,-6.902,1,0.0344,0.00412,0.181,0.387,0.37,124.935,4
spotify:track:7cZVKaymceEH9Ql9xlA23H,"Althea","EP","No Suits In Miami",2017-05-18,207498,3,false,5forty,2020-01-26T18:13:35Z,"shoegaze,jangle pop,dream pop","Repulsiv",0.507,0.609,9,-8.352,1,0.0344,0.267,0.000309,0.0915,0.61,142.176,4
spotify:track:7MUY44orfSP823lARtvv64,"Primates","Primates","Baston",2019-11-29,250312,6,false,5forty,2020-01-26T18:13:56Z,"krautrock,post-punk,garage rock,cold wave","Howlin Banana Records",0.532,0.892,1,-9.361,1,0.0319,0.0014,0.743,0.116,0.955,160.043,4
spotify:track:3hDqfjWoZ59UUWlUYnEOvc,"Bad Blood","Bad Blood","Working Men's Club",2019-01-18,230187,0,false,5forty,2020-01-26T18:14:20Z,"post-punk","Melodic",0.681,0.83,9,-3.98,1,0.0597,0.356,0.0876,0.0618,0.963,150.003,4
spotify:track:6Z7QuRpQLqcHHRhwOhIulO,"Blue Nine","Trinity","Big Bite",2019-11-15,190953,0,false,5forty,2020-01-26T18:15:19Z,"shoegaze","Pop Wig Records",0.396,0.884,7,-4.776,0,0.0572,0.00187,0.367,0.103,0.354,132.315,4
spotify:track:3iqXPLwn0FtKaCB6DZj2PE,"3s & 4s","Struck Gold","Sprinters",2019,200000,0,false,5forty,2020-01-26T18:16:02Z,"jangle pop","Meritorio Records",0.383,0.844,0,-5.137,0,0.0317,0.026,0.0316,0.12,0.627,131.862,4
spotify:track:6f1x452KzRvg3sxdE5cM22,"Beautiful & Everywhere","Beautiful & Everywhere","Homer",2019-10-16,269268,0,false,5forty,2020-01-26T18:16:57Z,"","Homer",0.589,0.87,7,-6.605,1,0.0285,0.00547,0.852,0.321,0.685,122.999,4
spotify:track:2jEl6zrMZhGVFv5e1nDyHw,"Boulder","The People We Knew","We're from Antarctica",2019-07-26,183824,3,false,5forty,2020-01-26T18:18:45Z,"","WFAlbums",0.409,0.392,6,-11.257,1,0.0374,0.313,0.0000445,0.122,0.213,119.46,4
spotify:track:5yY3iTq0spO5Eg8GQ6x9nA,"lucy","circle the drain","Soccer Mommy",2020-01-14,296733,0,false,5forty,2020-01-26T18:19:14Z,"indie","Loma Vista Recordings",0.432,0.765,9,-4.355,1,0.0287,0.221,0.0544,0.32,0.482,100.952,4
spotify:track:5bJvoBFunKF7tjbeC4noFu,"We're Just Friends","We're Just Friends","Hivemind",2018-11-16,223712,0,false,5forty,2020-01-26T18:20:31Z,"","Independent",0.426,0.899,8,-4.833,1,0.061,0.00126,0.45,0.121,0.334,125.085,4
spotify:track:3xefsNSZamwR4FBmDME0h3,"It Isn't Forever","Where'd You Learn To Kiss That Way?","The Field Mice",1998,359306,9,false,5forty,2020-01-26T20:07:07Z,"jangle pop,dream pop,indie pop,shoegaze","SHINKANSEN RECORDINGS",0.552,0.534,10,-10.188,0,0.0289,0.0000544,0.484,0.129,0.575,117.996,4
