Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1mev4n4X5n71xMdygSWgYR,"Min melodi","Min Melodi","Nadja",2011-01-28,219124,1,false,,2012-01-12T14:29:31Z,"dansk pop","Parlophone Denmark",0.613,0.98,10,-4.391,0,0.044,0.0025,0.000441,0.145,0.652,121.995,4
spotify:track:4Aih7GFJogKe6WmlSdjezL,"Min melodi - Pete Fox Remix","Min Melodi (Remixes)","Nadja",2011-02-11,270430,0,false,,2012-01-12T14:29:31Z,"dansk pop","Parlophone Denmark",0.764,0.818,10,-6.037,0,0.0516,0.000739,0.0227,0.197,0.927,128.034,4
spotify:track:55oZtyB8MrZG1UwWSwXGhi,"Min melodi - Benjamin Led Remix","Min Melodi (Remixes)","Nadja",2011-02-11,256054,0,false,,2012-01-12T14:29:31Z,"dansk pop","Parlophone Denmark",0.758,0.776,6,-6.713,1,0.102,0.0000434,0.232,0.651,0.718,127.049,4
spotify:track:312qdr4lOZXrnlTrCEpjFq,"Min melodi - Pete Fox Edit","Min Melodi (Remixes-Wimp Version)","Nadja",2011-03-04,211738,0,false,,2012-01-12T14:29:31Z,"dansk pop","Parlophone Denmark",0.733,0.909,6,-5.429,1,0.0342,0.00175,0.00351,0.24,0.829,128.04,4
spotify:track:2JxlWcX043s7blELl90Kwx,"Min melodi - Johnny Buss Club Mix","Min Melodi (Remixes-Wimp Version)","Nadja",2011-03-04,335623,0,false,,2012-01-12T14:29:31Z,"dansk pop","Parlophone Denmark",0.688,0.866,11,-4.803,1,0.0682,0.000809,0.0238,0.0274,0.851,127.978,4
spotify:track:65w6EJa1Y3xl6iPrCi0H1Z,"Masterz of Energy - Giogio Sainz Remix","Neurotic Groove Presents Club Hits 2","Nadja",2010-01-01,437000,0,false,,2012-01-12T14:29:31Z,"drone metal,drone,doom metal,sludge metal,stoner metal","Neurotic Groove",0.793,0.713,5,-5.937,0,0.088,0.00235,0.665,0.0881,0.537,127.999,4
spotify:track:6Gy70dHgfSmI5ykpqOppAj,"Veil of Disillusion","Numbness","Nadja",2009,487613,22,false,,2012-01-12T14:29:31Z,"drone metal,drone,doom metal,sludge metal,stoner metal","Happy Prince",0.171,0.397,5,-9.483,1,0.0344,0.323,0.927,0.115,0.0682,120.773,4
spotify:track:1YSp9oDtDnqZBFlFfaf0pR,"God Rest Ye Merry Gentlemen","Numbness","Nadja",2009,501573,10,false,,2012-01-12T14:29:31Z,"drone metal,drone,doom metal,sludge metal,stoner metal","Happy Prince",0.197,0.725,0,-8.619,1,0.0447,0.703,0.973,0.0973,0.0396,100.05,4
spotify:track:3VQp0u4Wfi7zIVAvNJR9Zj,"Long Dark Twenties","Numbness","Nadja",2009,501880,19,false,,2012-01-12T14:29:31Z,"drone metal,drone,doom metal,sludge metal,stoner metal","Happy Prince",0.139,0.681,0,-8.366,1,0.0491,0.0152,0.747,0.341,0.151,141.238,4
spotify:track:74ETE00ymtmLA0IzAag9n9,"Alien In My Own Skin","Numbness","Nadja",2009,707640,14,false,,2012-01-12T14:29:31Z,"drone metal,drone,doom metal,sludge metal,stoner metal","Happy Prince",0.168,0.34,5,-9.057,1,0.0442,0.00000446,0.891,0.102,0.107,118.122,4
spotify:track:39MGgSp3XXGgyaRcl85aes,"Time Is Our Disease","Numbness","Nadja",2009,805493,10,false,,2012-01-12T14:29:31Z,"drone metal,drone,doom metal,sludge metal,stoner metal","Happy Prince",0.123,0.583,5,-7.122,1,0.0384,0.253,0.845,0.136,0.0392,147.491,4
spotify:track:2wAofrYxyJqKmOILJzzhiC,"Numb","Numbness","Nadja",2009,1271093,10,false,,2012-01-12T14:29:31Z,"drone metal,drone,doom metal,sludge metal,stoner metal","Happy Prince",0.168,0.764,5,-5.99,1,0.0757,0.0000594,0.18,0.135,0.0656,118.159,4
spotify:track:6VCQPEreHcvvJO9fRALWLL,"i used to be sad","The Reconstruction Of Fives","Nadja",2010-01-01,420853,0,false,,2012-01-12T14:29:31Z,"drone metal,drone,doom metal,sludge metal,stoner metal","n5MD",0.0727,0.104,8,-12.882,1,0.0387,0.065,0.915,0.111,0.0269,78.772,4
