Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4bmLrkXArtGClFdnBqmfe3,"The Genesis","Illmatic","Nas",1994-04-19,105160,0,true,5forty,2013-06-13T03:08:30Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.671,0.711,1,-10.905,1,0.496,0.425,0.00000322,0.383,0.933,98.189,4
spotify:track:2gfypzU0M3Gsjrcx0uyQuP,"N.Y. State of Mind","Illmatic","Nas",1994-04-19,292573,0,true,5forty,2013-06-13T03:08:30Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.707,0.787,6,-9.926,1,0.229,0.0326,0,0.15,0.888,84.409,4
spotify:track:2nR0qkLNUrlTrro53TWO8s,"Life's a Bitch","Illmatic","Nas",1994-04-19,209306,0,true,5forty,2013-06-13T03:08:30Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.81,0.5,2,-11.823,1,0.265,0.00119,0,0.114,0.336,90.036,4
spotify:track:1jg12BVhZNOuSnfALQUHXC,"The World Is Yours","Illmatic","Nas",1994-04-19,289866,0,true,5forty,2013-06-13T03:08:30Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.691,0.657,10,-10.758,0,0.125,0.346,0.00000778,0.174,0.549,87.386,4
spotify:track:0pbOwzCpQCCdwr1EZVhrgM,"Halftime","Illmatic","Nas",1994-04-19,260333,0,true,5forty,2013-06-13T03:08:30Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.786,0.689,4,-9.395,0,0.156,0.0323,0.0000257,0.163,0.671,91.938,4
spotify:track:4pZBIZI400timm9htxsAlW,"Memory Lane (Sittin' in da Park)","Illmatic","Nas",1994-04-19,246706,0,true,5forty,2013-06-13T03:08:30Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.717,0.727,5,-6.721,0,0.174,0.347,0.00000133,0.136,0.648,89.648,4
spotify:track:0fUuqFlIVg2kXlPtuhn8s4,"One Love","Illmatic","Nas",1994-04-19,324173,0,true,5forty,2013-06-13T03:08:30Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.76,0.482,0,-11.002,1,0.331,0.199,0,0.0981,0.832,93.123,4
spotify:track:1kardfktQwi4KD0rP9I20L,"One Time 4 Your Mind","Illmatic","Nas",1994-04-19,197840,0,true,5forty,2013-06-13T03:08:30Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.846,0.418,7,-11.672,1,0.319,0.0561,0,0.217,0.452,77.85,4
spotify:track:4DeSqzgvQ0Szc6iIxhb7pZ,"Represent","Illmatic","Nas",1994-04-19,252560,0,true,5forty,2013-06-13T03:08:30Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.759,0.693,11,-9.036,1,0.305,0.0297,0.0000124,0.128,0.698,92.771,4
spotify:track:2EZXrKJb2peWhRmQ868Aqe,"It Ain't Hard to Tell","Illmatic","Nas",1994-04-19,202133,0,true,5forty,2013-06-13T03:08:30Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.525,0.555,7,-9.74,1,0.286,0.0000125,0.0234,0.165,0.39,92.599,4
