Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7Iye7z8lrOT4lKM7RxwX5A,"No Introduction","Life Is Good","Nas",2012-07-17,255293,25,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop","Def Jam Recordings",0.259,0.883,0,-5.067,0,0.137,0.0047,0,0.172,0.163,176.102,4
spotify:track:3hhap9A6G8QrsB5i8xkghx,"Loco-Motive","Life Is Good","Nas;Large Professor",2012-07-17,220866,30,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop,jazz rap,boom bap","Def Jam Recordings",0.455,0.855,11,-5.989,0,0.342,0.168,0,0.309,0.499,88.035,4
spotify:track:1lIFI6jZXheHyD2azdE6VG,"A Queens Story","Life Is Good","Nas",2012-07-17,275360,22,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop","Def Jam Recordings",0.548,0.951,10,-3.338,0,0.386,0.33,0,0.326,0.659,98.125,4
spotify:track:0vyULMBhaXQuPW1DtbahvR,"Accident Murderers","Life Is Good","Nas;Rick Ross",2012-07-17,277653,26,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop,southern hip hop","Def Jam Recordings",0.545,0.884,5,-4.807,0,0.367,0.29,0,0.37,0.641,86.049,4
spotify:track:2L6xvl1uGVizt6ZSFihilU,"Daughters","Life Is Good","Nas",2012-07-17,200213,32,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop","Def Jam Recordings",0.459,0.94,1,-4.364,1,0.286,0.228,0,0.256,0.853,85.342,4
spotify:track:70Zuejls8pecZrKHVE3zWh,"Reach Out","Life Is Good","Nas;Mary J. Blige",2012-07-17,226666,26,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop,r&b","Def Jam Recordings",0.8,0.928,6,-5.493,1,0.381,0.148,0,0.0314,0.846,97.976,4
spotify:track:1ecYhFaYqwtzu7rArEPEcF,"World's An Addiction","Life Is Good","Nas;Anthony Hamilton",2012-07-17,301240,23,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop,neo soul,r&b,quiet storm","Def Jam Recordings",0.576,0.728,7,-4.599,1,0.0277,0.392,0,0.2,0.16,98.972,4
spotify:track:51by6tqpmWSqNwkRyJFg2B,"Summer On Smash","Life Is Good","Nas;Miguel;Swizz Beatz",2012-07-17,259812,21,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop,r&b","Def Jam Recordings",0.591,0.766,10,-5.834,0,0.185,0.015,0,0.107,0.722,89.949,4
spotify:track:0D4ZX3DbsOcN5EzTjU6yRV,"You Wouldn't Understand","Life Is Good","Nas;Victoria Monét",2012-07-17,275826,23,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop,alternative r&b","Def Jam Recordings",0.512,0.894,10,-4.849,0,0.276,0.0455,0,0.0925,0.478,88.096,4
spotify:track:6lVj48KUrEOpfIBPZSAlMo,"Back When","Life Is Good","Nas",2012-07-17,202093,21,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop","Def Jam Recordings",0.454,0.907,10,-4.503,0,0.21,0.365,0,0.127,0.663,93.285,4
spotify:track:4PZ1FyZW38n1aQDEU4YLDT,"The Don","Life Is Good","Nas",2012-07-17,182013,30,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop","Def Jam Recordings",0.634,0.846,7,-5.264,1,0.227,0.0026,0,0.118,0.707,92.086,4
spotify:track:24LAeLLTA7HbkC0Do0G7xN,"Stay","Life Is Good","Nas;Large Professor",2012-07-17,225040,36,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop,jazz rap,boom bap","Def Jam Recordings",0.498,0.674,4,-8.129,0,0.0481,0.646,0,0.142,0.342,89.59,4
spotify:track:4K7jd5Wm09iF9xum3gfExb,"Cherry Wine","Life Is Good","Nas;Amy Winehouse",2012-07-17,356466,53,true,5forty,2012-08-07T05:52:59Z,"old school hip hop,east coast hip hop,hip hop","Def Jam Recordings",0.708,0.821,11,-3.706,1,0.171,0.293,0,0.201,0.479,96.079,4
