Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ZPWhXBErVJCOVwvHvR3Zy,"Sleeping Over","Elephants At The Door","Dumbo Gets Mad",2011-02-02,211117,0,false,5forty,2013-01-29T02:33:26Z,"neo-psychedelic,psychedelic rock","Bad Panda Records",0.273,0.749,3,-8.465,0,0.151,0.335,0.527,0.48,0.358,178.064,4
spotify:track:1aP12lRNWZ0Um9x1yDoPRF,"Replicate","Pre Language","Disappears",2012-02-20,259680,17,false,5forty,2013-05-03T02:07:24Z,"krautrock,expressionism,post-punk,noise rock,shoegaze","kranky",0.467,0.485,0,-9.528,1,0.0325,0.00546,0.85,0.0974,0.15,139.334,4
spotify:track:69FnMD6JK9gWOIIIp3t9vt,"Pre Language","Pre Language","Disappears",2012-02-20,133386,11,false,5forty,2013-05-03T02:07:24Z,"krautrock,expressionism,post-punk,noise rock,shoegaze","kranky",0.392,0.963,9,-6.738,0,0.0389,0.000253,0.403,0.123,0.614,134.014,4
spotify:track:0ZCIb4RysxNA4lXgMiLnSu,"Hibernation Sickness","Pre Language","Disappears",2012-02-20,202146,4,false,5forty,2013-05-03T02:07:24Z,"krautrock,expressionism,post-punk,noise rock,shoegaze","kranky",0.389,0.981,9,-6.641,0,0.0388,0.0000113,0.731,0.0763,0.553,131.599,4
spotify:track:4llDF3RuBQYj2nkjTCJY4w,"Quiet","Young Mountain","This Will Destroy You",2006-06-06,293173,43,false,5forty,2013-05-03T02:15:07Z,"post-rock,math rock,drone metal","Dark Operative",0.482,0.463,1,-7.927,1,0.0573,0.282,0.848,0.36,0.0427,115.011,4
spotify:track:1EKk6Xvei9N9scaQcrax2S,"The World Is Our ___","Young Mountain","This Will Destroy You",2006-06-06,432306,38,false,5forty,2013-05-03T02:15:07Z,"post-rock,math rock,drone metal","Dark Operative",0.498,0.645,1,-6.31,1,0.0327,0.000706,0.878,0.0814,0.0393,116.036,4
spotify:track:5FmWs8YEclMxPsWkiI6dsN,"Like It Was Again","Deluded","Dignan Porch",2011-03-08,191850,0,false,5forty,2013-05-03T02:15:33Z,"lo-fi indie","Captured Tracks",0.426,0.677,0,-7.668,1,0.0285,0.156,0.754,0.249,0.17,118.418,4
spotify:track:73EpjP4NYNAn7mYHPsvJCT,"Footsteps In the Snow","Deluded","Dignan Porch",2011-03-08,181333,0,false,5forty,2013-05-03T02:15:33Z,"lo-fi indie","Captured Tracks",0.651,0.742,2,-8.192,1,0.0249,0.575,0.861,0.102,0.886,92.738,4
spotify:track:7nCONy10IHp7XD3oYZ0lcx,"I've Seen Footage","The Money Store","Death Grips",2012-04-23,202853,59,true,5forty,2013-05-03T02:16:19Z,"experimental hip hop,experimental","Epic",0.603,0.944,11,-3.626,0,0.347,0.0481,0,0.342,0.418,130.035,4
spotify:track:781V2Y5LPtcpgONEOadadE,"Get Got","The Money Store","Death Grips",2012-04-23,171866,56,true,5forty,2013-05-03T02:16:19Z,"experimental hip hop,experimental","Epic",0.57,0.993,7,-3.757,1,0.337,0.00628,0.00796,0.0876,0.405,87,4
