Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0XCWHfIIf5ziYOKG1jtgMf,"Mediumship","Ghost Blonde","No Joy",2010,198973,0,false,,2011-12-22T15:05:32Z,"shoegaze,dream pop,space rock","Kemado Records Inc. d/b/a Mexican Summer",0.298,0.672,4,-7.825,1,0.0723,0.000974,0.888,0.352,0.277,117.23,4
spotify:track:0kQhd5jGKlQAwZWyXp5WaT,"Heedless","Ghost Blonde","No Joy",2010,201546,0,false,,2011-12-22T15:05:32Z,"shoegaze,dream pop,space rock","Kemado Records Inc. d/b/a Mexican Summer",0.332,0.968,1,-6.512,0,0.0727,0.118,0.761,0.115,0.316,123.664,4
spotify:track:3QsCLXI6rZCxl5z082PZZG,"Maggie Says I Love You","Ghost Blonde","No Joy",2010,215893,0,false,,2011-12-22T15:05:32Z,"shoegaze,dream pop,space rock","Kemado Records Inc. d/b/a Mexican Summer",0.0744,0.82,4,-10.523,1,0.0785,0.0894,0.655,0.289,0.059,212.502,4
spotify:track:2De47L5Ul9zsPBJDxUokSv,"You Girls Smoke Cigarettes?","Ghost Blonde","No Joy",2010,139133,0,false,,2011-12-22T15:05:32Z,"shoegaze,dream pop,space rock","Kemado Records Inc. d/b/a Mexican Summer",0.164,0.737,2,-6.345,1,0.0409,0.000136,0.888,0.233,0.477,95.489,4
spotify:track:5SdWVvCYRSTFPMCCeolIKd,"Pacific Pride","Ghost Blonde","No Joy",2010,219906,0,false,,2011-12-22T15:05:32Z,"shoegaze,dream pop,space rock","Kemado Records Inc. d/b/a Mexican Summer",0.316,0.571,7,-8.174,1,0.0372,0.556,0.887,0.168,0.249,113.66,4
spotify:track:0Hd0P7uzNPURwguEjyByha,"Hawaii","Ghost Blonde","No Joy",2010,245253,0,false,,2011-12-22T15:05:32Z,"shoegaze,dream pop,space rock","Kemado Records Inc. d/b/a Mexican Summer",0.0756,0.871,11,-7.217,1,0.099,0.00188,0.726,0.334,0.0393,177.269,4
spotify:track:5oZ6kYqCyrxeX9ByRClRct,"Indigo Child","Ghost Blonde","No Joy",2010,310773,0,false,,2011-12-22T15:05:32Z,"shoegaze,dream pop,space rock","Kemado Records Inc. d/b/a Mexican Summer",0.0863,0.484,11,-8.351,0,0.0416,0.39,0.797,0.778,0.149,86.112,4
spotify:track:0XdTOcPqoLP3827s6KpxA0,"Still","Ghost Blonde","No Joy",2010,222626,0,false,,2011-12-22T15:05:32Z,"shoegaze,dream pop,space rock","Kemado Records Inc. d/b/a Mexican Summer",0.306,0.809,9,-8.316,1,0.0352,0.0464,0.818,0.144,0.272,83.515,4
spotify:track:42EHDYFVogUwpuylr8NVmE,"Untitled","Ghost Blonde","No Joy",2010,73293,0,false,,2011-12-22T15:05:32Z,"shoegaze,dream pop,space rock","Kemado Records Inc. d/b/a Mexican Summer",0.228,0.263,6,-14.428,1,0.0504,0.988,0.954,0.0828,0.0376,128.163,1
spotify:track:6hxmkZcDRpVDtTnv2xclLh,"Ghost Blonde","Ghost Blonde","No Joy",2010,389533,0,false,,2011-12-22T15:05:32Z,"shoegaze,dream pop,space rock","Kemado Records Inc. d/b/a Mexican Summer",0.343,0.79,7,-7.383,1,0.0412,0.0000308,0.763,0.0947,0.253,101.916,4
spotify:track:3mP1Yh1k0HWm1SvlLzlyVh,"No Summer","No Joy","No Joy",2010-05-17,251327,0,false,,2012-06-27T19:17:34Z,"shoegaze,dream pop,space rock","Mexican Summer",0.262,0.921,5,-10.546,1,0.0509,0.459,0.83,0.0741,0.23,159.946,4
spotify:track:2DIZFaWf1m6aYJxgAZgWkZ,"No Joy","No Joy","No Joy",2010-05-17,272840,0,false,,2012-06-27T19:17:34Z,"shoegaze,dream pop,space rock","Mexican Summer",0.264,0.747,7,-11.607,1,0.0497,0.453,0.654,0.0905,0.109,141.998,4
