Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2hWnuDzcKznJvlCxuRgfaA,"Fever Queen","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,176435,35,false,5forty,2016-10-24T19:19:22Z,"shoegaze,dream pop,slowcore","Relapse Records",0.283,0.635,8,-4.652,1,0.0366,0.00000595,0.467,0.102,0.0866,98.377,4
spotify:track:0gtvktvlWNbT8BFgx196ov,"The Dead Are Dumb","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,270281,40,false,5forty,2016-10-24T19:19:22Z,"shoegaze,dream pop,slowcore","Relapse Records",0.489,0.519,7,-5.828,1,0.0311,0.0484,0.539,0.111,0.14,129.886,4
spotify:track:3xvVuLA3YYZPd5mx8NOnN6,"Vertigo Flowers","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,204975,42,false,5forty,2016-10-24T19:19:22Z,"shoegaze,dream pop,slowcore","Relapse Records",0.167,0.95,4,-4.736,1,0.051,0.0000634,0.313,0.33,0.166,151.821,4
spotify:track:72LCw6fk4YZL5cyoG1TOzU,"A.C.D. (Abcessive Compulsive Disorder)","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,219020,40,false,5forty,2016-10-24T19:19:22Z,"shoegaze,dream pop,slowcore","Relapse Records",0.333,0.936,6,-4.544,0,0.0448,0.0000332,0.0406,0.212,0.384,156.033,4
spotify:track:3wsglsWrkeITfIWmYpY0Ge,"Nineteen Ninety Heaven","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,280477,30,false,5forty,2016-10-24T19:19:22Z,"shoegaze,dream pop,slowcore","Relapse Records",0.546,0.52,7,-9.337,1,0.0259,0.163,0.874,0.118,0.283,129.992,4
spotify:track:75Dvic0pwX6eIrHZAcptoF,"Curse of the Sun","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,287871,27,false,5forty,2016-10-24T19:19:22Z,"shoegaze,dream pop,slowcore","Relapse Records",0.412,0.907,7,-4.861,1,0.0442,0.0000629,0.681,0.35,0.233,171.986,4
spotify:track:6cpbYfrmRRATj7MK89ZMox,"Eaten by Worms","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,300660,30,false,5forty,2016-10-24T19:19:22Z,"shoegaze,dream pop,slowcore","Relapse Records",0.35,0.75,11,-5.508,0,0.0406,0.000302,0.374,0.119,0.0351,169.955,4
spotify:track:4F16UZJ8q7uIoCX1AYrsrF,"Everyone Is Happy","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,294801,25,false,5forty,2016-10-24T19:19:22Z,"shoegaze,dream pop,slowcore","Relapse Records",0.609,0.579,4,-10.178,1,0.026,0.62,0.667,0.0986,0.23,135.996,4
spotify:track:52GxXiWKYRCy1z8RxGYWiT,"Our Plague","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,329717,26,false,5forty,2016-10-24T19:19:22Z,"shoegaze,dream pop,slowcore","Relapse Records",0.405,0.537,9,-6.892,1,0.0318,0.0000435,0.424,0.111,0.184,105.981,4
spotify:track:2S67xnIvrYSFdeMBL8nfiC,"Tired of Tomorrow","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,383243,22,false,5forty,2016-10-24T19:19:22Z,"shoegaze,dream pop,slowcore","Relapse Records",0.244,0.211,9,-11.456,0,0.0377,0.778,0.689,0.237,0.0616,107.077,4
spotify:track:0h7cUpaJlbvcjix2TusKp0,"The Heavenly Blue Flu - Bonus Track","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,343625,26,false,5forty,2016-10-24T19:19:22Z,"shoegaze,dream pop,slowcore","Relapse Records",0.546,0.618,8,-7.238,1,0.0285,0.0168,0.912,0.104,0.118,114.993,4
spotify:track:5ehcvN208UCXLGNZQ6fpbt,"Tic Tac Toe - Bonus Track","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,273363,24,false,5forty,2016-10-24T19:19:22Z,"shoegaze,dream pop,slowcore","Relapse Records",0.197,0.527,4,-6.528,1,0.0323,0.00318,0.102,0.124,0.0381,148.802,4
