Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0rsi9Xfif1yKDoSt4kIrwU,"Winter Wonderland - Bent Remix","Merry Mixmas: Christmas Classics Remixed","Bing Crosby",2005-01-01,177693,25,false,5forty,2012-12-19T23:08:32Z,"christmas","Capitol Records",0.49,0.509,8,-12,1,0.0322,0.0303,0,0.108,0.429,125.875,4
spotify:track:3NqYCoTh4hspJkRpgLU12D,"All I Want For Christmas (Is My Two Front Teeth) - MJ Cole Remix","Merry Mixmas: Christmas Classics Remixed","Nat King Cole Trio;The Starlighters",2005-01-01,200080,29,false,5forty,2012-12-19T23:08:32Z,"vocal jazz,christmas","Capitol Records",0.926,0.398,2,-11.906,1,0.157,0.118,0.0000799,0.0769,0.75,130.028,4
spotify:track:582vG5p4NhCUxI5vPgKqei,"Baby, It's Cold Outside - ARP Remix","Merry Mixmas: Christmas Classics Remixed","Dean Martin",2005-01-01,248920,28,false,5forty,2012-12-19T23:08:32Z,"christmas,adult standards,big band,swing music","Capitol Records",0.747,0.7,7,-11.756,1,0.128,0.011,0.00000536,0.51,0.508,129.955,4
spotify:track:0NRYOpNI8axHEltvJAtq8Y,"Have Yourself A Merry Little Christmas - Away Team Remix","Merry Mixmas: Christmas Classics Remixed","Lou Rawls",2005-01-01,251946,27,false,5forty,2012-12-19T23:08:32Z,"philly soul,classic soul,soul blues","Capitol Records",0.592,0.477,5,-13.412,0,0.11,0.419,0.00218,0.0937,0.234,97.998,4
spotify:track:38a1U3gslzPT1audQcLFR6,"Let It Snow! Let It Snow! Let It Snow! - Suedojazz Mix","Merry Mixmas: Christmas Classics Remixed","Lena Horne",2005-01-01,174933,30,false,5forty,2012-12-19T23:08:32Z,"vocal jazz","Capitol Records",0.757,0.67,6,-11.559,0,0.0391,0.211,0.0000161,0.194,0.789,130.009,4
spotify:track:5qGuuAXWFAzAOILD34fKTC,"Rudolph, The Red-Nosed Reindeer - Malibu Remix","Merry Mixmas: Christmas Classics Remixed","Billy May;Roger Joseph Manning, Jr.",2005-01-01,243426,28,false,5forty,2012-12-19T23:08:32Z,"big band,exotica,swing music,power pop","Capitol Records",0.768,0.793,0,-9.367,1,0.0426,0.00177,0.0525,0.313,0.865,124.004,4
spotify:track:4xfOZ4cvM7POU1AtVn9mFl,"(Everybody's Waitin' For) The Man With The Bag - Thunderball Mix","Merry Mixmas: Christmas Classics Remixed","Kay Starr",2005-01-01,210426,32,false,5forty,2012-12-19T23:08:32Z,"christmas","Capitol Records",0.802,0.746,7,-8.033,1,0.122,0.00755,0.668,0.61,0.787,132.002,4
spotify:track:4czsNybjziKcZQGVRMXSPh,"I've Got My Love To Keep Me Warm - Psapp's Lady Remix","Merry Mixmas: Christmas Classics Remixed","Les Brown & His Band Of Renown",2005-01-01,178626,25,false,5forty,2012-12-19T23:08:32Z,"big band,swing music","Capitol Records",0.632,0.699,8,-11.344,1,0.197,0.429,0.00011,0.0929,0.599,160.136,4
spotify:track:5gfDJJDUp9W7IwUbuyAHQ2,"Santa Claus Is Comin' To Town - Q-Burns Abstract Message Remix","Merry Mixmas: Christmas Classics Remixed","Johnny Mercer;The Pied Pipers",2005-01-01,241973,35,false,5forty,2012-12-19T23:08:32Z,"big band,swing music,adult standards","Capitol Records",0.821,0.405,10,-11.763,0,0.049,0.0412,0.6,0.11,0.748,82.824,4
spotify:track:1pvYIniwFdeYmhVZWWtZI6,"The Christmas Waltz - AwayTEAM Remix","Merry Mixmas: Christmas Classics Remixed","Nancy Wilson",2005-01-01,249426,29,false,5forty,2012-12-19T23:08:32Z,"vocal jazz,jazz,jazz ballads","Capitol Records",0.674,0.508,5,-13.69,1,0.0309,0.0881,0.0919,0.367,0.658,100.006,4
