Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:local:Orbital::5+-+Orbital+-+In+Sides+-+05+-+Dwr+Budr.mp3:116,"5 - Orbital - In Sides - 05 - Dwr Budr.mp3","","Orbital",,116000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital::6+-+Orbital+-+Speed+Freak+%28Moby+Remix%29.mp3:159,"6 - Orbital - Speed Freak (Moby Remix).mp3","","Orbital",,159000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital::6+-+Orbital%2520-%2520Satan%2520%28kirk%2520hammet.mp3:225,"6 - Orbital%20-%20Satan%20(kirk%20hammet.mp3","","Orbital",,225000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital::Orbital+-+In+Sides+-+05+-+Dwr+Budr.mp3:116,"Orbital - In Sides - 05 - Dwr Budr.mp3","","Orbital",,116000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital::Orbital+-+Speed+Freak+%28Moby+Remix%29.mp3:159,"Orbital - Speed Freak (Moby Remix).mp3","","Orbital",,159000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital::Orbital%2520-%2520Satan%2520%28kirk%2520hammet.mp3:225,"Orbital%20-%20Satan%20(kirk%20hammet.mp3","","Orbital",,225000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital:Diversions:Impact+USA+%28The+Earth+Is+Burning%3A+Diversion%29:681,"Impact USA (The Earth Is Burning: Diversion)","Diversions","Orbital",,681000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital:Diversions:Lush+3+%28Euro+Tunnel+Disaster+%2794%29+%2F+Walk+About+%28John+Peel+Sessions%29:875,"Lush 3 (Euro Tunnel Disaster '94) / Walk About (John Peel Sessions)","Diversions","Orbital",,875000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital:Diversions:Lush+3-5+%28C.J.+Bolland%29:374,"Lush 3-5 (C.J. Bolland)","Diversions","Orbital",,374000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital:Diversions:Lush+3-4+Warrior+Drift+Psychick+Warriors+Ov+Gaia:648,"Lush 3-4 Warrior Drift Psychick Warriors Ov Gaia","Diversions","Orbital",,648000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital:Diversions:Lush+3-3+%28Underworld%29:781,"Lush 3-3 (Underworld)","Diversions","Orbital",,781000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:track:6oXw87ypziRBsIom85uWXT,"Semi Detached","Diversions (US DMD)","Orbital",1993,572506,0,false,,2011-01-01T00:32:29Z,"idm,big beat,acid house,breakbeat","London Records",0.388,0.405,6,-20.838,0,0.0402,0.000129,0.536,0.0869,0.17,130.005,4
spotify:local:Orbital:Hackers:Halcyon+%26+On+%26+On:569,"Halcyon & On & On","Hackers","Orbital",,569000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital:In+Sides:The+Box+%28Part+One%29:388,"The Box (Part One)","In Sides","Orbital",,388000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital:In+Sides:The+Box+%28Part+Two%29:360,"The Box (Part Two)","In Sides","Orbital",,360000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital:In+Sides:Adnan%27s:521,"Adnan's","In Sides","Orbital",,521000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital:In+Sides:Out+There+Somewhere%3F+%28Part+One%29:642,"Out There Somewhere? (Part One)","In Sides","Orbital",,642000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Orbital:In+Sides:Out+There+Somewhere%3F+%28Part+Two%29:807,"Out There Somewhere? (Part Two)","In Sides","Orbital",,807000,0,false,,2011-01-01T00:32:29Z,"","undefined",,,,,,,,,,,,
spotify:track:6F9UTgKe3RzK5mTUjAOCoW,"The Girl with the Sun in Her Head","In Sides (US DMD)","Orbital",1996,627000,0,false,,2011-01-01T00:32:29Z,"idm,big beat,acid house,breakbeat","London Records",0.616,0.801,11,-9.618,0,0.0435,0.00173,0.431,0.0939,0.667,129.978,4
