Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5hTvBGpwyEUtIlg86UNkvI,"Chime - Live Style Radio Mix","Orbital 20","Orbital",2009-05-21,259173,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.6,0.982,8,-5.821,1,0.043,0.0000934,0.915,0.211,0.342,136.97,4
spotify:track:4RRJIDgX1usvjs4sKk6SMH,"Belfast","Orbital 20","Orbital",2009-05-21,490680,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.523,0.706,0,-9.837,1,0.0465,0.000796,0.313,0.112,0.345,119.693,4
spotify:track:3kSqB3jQAGM20SwRAWbfOI,"Satan (Industry Standard)","Orbital 20","Orbital",2009-05-21,221640,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.668,0.958,7,-6.291,1,0.0912,0.00416,0.037,0.312,0.349,109.85,4
spotify:track:7tLIQ54sIpcBAR6E0b3V5p,"Halcyon (Tom Middleton Re-model)","Orbital 20","Orbital",2009-05-21,499866,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.711,0.952,1,-7.497,0,0.0432,0.000369,0.832,0.214,0.386,126.018,4
spotify:track:3LIjPsbjGlo7X7R0Vb6NnV,"Lush 3 (3-1 & 3-2)","Orbital 20","Orbital",2009-05-21,622333,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.644,0.769,6,-8.872,0,0.0488,0.0000262,0.873,0.264,0.843,129.996,4
spotify:track:4MwAdBi0mIsTpuf14f7AOR,"Impact (The Earth Is Burning) - Live at Royal Albert Hall","Orbital 20","Orbital",2009-05-21,759040,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.646,0.887,11,-8.584,0,0.0726,0.000386,0.812,0.126,0.243,129.99,4
spotify:track:6McrVWt8fo8iJOAHdxXW2K,"Are We Here (Who Are They?)","Orbital 20","Orbital",2009-05-21,453160,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.565,0.846,0,-6.543,1,0.0386,0.0353,0.585,0.141,0.0941,142.974,4
spotify:track:5oPK2Vdqam1bYROJLXSAqw,"The Box, Pt. 1","Orbital 20","Orbital",2009-05-21,388200,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.672,0.216,7,-20.309,1,0.0367,0.226,0.877,0.0852,0.268,141.002,4
spotify:track:15gNgy7t3G77iNBUTLMgpy,"Much Ado About Nothing Left","Orbital 20","Orbital",2009-05-21,313333,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.627,0.796,9,-7.305,1,0.0503,0.000069,0.801,0.0694,0.592,133.257,4
spotify:track:1XnyMjz4eBKzgMm0OWgCfC,"One Perfect Sunrise","Orbital 20","Orbital",2009-05-21,227533,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.544,0.865,8,-8.112,1,0.0342,0.16,0.471,0.116,0.226,140.055,4
spotify:track:4ciSFKl4xzIUxYXQCAM0dp,"Omen - 12"" Mix","Orbital 20","Orbital",2009-05-21,421106,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.68,0.889,10,-9.999,0,0.0419,0.0193,0.655,0.106,0.684,119.99,4
spotify:track:2KJwHnLC4Qp6L28DI5Xb71,"Midnight","Orbital 20","Orbital",2009-05-21,334200,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.626,0.982,10,-5.413,0,0.0792,0.00318,0.726,0.108,0.566,122.996,4
spotify:track:3XHfwV41QbGDuflCG28hTf,"The Naked and the Dead","Orbital 20","Orbital",2009-05-21,384666,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.712,0.937,1,-6.796,1,0.048,0.000028,0.82,0.0319,0.841,126.986,4
spotify:track:6Z9RNGYp3YbmGbUson15bc,"Sad but True","Orbital 20","Orbital",2009-05-21,468440,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.628,0.715,4,-11.86,0,0.0436,0.000252,0.00514,0.121,0.67,113.96,4
spotify:track:4nQJa2RJDKeJqske91dzzY,"Style - Radio Edit","Orbital 20","Orbital",2009-05-21,247360,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.662,0.646,5,-7.483,1,0.0318,0.0105,0.359,0.137,0.08,122.007,4
spotify:track:6an53hFubXwzQxA8FhsKtz,"Funny Break (One Is Enough) - Single Version","Orbital 20","Orbital",2009-05-21,235733,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.494,0.895,5,-6.13,1,0.0433,0.0211,0.768,0.173,0.376,114.055,4
spotify:track:1iChHxMzzIDsQtoqGsmiy4,"The Girl with the Sun in Her Head","Orbital 20","Orbital",2009-05-21,627000,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.616,0.801,11,-9.618,0,0.0435,0.00173,0.431,0.0939,0.667,129.978,4
spotify:track:3fbgGhNo3wwqysChRRhpPT,"Remind","Orbital 20","Orbital",2009-05-21,410666,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.605,0.729,9,-10.578,0,0.044,0.147,0.64,0.192,0.159,129.957,4
spotify:track:7b6y8CGcH8UPUSePTFrzNU,"Lush - Herves Tree and Leaf Remix","Orbital 20","Orbital",2009-05-21,306093,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.743,0.914,6,-7.441,0,0.0963,0.00708,0.721,0.305,0.0622,127.037,4
spotify:track:2itlc9Pr9XBuo0CAWUoM9Q,"Impact (The Earth Is Burning)","Orbital 20","Orbital",2009-05-21,627640,0,false,5forty,2012-08-21T04:16:00Z,"idm,big beat,acid house,breakbeat","WM UK",0.568,0.819,7,-12.14,1,0.0522,0.00172,0.768,0.442,0.511,129.983,4
