Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1jvMTUoWf3pMF4gypx7RyI,"The Sad Waltzes of Pietro Crespi","At Home With Owen","Owen",2006-11-07,193346,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.494,0.405,5,-12.206,1,0.029,0.7,0.0236,0.126,0.599,155.982,4
spotify:track:6AteCwVUnqsRsIdrExsqeb,"Too Many Moons","Ghost Town","Owen",2011-11-07,286413,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.639,0.328,2,-13.008,1,0.0294,0.88,0.0197,0.094,0.235,123.967,4
spotify:track:3H0uDQjqm8XFWgT4mFzYQ8,"Bad News","At Home With Owen","Owen",2006-11-07,390906,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.591,0.391,1,-10.879,1,0.0299,0.736,0.102,0.0788,0.161,138.02,4
spotify:track:00uwV1TzatbUZRfxvDpQpO,"No Place Like Home","Ghost Town","Owen",2011-11-07,283826,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.586,0.614,2,-8.587,1,0.0285,0.44,0.0808,0.106,0.6,99.056,4
spotify:track:1xXjelTKo9TFfU8eYifsb8,"A Bird in Hand","At Home With Owen","Owen",2006-11-07,452986,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.52,0.534,3,-11.873,1,0.0285,0.591,0.183,0.1,0.28,130.012,4
spotify:track:6AteCwVUnqsRsIdrExsqeb,"Too Many Moons","Ghost Town","Owen",2011-11-07,286413,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.639,0.328,2,-13.008,1,0.0294,0.88,0.0197,0.094,0.235,123.967,4
spotify:track:00uwV1TzatbUZRfxvDpQpO,"No Place Like Home","Ghost Town","Owen",2011-11-07,283826,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.586,0.614,2,-8.587,1,0.0285,0.44,0.0808,0.106,0.6,99.056,4
spotify:track:3OmIMGRZhgMnffkG9SPDQv,"O, Evelyn...","Ghost Town","Owen",2011-11-07,176626,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.484,0.348,1,-10.7,1,0.0302,0.6,0.0113,0.111,0.189,133.511,3
spotify:track:31mRWRttoDVlWvX3HqWjoL,"I Believe","Ghost Town","Owen",2011-11-07,371093,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.477,0.567,1,-9.415,1,0.027,0.00161,0.036,0.081,0.21,140.014,4
spotify:track:5NfTeB2TAKPtrkajUe35Ob,"The Armoire","Ghost Town","Owen",2011-11-07,253346,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.466,0.339,1,-13.456,1,0.0286,0.689,0.0886,0.107,0.3,81.021,4
spotify:track:5hbZY3UgkFzfeCXIYxcJda,"An Animal","Ghost Town","Owen",2011-11-07,276106,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.617,0.378,11,-12.795,0,0.0278,0.845,0.0138,0.169,0.261,139.881,4
spotify:track:1BngqT4Pu40Ak7o5CI3X0N,"No Language","Ghost Town","Owen",2011-11-07,249533,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.567,0.682,0,-7.713,0,0.0274,0.107,0.00518,0.15,0.393,88.022,4
spotify:track:1R4FeKYh91eEIK5gPzZrzu,"Mother's Milk Breath","Ghost Town","Owen",2011-11-07,303946,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.384,0.34,5,-12.811,1,0.0293,0.0483,0.00441,0.167,0.289,148.198,4
spotify:track:66h6BkMXPSJqPWXA66DTO9,"Everyone's Asleep in the House but Me","Ghost Town","Owen",2011-11-07,240840,0,false,5forty,2012-12-11T03:33:03Z,"midwest emo,math rock","Polyvinyl Records",0.566,0.497,1,-9.445,1,0.0237,0.136,0.0526,0.0896,0.281,89.972,5
