Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3xp4Ys3cq3cwOFfHkib2Js,"Amanda In the Clouds","Northern Automatic Music","Panda Riot",2013-02-19,237473,2,false,5forty,2014-01-30T21:02:54Z,"shoegaze,dream pop","Saint Marie",0.474,0.875,1,-5.923,0,0.0493,0.00574,0.0171,0.0613,0.375,130.034,4
spotify:track:5Ehod20JPhlqZD7nd6yjzp,"In the Forest (Some Kind of Night Fills Your Head)","Northern Automatic Music","Panda Riot",2013-02-19,190105,1,false,5forty,2014-01-30T21:02:54Z,"shoegaze,dream pop","Saint Marie",0.396,0.866,10,-7.3,1,0.0328,0.0000103,0.607,0.0721,0.458,95.008,4
spotify:track:3tdDIvqFTvJ3N2hl3ERa5V,"Serious Radical Girls","Northern Automatic Music","Panda Riot",2013-02-19,251428,1,false,5forty,2014-01-30T21:02:54Z,"shoegaze,dream pop","Saint Marie",0.513,0.927,0,-5.599,1,0.0565,0.123,0.535,0.0796,0.549,125.995,4
spotify:track:2F8x1vqdpEHLtCCSEiXYCK,"Northern Automatic Music","Northern Automatic Music","Panda Riot",2013-02-19,276500,0,false,5forty,2014-01-30T21:02:54Z,"shoegaze,dream pop","Saint Marie",0.482,0.697,7,-6.719,1,0.0333,0.000725,0.444,0.294,0.189,120.014,4
spotify:track:7gtiKnHfaoci0g5PSiHSZd,"Golden Age","Northern Automatic Music","Panda Riot",2013-02-19,145263,5,false,5forty,2014-01-30T21:02:54Z,"shoegaze,dream pop","Saint Marie",0.401,0.728,4,-7.511,1,0.0377,0.657,0.807,0.0884,0.275,114.023,4
spotify:track:4jRTyfz3ucv1rdrSkUzH55,"Mtwn Glass","Northern Automatic Music","Panda Riot",2013-02-19,240000,0,false,5forty,2014-01-30T21:02:54Z,"shoegaze,dream pop","Saint Marie",0.542,0.633,5,-7.921,1,0.0288,0.00000633,0.257,0.145,0.298,112.001,4
spotify:track:5c09d5eOnMCZennReQ7gp8,"Black Pyramids","Northern Automatic Music","Panda Riot",2013-02-19,222608,1,false,5forty,2014-01-30T21:02:54Z,"shoegaze,dream pop","Saint Marie",0.378,0.973,9,-4.727,1,0.0694,0.142,0.181,0.0973,0.301,137.896,4
spotify:track:2FRWJQnW9uLfAZQLohpylW,"Someday, Someone Will Wake You From This Nighttime","Northern Automatic Music","Panda Riot",2013-02-19,171789,0,false,5forty,2014-01-30T21:02:54Z,"shoegaze,dream pop","Saint Marie",0.465,0.935,4,-9.327,0,0.138,0.0148,0.34,0.269,0.309,94.98,4
spotify:track:4Wwfs8pWuw3oqbEIyzMR9r,"Good Night, Rich Kids","Northern Automatic Music","Panda Riot",2013-02-19,224881,2,false,5forty,2014-01-30T21:02:54Z,"shoegaze,dream pop","Saint Marie",0.533,0.863,7,-7.159,0,0.0319,0.00259,0.442,0.368,0.307,127,4
spotify:track:5S32RZQPXZJoMKYQ9vO72I,"Encrypted Wilderness","Northern Automatic Music","Panda Riot",2013-02-19,65684,2,false,5forty,2014-01-30T21:02:54Z,"shoegaze,dream pop","Saint Marie",0.334,0.25,0,-13.617,1,0.0339,0.947,0.435,0.111,0.0301,95.496,4
spotify:track:1hKY7GTv9q85P4GOOdNRT6,"Camden Line","Northern Automatic Music","Panda Riot",2013-02-19,314526,0,false,5forty,2014-01-30T21:02:54Z,"shoegaze,dream pop","Saint Marie",0.462,0.866,11,-5.286,0,0.0386,0.00295,0.0222,0.287,0.475,95.009,4
