Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4dDKCJ79GkFc9fb3QDxdQ9,"Master Of My Craft","Light Up Gold","Parquet Courts",2013-04-15,190347,0,true,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.166,0.86,2,-6.762,1,0.066,0.026,0.828,0.606,0.512,187.503,4
spotify:track:29TwplMEoHEkptkZ87sjxk,"Borrowed Time","Light Up Gold","Parquet Courts",2013-04-15,152048,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.407,0.735,0,-7.256,1,0.031,0.0299,0.825,0.573,0.816,92.34,4
spotify:track:7kLEKrmCCdZaoKxuKWLhhg,"Donuts Only","Light Up Gold","Parquet Courts",2013-04-15,81281,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.439,0.502,2,-7.171,0,0.047,0.131,0.0293,0.457,0.639,121.679,4
spotify:track:2JbV3RaGztFQggGx09njG6,"Yr No Stoner","Light Up Gold","Parquet Courts",2013-04-15,110824,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.546,0.873,2,-7.21,0,0.0528,0.279,0.0257,0.124,0.668,122.555,4
spotify:track:59O2mkxuU7gsfXomUKlPSc,"Yonder Is Closer To The Heart","Light Up Gold","Parquet Courts",2013-04-15,179785,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.154,0.895,2,-6.823,1,0.0526,0.0892,0.279,0.099,0.403,184.761,4
spotify:track:0vGYhWA9BqVxXIe47mmvGy,"Careers in Combat","Light Up Gold","Parquet Courts",2013-04-15,67463,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.405,0.785,2,-7.518,1,0.0443,0.274,0.821,0.28,0.96,113.117,4
spotify:track:6UF4wwpthyhcs47Cr1aVJE,"Light Up Gold I","Light Up Gold","Parquet Courts",2013-04-15,18840,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.394,0.00569,11,-21.279,0,0.0445,0.991,0.264,0.33,0,85.743,4
spotify:track:33NRnLR0bKIiTOq9UmaD70,"Light Up Gold II","Light Up Gold","Parquet Courts",2013-04-15,73570,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.344,0.876,1,-6.928,0,0.0891,0.232,0.0000904,0.124,0.729,90.408,4
spotify:track:5xEnBOvRoJ2D4T4A05dd5C,"N Dakota","Light Up Gold","Parquet Courts",2013-04-15,139337,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.66,0.57,5,-9.935,1,0.0316,0.459,0.0139,0.112,0.481,115.083,4
spotify:track:1NyTUDcWBYPCUxeY3UKbpD,"Stoned and Starving","Light Up Gold","Parquet Courts",2013-04-15,311680,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.234,0.882,5,-7.427,1,0.0566,0.252,0.88,0.117,0.277,169.724,4
spotify:track:4UDXtNmX0ZL0ipGEc2aBwL,"No Ideas","Light Up Gold","Parquet Courts",2013-04-15,157233,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.446,0.502,2,-7.445,1,0.0323,0.0662,0.0365,0.111,0.333,108.777,4
spotify:track:4J2aKHa57MFj3zHhQitZDM,"Caster of Worthless Spells","Light Up Gold","Parquet Courts",2013-04-15,78020,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.347,0.863,0,-7.673,1,0.0465,0.0849,0.94,0.364,0.383,104.562,1
spotify:track:1UPQGcIyOLqEwTmkiTTFe5,"Disney P.T.","Light Up Gold","Parquet Courts",2013-04-15,72848,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.19,0.876,2,-6.81,1,0.053,0.419,0.206,0.862,0.58,199.761,4
spotify:track:0ak19JnF6mxmCD9ExJcPXq,"Tears O Plenty","Light Up Gold","Parquet Courts",2013-04-15,195893,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.464,0.724,9,-8.092,1,0.0508,0.0538,0.33,0.187,0.446,131.76,4
spotify:track:1iEuLiGRu1FZVJLELqToIa,"Picture Of Health","Light Up Gold","Parquet Courts",2013-04-15,164531,0,false,5forty,2013-12-11T10:08:34Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.276,0.702,7,-9.377,1,0.0377,0.303,0.643,0.18,0.467,98.764,4
