Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:60Bn8vNkgxbjH3oxVNEuKo,"Summer Babe (Winter Version)","Slanted And Enchanted","Pavement",1992,196946,0,false,5forty,2013-02-18T03:27:16Z,"alternative rock,indie","Domino Recording Co",0.369,0.86,2,-5.956,1,0.0291,0.00000464,0.868,0.0644,0.569,97.259,4
spotify:track:4Fk73GVhBrW83tPedammx0,"Trigger Cut / Wounded Kite at :17","Slanted And Enchanted","Pavement",1992,197453,0,false,5forty,2013-02-18T03:27:16Z,"alternative rock,indie","Domino Recording Co",0.498,0.857,7,-5.771,1,0.0631,0.281,0.0000704,0.0671,0.179,121.568,4
spotify:track:5IaO3uMTL6aaQLAuTvvDhu,"No Life Singed Her","Slanted And Enchanted","Pavement",1992,129053,0,false,5forty,2013-02-18T03:27:16Z,"alternative rock,indie","Domino Recording Co",0.401,0.911,7,-5.237,1,0.068,0.00102,0.0689,0.277,0.0743,131.801,4
spotify:track:6YIIy1Oc96o2YLH3H7y897,"In The Mouth A Desert","Slanted And Enchanted","Pavement",1992,231986,0,false,5forty,2013-02-18T03:27:16Z,"alternative rock,indie","Domino Recording Co",0.448,0.756,7,-4.189,1,0.0332,0.00439,0.00373,0.0929,0.487,105.123,4
spotify:track:37jlp0OztkJjJDrWUsP0Rs,"Conduit For Sale!","Slanted And Enchanted","Pavement",1992,172506,0,false,5forty,2013-02-18T03:27:16Z,"alternative rock,indie","Domino Recording Co",0.475,0.978,9,-5.118,1,0.133,0.0039,0.0000669,0.0832,0.372,120.016,4
spotify:track:6p01CZVRSEvo71qdjCfsNp,"Zurich Is Stained","Slanted And Enchanted","Pavement",1992,101040,0,false,5forty,2013-02-18T03:27:16Z,"alternative rock,indie","Domino Recording Co",0.618,0.683,0,-8.16,1,0.0268,0.183,0.00363,0.0988,0.351,128.554,4
spotify:track:2Ly2fqLUEdJEJwLV4Bot8J,"Loretta's Scars","Slanted And Enchanted","Pavement",1992,175106,0,false,5forty,2013-02-18T03:27:16Z,"alternative rock,indie","Domino Recording Co",0.265,0.919,5,-5.68,0,0.0438,0.00000537,0.905,0.319,0.646,109.279,4
spotify:track:4cLwmpp6kSS45kgrcvXeKp,"Two States","Slanted And Enchanted","Pavement",1992,107493,0,false,5forty,2013-02-18T03:27:16Z,"alternative rock,indie","Domino Recording Co",0.602,0.724,2,-6.237,0,0.0435,0.000374,0.0000607,0.277,0.878,129.535,4
spotify:track:5iupfg9bpwtMAj6OMsYDLh,"Perfume-V","Slanted And Enchanted","Pavement",1992,129946,0,false,5forty,2013-02-18T03:27:35Z,"alternative rock,indie","Domino Recording Co",0.476,0.794,0,-6.03,1,0.0334,0.0000214,0.603,0.127,0.446,126.334,4
spotify:track:6BSMijivvFwmlD5UTQZcaV,"Fame Throwa","Slanted And Enchanted","Pavement",1992,202280,0,false,5forty,2013-02-18T03:27:40Z,"alternative rock,indie","Domino Recording Co",0.292,0.756,2,-6.617,1,0.0905,0.00023,0.0214,0.0625,0.642,186.908,4
