Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4GSKTNl2pp1djg7UmstkHg,"Catherine 1956","Cokefloat!","PAWS",2012-10-09,185186,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.38,0.768,9,-3.902,1,0.0368,0.377,0,0.287,0.353,127.544,4
spotify:track:3EKLxEgemaXIZGRyeDJUZx,"Jellyfish","Cokefloat!","PAWS",2012-10-09,161506,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.108,0.977,4,-3.07,1,0.13,0.114,0.00000229,0.429,0.258,179.687,4
spotify:track:0jIa0L4hUZLt3ekRaTWmDV,"Homecoming","Cokefloat!","PAWS",2012-10-09,204680,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.416,0.878,2,-3.455,1,0.0523,0.0846,0.0000295,0.116,0.489,126.264,4
spotify:track:4ImbyRTYMa5TAHRLyT3Kbw,"Pony.","Cokefloat!","PAWS",2012-10-09,245040,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.477,0.735,9,-6.436,1,0.0336,0.0598,0.855,0.0976,0.473,138.305,4
spotify:track:3LZfOjvRZG67nminRDaeJw,"Bloodline","Cokefloat!","PAWS",2012-10-09,125680,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.319,0.977,7,-1.892,1,0.0774,0.0304,0.0684,0.332,0.395,110.338,4
spotify:track:6MfCGptdXUMhZs1RqwZBss,"Boregasm","Cokefloat!","PAWS",2012-10-09,141066,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.356,0.938,2,-3.734,1,0.0818,0.0735,0.624,0.0784,0.391,104.268,4
spotify:track:0x3eTKkGYlQl5D3Cep69yD,"Sore Tummy","Cokefloat!","PAWS",2012-10-09,214546,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.474,0.917,4,-4.46,1,0.0902,0.0216,0.0383,0.128,0.352,141.444,4
spotify:track:0UGWI7d8Qn38KTk71c53y6,"Get Bent","Cokefloat!","PAWS",2012-10-09,234240,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.39,0.319,2,-6.025,1,0.0369,0.65,0.0272,0.109,0.237,135.112,4
spotify:track:5SkX67X8qIei1jihBnks4v,"Tulip","Cokefloat!","PAWS",2012-10-09,186786,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.402,0.966,4,-2.902,1,0.116,0.234,0.000023,0.134,0.294,141.721,4
spotify:track:0ei6yVgsKnByiRp3bY1dh0,"Miss American Bookworm","Cokefloat!","PAWS",2012-10-09,206813,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.224,0.946,5,-4.428,1,0.0593,0.00862,0.00916,0.236,0.323,168.665,4
spotify:track:7t0cstx249tPTp9FMV24X8,"Bird Inside Birdcage, Ribcage Inside Bird","Cokefloat!","PAWS",2012-10-09,186093,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.528,0.888,7,-5.086,1,0.0316,0.000759,0.362,0.379,0.386,118.389,4
spotify:track:5cAdEXWvp2HBi4ThSGydvM,"Winners Don't Bleed","Cokefloat!","PAWS",2012-10-09,120986,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.368,0.989,4,-2.765,0,0.0897,0.000394,0.0767,0.294,0.264,112.737,4
spotify:track:74QAHg8EQRi3vXvVUontSn,"Poor Old Christopher Robin","Cokefloat!","PAWS",2012-10-09,307546,0,false,5forty,2012-10-14T20:27:24Z,"indie punk","FatCat Records",0.22,0.507,4,-6.675,1,0.0443,0.424,0.0004,0.0889,0.18,84.78,4
