Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5uRAp0ZDXs4Y0NevqYGeNZ,"Sun, Arise! (An Invocation, An Introduction)","Muchacho","Phosphorescent",2013-03-15,189559,0,false,5forty,2013-06-13T03:08:14Z,"","Dead Oceans",0.517,0.226,0,-14.318,1,0.0345,0.961,0.344,0.102,0.106,129.887,3
spotify:track:2kD2li0Gfjqh26jYNz6Z6p,"Song For Zula","Muchacho","Phosphorescent",2013-03-15,370200,0,false,5forty,2013-06-13T03:08:14Z,"","Dead Oceans",0.478,0.619,4,-8.216,1,0.0376,0.731,0.496,0.0518,0.5,86.005,4
spotify:track:55C8Zut2Ug8wPNrU4OJYPd,"Ride On / Right On","Muchacho","Phosphorescent",2013-03-15,224906,0,false,5forty,2013-06-13T03:08:14Z,"","Dead Oceans",0.539,0.581,7,-7.423,1,0.0316,0.00808,0.0589,0.15,0.237,95.075,4
spotify:track:7C9qM17pJCJi1hiFERWjm6,"Terror In The Canyons (The Wounded Master)","Muchacho","Phosphorescent",2013-03-15,245546,0,false,5forty,2013-06-13T03:08:14Z,"","Dead Oceans",0.348,0.627,3,-6.674,1,0.0317,0.799,0.0129,0.0976,0.377,130.089,4
spotify:track:62A1DpyagGOZ56048rg2aV,"A Charm / A Blade","Muchacho","Phosphorescent",2013-03-15,320453,0,false,5forty,2013-06-13T03:08:14Z,"","Dead Oceans",0.236,0.658,2,-6.651,1,0.0307,0.755,0.238,0.0374,0.243,96.626,4
spotify:track:0jBzPYlefk8zCbjjXs5W6i,"Muchacho's Tune","Muchacho","Phosphorescent",2013-03-15,259920,0,false,5forty,2013-06-13T03:08:14Z,"","Dead Oceans",0.249,0.404,7,-8.254,1,0.0383,0.95,0.256,0.0724,0.552,187.055,3
spotify:track:3VIJ2oT2fJMqDraceIIEhO,"A New Anhedonia","Muchacho","Phosphorescent",2013-03-15,243773,0,false,5forty,2013-06-13T03:08:14Z,"","Dead Oceans",0.26,0.292,4,-9.712,1,0.0324,0.704,0.0987,0.17,0.099,122.257,5
spotify:track:2td0XYcPqaMXvjvMvIT8Et,"The Quotidian Beasts","Muchacho","Phosphorescent",2013-03-15,424226,0,false,5forty,2013-06-13T03:08:14Z,"","Dead Oceans",0.175,0.698,8,-5.487,1,0.032,0.286,0.226,0.0575,0.48,170.555,4
spotify:track:3JbMQtDVYZlCywpr74bznD,"Down to Go","Muchacho","Phosphorescent",2013-03-15,315342,0,false,5forty,2013-06-13T03:08:14Z,"","Dead Oceans",0.393,0.4,5,-8.242,1,0.0273,0.655,0.421,0.107,0.251,50.454,3
spotify:track:4NKH3Cv6XVCARZDqygwh65,"Sun's Arising (A Koan, an Exit)","Muchacho","Phosphorescent",2013-03-15,198556,0,false,5forty,2013-06-13T03:08:14Z,"","Dead Oceans",0.181,0.292,0,-12.723,1,0.0336,0.955,0.0687,0.049,0.0652,86.584,1
