Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5BP0oaQ1VhuaznT77CBXQp,"Where Is My Mind?","Death To The Pixies","Pixies",1997-10-06,231666,0,false,5forty,2013-01-06T19:02:55Z,"alternative rock","4AD",0.508,0.597,4,-8.063,1,0.0396,0.0177,0.000856,0.091,0.185,81.982,4
spotify:track:0cs671lxX2eoDzr2KMuo3N,"Here Comes Your Man","Doolittle","Pixies",1989-04-17,201693,1,false,5forty,2013-01-06T19:02:55Z,"alternative rock","4AD",0.669,0.783,2,-12.302,1,0.0295,0.0475,0.0296,0.115,0.896,124.518,4
spotify:track:3FzKPS0oVknVlCW3PhxIHl,"Debaser","Doolittle","Pixies",1989-04-17,173173,0,false,5forty,2013-01-06T19:02:55Z,"alternative rock","4AD",0.487,0.885,5,-12.005,1,0.0427,0.000397,0.347,0.0973,0.579,135.516,4
spotify:track:458jTlaoleWTGRV4QTdQNZ,"Hey","Wave Of Mutilation: Best Of Pixies","Pixies",2004-05-03,210933,0,false,5forty,2013-01-06T19:02:55Z,"alternative rock","4AD",0.595,0.38,7,-12.346,1,0.0301,0.000996,0.00652,0.2,0.32,100.534,4
spotify:track:6mcxQ1Y3uQRU0IHsvdNLH1,"Where Is My Mind?","Surfer Rosa (Remastered)","Pixies",1988,236973,2,false,5forty,2013-01-06T19:02:55Z,"alternative rock","4AD",0.518,0.436,4,-14.134,1,0.0349,0.0157,0.000621,0.079,0.27,80.88,4
spotify:track:1yJiE307EBIzOB9kqH1deb,"Wave of Mutilation","Doolittle","Pixies",1989-04-17,124773,0,false,5forty,2013-01-06T19:02:55Z,"alternative rock","4AD",0.59,0.77,10,-12.147,1,0.0346,0.000272,0.411,0.0811,0.737,132.613,4
spotify:track:3vY7cKuKNY1oAsyVVn7AQz,"La La Love You","Doolittle","Pixies",1989-04-17,163640,0,false,5forty,2013-01-06T19:02:55Z,"alternative rock","4AD",0.702,0.653,2,-12.885,1,0.0376,0.00089,0.178,0.11,0.597,124.498,4
spotify:track:6J8TH0njhsg6EQBmCCZAFu,"Dig For Fire","Death To The Pixies","Pixies",1997-10-06,182400,0,false,5forty,2013-01-06T19:02:55Z,"alternative rock","4AD",0.675,0.862,6,-5.966,0,0.0267,0.0675,0.000681,0.045,0.87,107.609,4
spotify:track:6pifLn4O1MgMB1IAb7WTzl,"Velouria","Death To The Pixies","Pixies",1997-10-06,220306,0,false,5forty,2013-01-06T19:02:55Z,"alternative rock","4AD",0.467,0.842,6,-5.752,1,0.0362,0.00121,0.0944,0.0802,0.537,124.635,4
spotify:track:0VAD8GUGL68sQcOdiHIjTU,"There Goes My Gun","Doolittle","Pixies",1989-04-17,109533,0,false,5forty,2013-01-06T19:02:55Z,"alternative rock","4AD",0.572,0.843,11,-12.046,0,0.0458,0.0122,0.742,0.0992,0.717,126.32,3
