Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0mjB1LNY9TS6lOXbyoARls,"Cecilia Ann","Bossanova","Pixies",1990-08-13,126240,0,false,5forty,2012-11-28T05:55:43Z,"alternative rock","4AD",0.334,0.815,4,-11.035,1,0.0473,0.000257,0.867,0.399,0.553,152.68,4
spotify:track:39CBAFioBX9p2jW8lJ9pjE,"Rock Music","Bossanova","Pixies",1990-08-13,112093,0,false,5forty,2012-11-28T05:55:43Z,"alternative rock","4AD",0.386,0.92,5,-10.886,0,0.0731,0.000661,0.858,0.0791,0.546,126.606,4
spotify:track:5RZX2iTXYE836twtGrXLST,"Velouria","Bossanova","Pixies",1990-08-13,220333,0,false,5forty,2012-11-28T05:55:43Z,"alternative rock","4AD",0.488,0.642,6,-12.578,1,0.0319,0.00145,0.239,0.0817,0.523,124.624,4
spotify:track:6IJjnilEkzI4CQMXcPgrmx,"Allison","Bossanova","Pixies",1990-08-13,77773,0,false,5forty,2012-11-28T05:55:43Z,"alternative rock","4AD",0.378,0.648,0,-11.907,1,0.0321,0.000403,0.000014,0.0775,0.599,156.745,4
spotify:track:3Ao3tTpiXLSmch1kTJZ7Fx,"Is She Weird","Bossanova","Pixies",1990-08-13,181093,0,false,5forty,2012-11-28T05:55:43Z,"alternative rock","4AD",0.688,0.561,9,-12.835,1,0.0367,0.0336,0.0000407,0.144,0.56,110.105,4
spotify:track:5g3IlBjBRVLmKrU1ZmWAPU,"Ana","Bossanova","Pixies",1990-08-13,129440,0,false,5forty,2012-11-28T05:55:43Z,"alternative rock","4AD",0.658,0.408,10,-14.297,0,0.0259,0.0271,0.0219,0.0889,0.371,105.671,4
spotify:track:0nN43zTSOJOoxXailwklzU,"All Over the World","Bossanova","Pixies",1990-08-13,326626,0,false,5forty,2012-11-28T05:55:43Z,"alternative rock","4AD",0.399,0.536,7,-11.988,1,0.0351,0.0581,0.147,0.212,0.748,112.586,4
spotify:track:3sSI906DlEImqFtH9SWJC0,"Dig for Fire","Bossanova","Pixies",1990-08-13,182400,0,false,5forty,2012-11-28T05:55:43Z,"alternative rock","4AD",0.681,0.674,6,-12.885,0,0.0252,0.155,0.000261,0.0485,0.881,107.63,4
spotify:track:4yBou2ABmrb5LU5gVQIaE9,"Down to the Well","Bossanova","Pixies",1990-08-13,149040,0,false,5forty,2012-11-28T05:55:43Z,"alternative rock","4AD",0.165,0.649,9,-11.314,1,0.0474,0.00221,0.721,0.15,0.628,203.572,4
spotify:track:1QkLm2qvpAvoeNEpX0yO4Y,"The Happening","Bossanova","Pixies",1990-08-13,259066,0,false,5forty,2012-11-28T05:55:43Z,"alternative rock","4AD",0.613,0.447,5,-12.246,0,0.0276,0.0574,0.521,0.185,0.678,109.528,4
spotify:track:3EVBloPg1WX7v9LOEtgvaU,"Hang Wire","Bossanova","Pixies",1990-08-13,121200,0,false,5forty,2012-11-28T05:55:43Z,"alternative rock","4AD",0.548,0.732,0,-11.681,1,0.0392,0.000426,0.000558,0.0922,0.743,123.669,4
