Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3FzKPS0oVknVlCW3PhxIHl,"Debaser","Doolittle","Pixies",1989-04-17,173173,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.487,0.885,5,-12.005,1,0.0427,0.000397,0.347,0.0973,0.579,135.516,4
spotify:track:1H93izDjXIF30mAMC7UagB,"Tame","Doolittle","Pixies",1989-04-17,115693,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.562,0.56,0,-13.551,1,0.0724,0.00141,0.762,0.28,0.919,137.475,4
spotify:track:1yJiE307EBIzOB9kqH1deb,"Wave of Mutilation","Doolittle","Pixies",1989-04-17,124773,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.59,0.77,10,-12.147,1,0.0346,0.000272,0.411,0.0811,0.737,132.613,4
spotify:track:4azCKNOIuNsCB98BSRBR2B,"I Bleed","Doolittle","Pixies",1989-04-17,154800,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.487,0.518,11,-13.004,0,0.036,0.000421,0.0251,0.11,0.762,170.845,4
spotify:track:0cs671lxX2eoDzr2KMuo3N,"Here Comes Your Man","Doolittle","Pixies",1989-04-17,201693,1,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.669,0.783,2,-12.302,1,0.0295,0.0475,0.0296,0.115,0.896,124.518,4
spotify:track:5fAUch0HNiHxqLEc6a1t68,"Dead","Doolittle","Pixies",1989-04-17,141373,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.733,0.721,2,-12.948,1,0.0324,0.00291,0.814,0.182,0.837,120.494,4
spotify:track:1lFC3sMgOcDrVzNh8zXRnl,"Monkey Gone to Heaven","Doolittle","Pixies",1989-04-17,177466,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.652,0.388,6,-12.029,0,0.0302,0.0167,0.00076,0.32,0.595,116.433,4
spotify:track:0QboItjXFMSeHpAIgvVnz3,"Mr. Grieves","Doolittle","Pixies",1989-04-17,125800,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.53,0.467,11,-14.41,1,0.0693,0.0372,0.00309,0.12,0.665,112.602,3
spotify:track:1yuwn054ErrOWqjjk51ldD,"Crackity Jones","Doolittle","Pixies",1989-04-17,84226,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.308,0.941,9,-10.243,1,0.131,0.0095,0.165,0.112,0.37,148.276,4
spotify:track:3vY7cKuKNY1oAsyVVn7AQz,"La La Love You","Doolittle","Pixies",1989-04-17,163640,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.702,0.653,2,-12.885,1,0.0376,0.00089,0.178,0.11,0.597,124.498,4
spotify:track:18PzY59cKHgu78CUYcUVAz,"No 13 Baby","Doolittle","Pixies",1989-04-17,231626,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.688,0.634,0,-13.822,1,0.0407,0.00289,0.0112,0.0375,0.302,122.466,4
spotify:track:0VAD8GUGL68sQcOdiHIjTU,"There Goes My Gun","Doolittle","Pixies",1989-04-17,109533,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.572,0.843,11,-12.046,0,0.0458,0.0122,0.742,0.0992,0.717,126.32,3
spotify:track:2Aqc48sn8He26hmTvQ2BMj,"Hey","Doolittle","Pixies",1989-04-17,211440,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.59,0.317,7,-15.014,1,0.0307,0.000877,0.000867,0.0745,0.33,99.81,4
spotify:track:2ofiwvmGa6QHUV8X46vEd6,"Silver","Doolittle","Pixies",1989-04-17,145266,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.555,0.284,11,-15.655,0,0.0273,0.00108,0.13,0.111,0.398,88.307,3
spotify:track:1YZDkJOFT8xlAXDi8lneb3,"Gouge Away","Doolittle","Pixies",1989-04-17,165066,0,false,5forty,2012-12-04T23:42:24Z,"alternative rock","4AD",0.661,0.407,4,-14.111,1,0.0334,0.00164,0.0241,0.0987,0.497,125.644,4
