Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:58BsYHaWdK78SIZMWztmC3,"Bone Machine","Surfer Rosa (Remastered)","Pixies",1988,185346,0,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.632,0.672,0,-12.748,1,0.0287,0.000812,0.00039,0.228,0.962,115.857,4
spotify:track:5pVSOZVIWaRxF0zhjlnEUy,"Break My Body","Surfer Rosa (Remastered)","Pixies",1988,128199,0,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.442,0.603,0,-12.524,1,0.0342,0.00252,0.0188,0.114,0.911,125.655,4
spotify:track:0W1M8vt5AoAidBEah3NE0H,"Something Against You","Surfer Rosa (Remastered)","Pixies",1988,110413,0,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.213,0.821,1,-11.623,1,0.085,0.00227,0.845,0.0896,0.266,190.095,4
spotify:track:1nc3cMQQoA6uOGgIrGjBIa,"Broken Face","Surfer Rosa (Remastered)","Pixies",1988,92640,0,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.379,0.816,4,-11.835,1,0.0719,0.0378,0.00000413,0.194,0.286,94.219,4
spotify:track:3oqJ3POeLfa2TJh6BFLhPM,"Gigantic","Surfer Rosa (Remastered)","Pixies",1988,237706,0,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.385,0.707,7,-11.825,1,0.0401,0.00225,0.418,0.0763,0.786,115.174,4
spotify:track:1FKWWmT46hgeerUUR7YedM,"River Euphrates","Surfer Rosa (Remastered)","Pixies",1988,154906,0,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.527,0.704,6,-11.233,1,0.0369,0.00113,0.00211,0.264,0.655,125.457,4
spotify:track:6mcxQ1Y3uQRU0IHsvdNLH1,"Where Is My Mind?","Surfer Rosa (Remastered)","Pixies",1988,236973,2,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.518,0.436,4,-14.134,1,0.0349,0.0157,0.000621,0.079,0.27,80.88,4
spotify:track:2nqMzaaRiinfR2B4egiHgI,"Cactus","Surfer Rosa (Remastered)","Pixies",1988,138613,0,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.88,0.408,4,-14.498,0,0.0587,0.389,0.0704,0.0971,0.855,116.233,4
spotify:track:4xljyiFc4EyztCfwNxs5ur,"Tony's Theme","Surfer Rosa (Remastered)","Pixies",1988,114960,0,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.483,0.705,2,-12.038,1,0.186,0.0215,0,0.187,0.552,165.315,4
spotify:track:0sk9SQJ17g7eUzJ2ObjKwR,"Oh My Golly!","Surfer Rosa (Remastered)","Pixies",1988,155160,0,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.351,0.46,2,-14.05,1,0.0934,0.00842,0.00000321,0.0784,0.329,171.682,3
spotify:track:6ShMtou6pfX6E18iqsBAc7,"Vamos (Surfer Rosa)","Surfer Rosa (Remastered)","Pixies",1988,264786,0,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.369,0.61,11,-14.479,0,0.0387,0.000175,0.599,0.0665,0.963,141.405,4
spotify:track:3yGCPtAaLOZjNBNFt80GFA,"I'm Amazed","Surfer Rosa (Remastered)","Pixies",1988,105266,0,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.571,0.509,4,-12.636,0,0.179,0.00139,0.002,0.114,0.683,130.584,4
spotify:track:5umI2Ra11zPhee5ShYXps2,"Brick Is Red","Surfer Rosa (Remastered)","Pixies",1988,122440,0,false,5forty,2012-12-07T23:52:31Z,"alternative rock","4AD",0.6,0.521,7,-14.892,1,0.033,0.0692,0.00748,0.234,0.739,120.745,4
