Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7F8Ee5OCF276CR3veChEKL,"Trompe Le Monde","Trompe Le Monde","Pixies",1991-09-23,107573,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.212,0.801,11,-10.557,0,0.0444,0.000461,0.00436,0.306,0.464,141.15,4
spotify:track:7lpjoYktJQwBC1vigyiJGi,"Planet of Sound","Trompe Le Monde","Pixies",1991-09-23,126333,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.432,0.989,2,-10.45,1,0.0509,0.00364,0.542,0.802,0.0399,154.851,4
spotify:track:7fZPgdCxYeGxviBDvbB4Ot,"Alec Eiffel","Trompe Le Monde","Pixies",1991-09-23,170293,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.387,0.925,7,-10.583,1,0.047,0.00183,0.0693,0.644,0.743,161.732,4
spotify:track:08ePRvT8JFJpaoATb2Vdyp,"The Sad Punk","Trompe Le Monde","Pixies",1991-09-23,179906,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.134,0.796,9,-10.789,1,0.0778,0.00283,0.925,0.0637,0.149,168.469,4
spotify:track:0YwBf6d85gNsWgIkqq4kml,"Head On","Trompe Le Monde","Pixies",1991-09-23,134026,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.423,0.847,0,-10.384,1,0.0643,0.00173,0.825,0.41,0.39,145.798,4
spotify:track:17Qj1HcrBR00pmTvrs7vDW,"U-Mass","Trompe Le Monde","Pixies",1991-09-23,180866,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.609,0.698,5,-9.942,0,0.0398,0.00111,0.00031,0.728,0.44,106.942,4
spotify:track:3nLAVywdGl7ndwkJ7bMvuB,"Palace of the Brine","Trompe Le Monde","Pixies",1991-09-23,94466,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.497,0.838,8,-8.597,1,0.0309,0.0092,0.644,0.485,0.898,110.832,4
spotify:track:2yw8emtCSOKhzjHxEr5zeq,"Letter to Memphis","Trompe Le Monde","Pixies",1991-09-23,160600,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.408,0.905,3,-9.006,1,0.0671,0.00124,0.14,0.104,0.355,115.048,4
spotify:track:6qszTynyLR7C8kTXcEzzNh,"Bird Dream of the Olympus Mons","Trompe Le Monde","Pixies",1991-09-23,168133,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.674,0.397,9,-11.905,1,0.0332,0.00162,0.00397,0.131,0.756,113.096,4
spotify:track:3MZOhT32zg8oICwOszOEmS,"Space (I Believe In)","Trompe Le Monde","Pixies",1991-09-23,258573,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.601,0.531,0,-12.232,1,0.035,0.000522,0.357,0.402,0.558,112.059,3
spotify:track:0j4lkWKXlh9fkH3sc7prOk,"Subbacultcha","Trompe Le Monde","Pixies",1991-09-23,129960,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.683,0.795,8,-8.97,1,0.107,0.00354,0.000497,0.578,0.506,112.862,4
spotify:track:3btD9GproLe7dHBPuiVCyk,"Distance Equals Rate Times Time","Trompe Le Monde","Pixies",1991-09-23,84106,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.443,0.733,6,-9.957,1,0.0561,0.0000726,0.569,0.434,0.439,122.075,3
spotify:track:5SjpnQfilODHzyV8eLIwyb,"Lovely Day","Trompe Le Monde","Pixies",1991-09-23,125533,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.57,0.946,11,-10.437,0,0.0595,0.0486,0.00000282,0.101,0.666,98.254,4
spotify:track:2kdzuAISSkMGZn9i9Bygdb,"Motorway to Roswell","Trompe Le Monde","Pixies",1991-09-23,283800,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.584,0.752,11,-9.983,1,0.0279,0.0488,0.00486,0.304,0.735,113.923,4
spotify:track:0ZauOi2osaX0A24LLNA9qQ,"The Navajo Know","Trompe Le Monde","Pixies",1991-09-23,139826,0,false,5forty,2012-12-04T01:11:40Z,"alternative rock","4AD",0.647,0.573,9,-12.524,0,0.0375,0.116,0.886,0.0737,0.936,133.135,4
