Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0IcSLT53eE07Jmok64Ppo3,"Space Song","Depression Cherry","Beach House",2015-08-28,320466,0,false,pk2004,2018-05-22T14:45:51Z,"dream pop","Bella Union",0.508,0.785,0,-7.286,0,0.0295,0.221,0.125,0.142,0.61,147.073,4
spotify:track:2FeUZsmNGWc3No6v9GCdST,"Piazza, New York Catcher","Dear Catastrophe Waitress","Belle and Sebastian",2003-10-06,183493,0,false,pk2004,2018-05-22T14:46:24Z,"baroque pop","Rough Trade",0.619,0.309,3,-15.098,0,0.0367,0.829,0,0.102,0.82,105.566,4
spotify:track:3FEHdbqGaZ1VjX2pSCHNOH,"Army of Me","Post","Björk",1995-06-13,237026,0,false,pk2004,2018-05-22T14:46:56Z,"art pop,trip hop","One Little Indian Records",0.454,0.77,6,-6.452,1,0.0347,0.00906,0.0000722,0.292,0.525,172.099,4
spotify:track:41GUOZ5SuzCinHFirNUow7,"Nervous Mary","All Nerve","The Breeders",2018-03-02,149253,0,false,pk2004,2018-05-22T14:47:16Z,"riot grrrl,alternative rock","4AD",0.587,0.591,11,-7.61,0,0.0384,0.653,0.000489,0.142,0.0757,131.221,4
spotify:track:3z3BsIVe0RHu7m6J1KZxg1,"My Boy (Twin Fantasy)","Twin Fantasy","Car Seat Headrest",2018-02-16,172920,0,false,pk2004,2018-05-22T14:47:45Z,"midwest emo,indie rock","Matador",0.568,0.308,9,-9.856,1,0.0329,0.0881,0.038,0.128,0.357,115.078,4
spotify:track:7a0YvS8BmrfOtvG2HpPpE9,"Miracle","Miracle","CHVRCHES",2018-04-11,188251,24,false,pk2004,2018-05-22T14:48:16Z,"synthpop","EMI (Virgin)",0.577,0.781,5,-3.154,1,0.0315,0.0151,0,0.179,0.424,124.012,4
spotify:track:7uvt4gVvogBjiIK8m0wpIm,"Boyfriend (Repeat)","Confident Music for Confident People","Confidence Man",2018-04-13,249933,0,false,pk2004,2018-05-22T14:48:36Z,"","Heavenly Recordings",0.663,0.978,10,-4.502,1,0.0823,0.192,0.0698,0.0835,0.699,120.035,4
spotify:track:2ODYENAvi3VSpQDZ2EDTdP,"Suck the Blood from My Wound","Transangelic Exodus","Ezra Furman",2018-02-09,289000,0,false,pk2004,2018-05-22T14:48:55Z,"","Bella Union",0.696,0.64,4,-11.03,1,0.154,0.178,0.00000795,0.639,0.693,126.021,4
spotify:track:6f1S3mOpU4TeoTZOJCmRXl,"King Bromeliad","King Bromeliad / Montparnasse","Floating Points",2014-06-23,532499,0,false,pk2004,2018-05-22T14:49:13Z,"idm,ambient jazz,gnawa","Eglo Records",0.896,0.471,1,-10.391,1,0.0766,0.00477,0.874,0.0824,0.282,114.936,4
spotify:track:2ZIaH69kaz55RM4Pjx6KXl,"Two Thousand and Seventeen","New Energy","Four Tet",2017-09-29,252255,54,false,pk2004,2018-05-22T14:52:19Z,"idm,electronica","Text Records",0.551,0.469,2,-8.393,1,0.0296,0.327,0.161,0.0939,0.498,75.495,4
