Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:244HDuDLNU1fuvsoI70QTD,"Gone Tomorrow","Mr. M","Lambchop",2012-01-01,419400,0,false,5forty,2018-12-03T18:45:39Z,"alt country,baroque pop","Universal Music Australia Pty. Ltd.",0.378,0.446,6,-12.938,1,0.0288,0.331,0.817,0.127,0.348,144.634,4
spotify:track:1cftVbINEW0cPvULE0uLeZ,"Secret Plot","Talent Night at the Ashram","Sonny & The Sunsets",2015-02-16,192710,0,false,5forty,2018-12-03T18:45:39Z,"","Polyvinyl Records",0.646,0.622,0,-6.358,1,0.0267,0.407,0.000816,0.291,0.692,110.475,4
spotify:track:6TNKgkkoYtAL1Ky0i4t2il,"Building Machines","Anagrams","Stephen Steinbrink",2016-06-24,266250,0,false,5forty,2018-12-03T18:45:39Z,"","Melodic",0.498,0.67,1,-9.063,1,0.0341,0.247,0.452,0.0778,0.505,91.083,4
spotify:track:4wyVQMeeUTPu8DnMG9kWgJ,"Velvet Underground","I, Jonathan","Jonathan Richman",1992-01-01,207893,31,false,5forty,2018-12-03T18:45:39Z,"proto-punk,anti-folk","Rounder Records",0.48,0.303,9,-15.874,1,0.0552,0.779,0.00000811,0.0952,0.785,171.01,4
spotify:track:3SyXUQJRXyHHof5kpcMSEj,"Lightworks","Parallax","Atlas Sound",2011-10-26,236253,0,false,5forty,2018-12-03T18:45:39Z,"dream pop,neo-psychedelic,shoegaze","4AD",0.692,0.533,4,-9.594,1,0.0285,0.268,0.00128,0.343,0.748,110.879,4
spotify:track:0vIwhPGBrTcrYM1f7u9grh,"Ultimate Painting","Ultimate Painting","Ultimate Painting",2014-10-27,219129,0,false,5forty,2018-12-03T18:45:39Z,"jangle pop,neo-psychedelic,space rock","Trouble In Mind Records",0.789,0.698,7,-7.842,1,0.0304,0.59,0.802,0.11,0.705,120.961,4
spotify:track:7bI9InQdBySj51D9qhaZqV,"Airport","California Airport Love","Amason",2016-03-23,209023,0,false,5forty,2018-12-03T18:45:39Z,"swedish pop","INGRID",0.606,0.528,2,-6.762,1,0.0345,0.804,0.00000654,0.164,0.273,147.789,4
spotify:track:35BjbTIMBgJvlHmKupLit8,"Mirror Ball","All the Pleasures of the World","The Crayon Fields",2009-09-19,194213,0,false,5forty,2018-12-03T18:45:39Z,"","Chapter Music",0.598,0.56,10,-7.249,1,0.0414,0.279,0,0.265,0.789,118.004,4
spotify:track:6borvKnsj8OvxqbNwiHHdX,"Jail La La","I Will Be","Dum Dum Girls",2010-03-30,150640,0,false,5forty,2018-12-03T18:45:39Z,"dream pop","Sub Pop Records",0.361,0.954,2,-4.238,1,0.0572,0.00466,0.0136,0.368,0.42,84.979,4
spotify:track:5d3tH8wi38jPywIEJP48BJ,"Who Did Pull the Pin of the People?","Judas Hung Himself in America","Mathew Lee Cothran",2017-02-24,191073,27,false,5forty,2018-12-03T18:45:39Z,"lo-fi indie,slowcore","The Marigold Group LLC",0.563,0.316,9,-11.512,1,0.0265,0.711,0.82,0.345,0.146,96.572,4
spotify:track:0rC5M1dMkOY1xGwpXnqoSA,"Ugly Brunette","Horse Jumper of Love","Horse Jumper of Love",2017-04-21,176703,0,false,5forty,2018-12-03T18:45:39Z,"slowcore,shoegaze","Joy Void",0.411,0.603,7,-7.988,1,0.0359,0.178,0.00693,0.0929,0.366,78.842,4
spotify:track:4nv9nNJAQ21V5mB6ONVa9m,"It's A Shame My Store Isn't Open","Okey Dokey","Natural Child",2016-09-16,403044,0,false,5forty,2018-12-03T18:45:39Z,"neo-psychedelic","Natural Child Records and Tapes",0.404,0.361,0,-10.569,1,0.0486,0.658,0.857,0.118,0.614,191.583,4
spotify:track:2rHFHEsthyezfUxu6hbcVp,"Do You Feel It","Relax","Holy Wave",2014-01-28,214160,0,false,5forty,2018-12-03T18:45:39Z,"neo-psychedelic,psychedelic rock,space rock","The Reverberation Appreciation Society",0.447,0.449,4,-9.522,1,0.0292,0.02,0.746,0.106,0.705,167.07,4
spotify:track:7yHcR48ow9J3LCfN9vGKIZ,"Cheap Extensions","Talent Night at the Ashram","Sonny & The Sunsets",2015-02-16,270820,0,false,5forty,2018-12-03T18:45:39Z,"","Polyvinyl Records",0.685,0.558,0,-6.242,0,0.0316,0.0787,0.6,0.0811,0.861,142.661,4
spotify:track:5A1UpB8rIje48q3AZem0cY,"The Liar","The Liar","The Fernweh",2018-01-26,217052,0,false,5forty,2018-12-03T18:45:39Z,"neo-psychedelic","Skeleton Key Records",0.381,0.856,2,-6.589,1,0.0744,0.00232,0.26,0.149,0.277,151.135,4
