Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ryOagbprgDqtUAFbVzDRY,"School Glue","Spills Out","Pterodactyl",2011-11-14,192786,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.121,0.88,5,-9.051,1,0.0864,0.0347,0.00105,0.278,0.0953,165.49,4
spotify:track:0XMmve04NwUHNwP9Lf8CiX,"Searchers","Spills Out","Pterodactyl",2011-11-14,146360,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.25,0.848,0,-6.624,1,0.0563,0.000244,0.0151,0.158,0.386,83.625,4
spotify:track:7wqvuZnN1RlBMliqy1aXv9,"Hold Still","Spills Out","Pterodactyl",2011-11-14,159000,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.298,0.815,5,-9.518,1,0.0491,0.0318,0.000282,0.103,0.447,107.007,4
spotify:track:38PJmD9Jk1uJn6eF4rZEBB,"Nerds","Spills Out","Pterodactyl",2011-11-14,237373,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.306,0.731,4,-9.147,0,0.0417,0.000254,0.654,0.314,0.125,91.911,4
spotify:track:7tZnnLiIPM10jkllat8d2b,"Spills In","Spills Out","Pterodactyl",2011-11-14,25893,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.239,0.137,9,-21.215,0,0.0408,0.885,0.994,0.177,0.112,79.14,3
spotify:track:5H7whi9PHSZVKJATpcABee,"Allergy Shots","Spills Out","Pterodactyl",2011-11-14,257839,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.379,0.471,4,-9.555,0,0.0375,0.000442,0.00000588,0.665,0.53,119.94,4
spotify:track:5PtvbN6kxrcQimgkLwQWR4,"The Hole Night","Spills Out","Pterodactyl",2011-11-14,236453,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.443,0.625,4,-10.901,0,0.0373,0.27,0.21,0.103,0.519,120.073,4
spotify:track:0jYuFWg8js3joix9fXsvHG,"Thorn","Spills Out","Pterodactyl",2011-11-14,275680,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.147,0.367,9,-9.787,1,0.0327,0.244,0.198,0.1,0.047,98.804,4
spotify:track:6ylkciV11Sgqes5AJbiFN4,"The Break","Spills Out","Pterodactyl",2011-11-14,216040,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.0794,0.718,5,-9.309,1,0.0527,0.0537,0.00000563,0.186,0.227,174.492,4
spotify:track:0cR4fVAhopIfFja2n0xgMv,"Spills Out","Spills Out","Pterodactyl",2011-11-14,78653,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.213,0.44,9,-17.477,0,0.0938,0.769,0.963,0.274,0.0393,121.643,4
spotify:track:181ctBa8c01PFRKkGZhRXZ,"Zombies","Spills Out","Pterodactyl",2011-11-14,262293,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.42,0.592,10,-9.605,1,0.0318,0.154,0.526,0.288,0.14,103.957,4
spotify:track:5fLH9vPDCaJudRQooJAGIX,"White Water","Spills Out","Pterodactyl",2011-11-14,176013,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.268,0.584,5,-13.826,1,0.0999,0.867,0.0075,0.346,0.134,119.608,3
spotify:track:1hTYVZOiXNKeZP82TlzWpD,"Aphasia","Spills Out","Pterodactyl",2011-11-14,252640,0,false,,2012-04-23T11:16:19Z,"noise rock","Jagjaguwar",0.237,0.597,7,-9.641,0,0.0433,0.00456,0.795,0.0722,0.125,92.987,4
