Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7dhR5tF7Nay3S5q6CZkhle,"How You Sell Soul to a Soulless People Who Sold Their Soul???","How You Sell Soul to a Soulless People Who Sold Their Soul?","Public Enemy",2007-08-07,156618,23,false,5forty,2012-10-01T02:21:45Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","SLAMjamz",0.785,0.907,7,-3.387,1,0.232,0.00802,0,0.319,0.579,93.031,4
spotify:track:76S5yzIXg0bRQ89PXWRGbp,"Black Is Back","How You Sell Soul to a Soulless People Who Sold Their Soul?","Public Enemy",2007-08-07,162353,25,false,5forty,2012-10-01T02:21:45Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","SLAMjamz",0.658,0.921,6,-3.527,0,0.14,0.11,0,0.855,0.597,87.985,4
spotify:track:5YpZh8wfS4moRBk0ijNcXr,"Harder Than You Think","How You Sell Soul to a Soulless People Who Sold Their Soul?","Public Enemy",2007-08-07,249521,62,false,5forty,2012-10-01T02:21:45Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","SLAMjamz",0.484,0.852,11,-4.442,0,0.274,0.0317,0,0.0547,0.766,103.578,4
spotify:track:3FyyDbgrTb58HohvTZM97M,"Between Hard in a Rock Place","How You Sell Soul to a Soulless People Who Sold Their Soul?","Public Enemy",2007-08-07,59837,17,false,5forty,2012-10-01T02:21:45Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","SLAMjamz",0.811,0.921,1,-5.715,0,0.29,0.0676,0.00000272,0.413,0.469,93.339,4
spotify:track:38x3I8MkpDFgXft9QUQQOI,"Sex, Drugs and Violence","How You Sell Soul to a Soulless People Who Sold Their Soul?","Public Enemy",2007-08-07,215620,27,false,5forty,2012-10-01T02:21:45Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","SLAMjamz",0.827,0.781,9,-3.587,0,0.221,0.0172,0,0.36,0.795,89.916,4
spotify:track:7pIFgJ8m5X2eBJ4cJ7DBJg,"Amerikan Gangster","How You Sell Soul to a Soulless People Who Sold Their Soul?","Public Enemy",2007-08-07,243623,18,false,5forty,2012-10-01T02:21:45Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","SLAMjamz",0.469,0.785,11,-3.414,1,0.26,0.00995,0,0.0357,0.493,115.062,5
spotify:track:5Fm30JeFQk4z8SNIVRDapZ,"Can You Hear Me Now","How You Sell Soul to a Soulless People Who Sold Their Soul?","Public Enemy",2007-08-07,238445,23,false,5forty,2012-10-01T02:21:45Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","SLAMjamz",0.633,0.858,1,-2.989,1,0.345,0.149,0,0.616,0.894,95.672,4
spotify:track:3Cx4fzTL66f1QauCVYnQA9,"Head Wide Shut","How You Sell Soul to a Soulless People Who Sold Their Soul?","Public Enemy",2007-08-07,91161,14,false,5forty,2012-10-01T02:21:45Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","SLAMjamz",0.765,0.972,1,-3.685,1,0.235,0.0127,0.00000341,0.153,0.556,108.092,4
spotify:track:04CJh3ivp2wmVudlXAdfof,"Flavor Man","How You Sell Soul to a Soulless People Who Sold Their Soul?","Public Enemy",2007-08-07,224119,15,false,5forty,2012-10-01T02:21:45Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","SLAMjamz",0.68,0.801,9,-2.784,0,0.221,0.0171,0,0.448,0.691,109.393,4
spotify:track:6WXqM77cYD50bDhAWoUKDr,"The Enemy Battle Hymn of Public","How You Sell Soul to a Soulless People Who Sold Their Soul?","Public Enemy",2007-08-07,203987,13,false,5forty,2012-10-01T02:21:45Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","SLAMjamz",0.733,0.918,9,-3.853,0,0.182,0.327,0,0.0925,0.838,86.029,4
