Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7GcBcgN3zA0hNGyFr0Laxt,"Side Eye","Side Eye","Nature TV",2019-11-27,228822,41,false,5forty,2025-06-04T22:28:06Z,"lo-fi indie","Heist Or Hit Records",0.561,0.919,8,-5.436,0,0.0611,0.0133,0,0.0991,0.942,163.864,4
spotify:track:5AKUFr4GmY4VSIX54hyDi9,"Otherside of Midnight","Otherside of Midnight","overpass",2021-02-19,218040,36,false,5forty,2025-06-04T22:28:06Z,"","Overpass",0.438,0.756,7,-6.303,1,0.0415,0.0018,0.0000387,0.103,0.425,141.937,4
spotify:track:4y3wHNuNypHvY12huI59Rs,"Opus","Ode to the Peculiar","RHNO",2019-12-06,247932,10,false,5forty,2025-06-04T22:28:06Z,"","Modesta",0.761,0.508,6,-7.761,1,0.0342,0.766,0.474,0.179,0.39,82.96,4
spotify:track:74AJyXXrEPqlw7oxeQ4Rq5,"Say Something","Say Something","Corella",2017-11-17,199152,28,false,5forty,2025-06-04T22:28:06Z,"","Corella Music",0.639,0.762,2,-5.486,1,0.0355,0.000549,0.0137,0.0966,0.385,133.984,4
spotify:track:1euiiwEoryUni184b7gata,"Pleasure Line","Pleasure Line","Video Age",2020-08-07,220075,19,false,5forty,2025-06-04T22:28:06Z,"","Winspear",0.688,0.527,11,-8.804,1,0.0306,0.382,0.00128,0.0716,0.529,90.831,4
spotify:track:3ZD7oJ6YpsNR1po2OPdQdr,"Weekend","Weekend","RATS",2018-07-26,218340,24,false,5forty,2025-06-04T22:28:06Z,"","Aikona Records",0.573,0.911,4,-5.198,1,0.0646,0.00917,0.00000512,0.132,0.517,139.969,4
spotify:track:1bHbau0jfDd6doNltU6Ypc,"Head-spinner","Head-spinner","The Jarrs",2019-02-15,219428,1,false,5forty,2025-06-04T22:28:06Z,"","The Jarrs",0.407,0.774,11,-8.535,0,0.104,0.0889,0,0.403,0.863,158.598,4
spotify:track:0HUizC6vRNIYcVj7o1YaNP,"Grace","Sunshine State of a Happy Camper","Cody Lawless",2023-06-23,209454,14,false,5forty,2025-06-04T22:28:06Z,"bedroom pop","MNRK Music Group",0.864,0.571,2,-6.188,1,0.0814,0.0129,0.00000118,0.0885,0.587,109.997,4
spotify:track:2Kt8DrnYsXhcpn2WxQnUlY,"The Basement","Decorating","Early Eyes",2018-07-06,150372,20,false,5forty,2025-06-04T22:28:06Z,"","Birds Plural",0.705,0.616,5,-9.108,1,0.0313,0.285,0.011,0.0764,0.886,134.052,4
spotify:track:1ua0UyfXHd4vsGcC2qaT1O,"Let the Days Go","Let the Daze Go","The Grinns",2019-08-23,146373,18,false,5forty,2025-06-04T22:28:06Z,"","Postmark Records",0.483,0.985,11,-3.495,0,0.0581,0.0000413,0,0.306,0.863,89.485,4
spotify:track:3M1r14ITvngNwRt3ud6iu0,"Scenic Highway","Pop Therapy","Video Age",2018-06-15,191160,0,false,5forty,2025-06-04T22:28:06Z,"","Inflated Records",0.707,0.41,11,-6.879,1,0.0258,0.826,0.576,0.11,0.578,96.52,4
spotify:track:7rdQ9E972Xsz8ArWKWw8Tl,"Figure It Out","Figure It Out","RATS",2019-02-14,233725,21,false,5forty,2025-06-04T22:28:06Z,"","When I Say Run Records",0.465,0.729,4,-10.93,1,0.0493,0.0000335,0,0.0735,0.68,153.021,4
