Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1wqSGjs909BPIcluPfB9vr,"The Dinosaur Where We Fell In Love","Telling the Trees","RM Hubbert;Anneliese Mackintosh",2016-04-29,218453,0,false,5forty,2017-08-08T19:17:15Z,"","Chemikal Underground Records",0.324,0.414,5,-11.199,0,0.0378,0.798,0.503,0.102,0.503,149.216,3
spotify:track:07SBaEkW8FyjYfxKdLIGsn,"Self Portrait in a Convex Mirror","Telling the Trees","RM Hubbert;Anneke Kampman",2016-04-29,264776,0,false,5forty,2017-08-08T19:17:15Z,"","Chemikal Underground Records",0.725,0.661,0,-11.601,1,0.0432,0.0738,0.593,0.193,0.679,148,4
spotify:track:7HqxKxWumWkNslNQMrH5ur,"In Accordia","Telling the Trees","RM Hubbert;Rachel Grimes",2016-04-29,250193,0,false,5forty,2017-08-08T19:17:15Z,"neoclassical,contemporary classical,minimalism","Chemikal Underground Records",0.402,0.134,7,-16.773,1,0.0895,0.898,0.889,0.109,0.0851,87.87,1
spotify:track:5OR4uQ68gKDA9yvs2WavdC,"I Can Hold You Back","Telling the Trees","RM Hubbert;Kathryn Williams",2016-04-29,335720,0,false,5forty,2017-08-08T19:17:15Z,"","Chemikal Underground Records",0.503,0.396,0,-11.041,1,0.0441,0.601,0.0223,0.113,0.109,110.839,4
spotify:track:4H8nqDhIzjQhPWZa4PGWP8,"Sweet Dreams","Telling the Trees","RM Hubbert;Marnie",2016-04-29,235058,0,false,5forty,2017-08-08T19:17:15Z,"","Chemikal Underground Records",0.663,0.508,3,-12.743,1,0.0466,0.349,0.62,0.0973,0.807,136.012,4
spotify:track:3swW2iZhaV0NiHsBmNaHrB,"The Dog","Telling the Trees","RM Hubbert;Kathryn Joseph",2016-04-29,220570,0,true,5forty,2017-08-08T19:17:15Z,"","Chemikal Underground Records",0.756,0.13,0,-17.296,1,0.0339,0.865,0.436,0.121,0.12,93.978,3
spotify:track:6pkA0nF4Csd1Ik6PAJJX71,"The Unravelling","Telling the Trees","RM Hubbert;Martha Ffion",2016-04-29,251929,0,false,5forty,2017-08-08T19:17:15Z,"","Chemikal Underground Records",0.61,0.329,0,-10.219,1,0.0286,0.798,0.127,0.109,0.309,120.009,3
spotify:track:42K4GMywYpVUJHQzegGDAY,"Probably Will / Probably Do","Telling the Trees","RM Hubbert;Sarah J Stanley",2016-04-29,268980,0,true,5forty,2017-08-08T19:17:15Z,"","Chemikal Underground Records",0.623,0.507,11,-10.631,1,0.0381,0.148,0.197,0.114,0.571,137.968,4
spotify:track:5b35S0UKMN5ExDRqbsGsaq,"KAS","Telling the Trees","RM Hubbert;Aby Vulliamy",2016-04-29,176580,0,false,5forty,2017-08-08T19:17:15Z,"","Chemikal Underground Records",0.357,0.267,4,-13.606,1,0.0314,0.879,0.919,0.107,0.448,138.3,3
spotify:track:4PBzOT3tMWQ2a31wDPjygj,"Yew Tree","Telling the Trees","RM Hubbert;Karine Polwart",2016-04-29,274124,0,false,5forty,2017-08-08T19:17:15Z,"folk,celtic,traditional folk","Chemikal Underground Records",0.39,0.18,9,-13.245,1,0.035,0.784,0.00127,0.092,0.271,95.155,3
spotify:track:1QJgoYMoHuhDiPxj97fIjs,"Chelsea Midnight","Telling the Trees","RM Hubbert;Eleanor Friedberger",2016-04-29,171818,0,false,5forty,2017-08-08T19:17:15Z,"","Chemikal Underground Records",0.532,0.232,7,-13.101,1,0.0352,0.631,0.0000358,0.152,0.447,150.101,4
