Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2xWx7P6Y6oV1L3e9EKN02V,"Sumer","Half-Light","Rostam",2017-09-15,215733,20,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.435,0.595,11,-8,1,0.0503,0.155,0,0.157,0.473,108.756,4
spotify:track:1acb8u70kClk6NjITaZyuG,"Bike Dream","Half-Light","Rostam",2017-09-15,201760,38,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.507,0.972,8,-2.723,1,0.087,0.0576,0.0000165,0.14,0.797,120.076,4
spotify:track:0DgWa8oXi3wn3Q67MaHRdw,"Half-Light (feat. Kelly Zutrau)","Half-Light","Rostam;Kelly Zutrau",2017-09-15,211013,34,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.313,0.478,2,-8.497,1,0.0384,0.822,0.00000833,0.144,0.427,71.074,4
spotify:track:50jWSmuyUwOoIulwexIsvp,"Thatch Snow","Half-Light","Rostam",2017-09-15,183760,20,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.54,0.228,7,-10.487,1,0.0283,0.918,0.00573,0.0882,0.0897,98.225,4
spotify:track:4zH4Cya0eAs9vFYKFNEUrH,"Wood","Half-Light","Rostam",2017-09-15,342426,32,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.41,0.554,11,-9.015,1,0.25,0.724,0.0847,0.084,0.661,71.2,4
spotify:track:3vfFNfRktrxUZijtqqCZlE,"Never Going To Catch Me","Half-Light","Rostam",2017-09-15,189600,20,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.792,0.678,7,-8.712,1,0.0453,0.578,0.000206,0.123,0.892,121.017,4
spotify:track:0SOh4qsNAaW1c8lEBl5TeY,"Don't Let It Get To You","Half-Light","Rostam",2017-09-15,317800,25,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.505,0.9,7,-7.74,1,0.0802,0.23,0.0798,0.397,0.723,79.985,4
spotify:track:2sReDBummEi4vINcKHRO48,"I Will See You Again","Half-Light","Rostam",2017-09-15,75533,17,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.431,0.357,10,-11.156,1,0.033,0.908,0,0.103,0.388,84.689,4
spotify:track:0B23Il5iZnqSfpQsyj1VbL,"Hold You (feat. Angel Deradoorian)","Half-Light","Rostam;Deradoorian",2017-09-15,153520,15,false,5forty,2017-09-20T14:47:26Z,"art pop,neo-psychedelic,krautrock","Nonesuch",0.459,0.448,7,-8.632,1,0.0675,0.441,0.00000152,0.366,0.269,80.046,4
spotify:track:4JweBwewnQ5BGvh1BUQVuL,"When","Half-Light","Rostam",2017-09-15,205853,15,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.557,0.627,7,-10.563,1,0.14,0.498,0.00413,0.121,0.696,81.861,4
spotify:track:5sCab5LlHPDB6NjvrZMwdX,"Rudy","Half-Light","Rostam",2017-09-15,233226,23,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.654,0.605,2,-9.031,1,0.136,0.377,0,0.0891,0.457,90.016,4
spotify:track:50GxesY5I0YSRt9nM9Psyl,"Warning Intruders","Half-Light","Rostam",2017-09-15,211480,15,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.58,0.526,11,-10.408,0,0.206,0.648,0.0000023,0.546,0.534,83.045,4
spotify:track:66yRwjXHj3Qb89Wb2lOUJR,"EOS","Half-Light","Rostam",2017-09-15,188066,23,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.231,0.426,0,-10.926,1,0.0693,0.951,0.000938,0.153,0.148,76.993,4
spotify:track:3VGA6JpyTEqrE0aKsouToJ,"Gwan","Half-Light","Rostam",2017-09-15,285946,32,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.43,0.358,9,-10.477,1,0.0334,0.948,0.00108,0.104,0.362,100.211,4
spotify:track:2DwgXZRUzDAL0RKhxDoWHI,"Don't Let It Get To You (Reprise)","Half-Light","Rostam",2017-09-15,120640,22,false,5forty,2017-09-20T14:47:26Z,"art pop","Nonesuch",0.357,0.217,7,-10.462,1,0.0326,0.937,0.0000299,0.0884,0.0693,79.188,4
