Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4YeQjNvqZlyeNlKLb7qSve,"Fallen Stars","Sirens and Satellites","SPC ECO",2013-10-28,310000,14,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.173,0.734,5,-7.158,1,0.0461,0.0000163,0.222,0.189,0.262,119.838,4
spotify:track:3kR5YXGreVtFOoPDOBKken,"Delusional Waste","Sirens and Satellites","SPC ECO",2013-10-28,304285,7,true,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.518,0.832,5,-7.458,1,0.0345,0.00168,0.307,0.157,0.413,120.011,4
spotify:track:2BaEPz7tpBA0p7g8M4W5H0,"Zombie","Sirens and Satellites","SPC ECO",2013-10-28,340952,8,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.343,0.579,6,-7.798,1,0.0344,0.00245,0.828,0.0892,0.067,125.93,4
spotify:track:1lugkatyYhDCIrrJWCKj1g,"Hold You Up","Sirens and Satellites","SPC ECO",2013-10-28,232000,2,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.392,0.563,2,-8.519,0,0.0269,0.114,0.35,0.0961,0.0679,89.936,4
spotify:track:1jLOhaL9joPCuFThHRlcRH,"High On It","Sirens and Satellites","SPC ECO",2013-10-28,286278,2,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.512,0.866,6,-7.356,0,0.0368,0.113,0.683,0.1,0.154,120.019,4
spotify:track:4VWWuLH1FNTZ2Xv7w1BNjs,"The Whole Day Long","Sirens and Satellites","SPC ECO",2013-10-28,307764,2,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.336,0.59,0,-9.708,0,0.0288,0.000129,0.686,0.0601,0.147,84.924,4
spotify:track:3luhMVeZbCIQ7qibE4KAWZ,"Make Me Stay","Sirens and Satellites","SPC ECO",2013-10-28,206896,2,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.313,0.916,7,-8.3,1,0.0498,0.00000307,0.822,0.276,0.17,173.654,4
spotify:track:2pD4q2RpY2eUbAsoQYLXGW,"Hold On Me","Sirens and Satellites","SPC ECO",2013-10-28,261363,2,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.52,0.862,0,-7.33,1,0.0312,0.000308,0.872,0.109,0.234,119.977,4
spotify:track:1aDRoDRX0ICkKocvz5tTmy,"Don't Need Fear","Sirens and Satellites","SPC ECO",2013-10-28,528000,2,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.573,0.403,0,-14.418,1,0.0316,0.496,0.716,0.0892,0.214,119.994,4
spotify:track:1JT9U88ABhXJaW2XFpZZzu,"Tweet Fields At Night","Sirens and Satellites","SPC ECO",2013-10-28,338181,2,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.469,0.349,0,-11.348,1,0.0275,0.198,0.942,0.0816,0.0689,109.958,4
spotify:track:6eer2oLPvSVs3xpeCM3itf,"Sirens and Satellites","Sirens and Satellites","SPC ECO",2013-10-28,301678,4,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.38,0.843,4,-6.809,1,0.0358,0.000123,0.944,0.139,0.179,143.02,4
spotify:track:7c0xhr7OZS3JmGCHWfmISl,"L.O.L the Witch Is Dead","Sirens and Satellites","SPC ECO",2013-10-28,142071,1,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.554,0.6,7,-9.505,1,0.034,0.00102,0.537,0.343,0.637,139.943,4
spotify:track:5fVBFaRmbXLsLb4MAP9ZVm,"You're Cold","Sirens and Satellites","SPC ECO",2013-10-28,287927,2,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.39,0.457,9,-11.692,1,0.026,0.0292,0.827,0.108,0.151,88.01,4
spotify:track:5qFFGl389bkTYAxoGGCtXe,"Free Fall","Sirens and Satellites","SPC ECO",2013-10-28,352000,1,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.401,0.583,5,-8.425,0,0.0349,0.00134,0.898,0.143,0.0825,120.009,4
spotify:track:7sjsmBnFaoDPUFtUvuHcQN,"Found","Sirens and Satellites","SPC ECO",2013-10-28,301500,2,false,5forty,2014-01-30T21:11:50Z,"shoegaze,dream pop","Kaboom Music",0.279,0.279,4,-12.701,1,0.0338,0.954,0.000148,0.083,0.141,92.105,5
