Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0fXgzWyxdZeqILCrRWZffO,"White Crosses - (Goldentone Studio Version)","Black Crosses","Against Me!",2011-07-26,194826,0,false,,2011-11-02T15:27:09Z,"queercore,folk punk,punk,skate punk","Total Treble",0.512,0.976,0,-2.844,1,0.0707,0.00176,0,0.358,0.584,138.387,4
spotify:track:1orFhhvtqaEXnln1iSVho4,"I Was A Teenage Anarchist - (Acoustic Version)","Black Crosses","Against Me!",2011-07-26,219240,0,false,,2011-11-02T15:27:09Z,"queercore,folk punk,punk,skate punk","Total Treble",0.719,0.65,10,-4.996,1,0.0276,0.568,0,0.0851,0.245,136.971,4
spotify:track:68QgzjtoCyvsH5UMnbxEE3,"Because Of The Shame - (Acoustic Version)","Black Crosses","Against Me!",2011-07-26,268426,0,false,,2011-11-02T15:27:09Z,"queercore,folk punk,punk,skate punk","Total Treble",0.741,0.459,2,-5.211,1,0.0273,0.396,0,0.194,0.362,142.039,4
spotify:track:3HIIOEQKJnOe19I93gnDHQ,"The Western World - (Goldentone Studio Version)","Black Crosses","Against Me!",2011-07-26,235866,0,false,,2011-11-02T15:27:09Z,"queercore,folk punk,punk,skate punk","Total Treble",0.457,0.873,2,-4.029,1,0.091,0.00313,0.0000166,0.0502,0.766,168.758,4
spotify:track:1cz1DhozKro7b1ytziDOTn,"Strip Mall Parking Lots - (Goldentone Studio Version)","Black Crosses","Against Me!",2011-07-26,141106,0,false,,2011-11-02T15:27:09Z,"queercore,folk punk,punk,skate punk","Total Treble",0.647,0.83,9,-4.245,0,0.0302,0.00336,0,0.343,0.711,111.2,4
spotify:track:4RUHaY0BmcgEYj6IDYa31S,"High Pressure Low - (Acoustic Version)","Black Crosses","Against Me!",2011-07-26,258466,0,false,,2011-11-02T15:27:09Z,"queercore,folk punk,punk,skate punk","Total Treble",0.677,0.674,11,-5.068,1,0.0285,0.359,0,0.106,0.624,92.508,4
spotify:track:4OD8tczoRdFr9d6OT8q8eD,"Hot Shots - (Goldentone Studio Version)","Black Crosses","Against Me!",2011-07-26,109466,0,false,,2011-11-02T15:27:09Z,"queercore,folk punk,punk,skate punk","Total Treble",0.476,0.976,7,-2.488,1,0.07,0.33,0,0.25,0.792,133.185,4
spotify:track:5RQGUgjLI00AgA74FOiDHX,"Spanish Moss - (Goldentone Studio Version)","Black Crosses","Against Me!",2011-07-26,142293,0,false,,2011-11-02T15:27:09Z,"queercore,folk punk,punk,skate punk","Total Treble",0.484,0.925,1,-3.162,0,0.0782,0.000127,0,0.0985,0.66,143.34,4
spotify:track:2ZkZqDZuyCXC6HiISJRn1L,"Rapid Decompression - (Goldentone Studio Version)","Black Crosses","Against Me!",2011-07-26,105133,0,false,,2011-11-02T15:27:09Z,"queercore,folk punk,punk,skate punk","Total Treble",0.353,0.958,0,-3.435,1,0.0609,0.0000538,0.0000514,0.223,0.602,165.516,4
spotify:track:08ymbYjDE0fte4HpY8G8Um,"Soul Surrender - (Goldentone Studio Version)","Black Crosses","Against Me!",2011-07-26,126200,0,false,,2011-11-02T15:27:09Z,"queercore,folk punk,punk,skate punk","Total Treble",0.531,0.858,8,-2.794,0,0.0298,0.00152,0,0.247,0.872,100.267,4
