Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2YU2H7maEAjBaI92UCFroS,"Carry On","Salt Rush","Salt Rush;Mark Peters",2016-06-24,210000,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.492,0.414,11,-10.102,1,0.0273,0.201,0.492,0.0854,0.12,102.054,3
spotify:track:7zPJumtBUgTcbo7vV923V0,"We Summon You","Salt Rush","Salt Rush;Mark Peters",2016-06-24,120550,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.566,0.703,5,-7.118,0,0.029,0.21,0.8,0.197,0.461,115.418,4
spotify:track:4NZqNJNA8nuO5hH497U5xg,"In Eternal","Salt Rush","Salt Rush;Mark Peters",2016-06-24,195500,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.401,0.627,5,-8.246,1,0.0326,0.442,0.0857,0.067,0.143,153.224,3
spotify:track:4GErAObE19MVKYB0lc4P1B,"Reveal Yourself","Salt Rush","Salt Rush;Mark Peters",2016-06-24,169400,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.548,0.951,10,-2.24,0,0.027,0.0389,0.493,0.129,0.691,130.402,4
spotify:track:0vcmAKHWffMOt0Ur7CG6Lo,"Always","Salt Rush","Salt Rush;Mark Peters",2016-06-24,211000,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.459,0.651,3,-8.825,1,0.0273,0.000117,0.688,0.103,0.197,129.416,3
spotify:track:4eVbRIjkPGRdzT9sYQsFj0,"Cascades","Salt Rush","Salt Rush;Mark Peters",2016-06-24,218896,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.539,0.67,3,-9.91,1,0.0279,0.0115,0.111,0.119,0.333,113.006,4
spotify:track:6nMvOuwtVAJzWBWF2EP7VW,"Cormorant Flying","Salt Rush","Salt Rush;Mark Peters",2016-06-24,177240,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.505,0.535,1,-7.79,1,0.0286,0.0451,0.00166,0.188,0.285,120.025,3
spotify:track:5vqP8wWHskQpxk84jFhctP,"Salt Rush","Salt Rush","Salt Rush;Mark Peters",2016-06-24,259859,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.518,0.788,10,-5.808,0,0.0305,0.176,0.00118,0.091,0.222,109.935,3
spotify:track:49MnmvYmUuEF0CNlU3JLTm,"Where Elka Lie","Salt Rush","Salt Rush;Mark Peters",2016-06-24,154057,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.447,0.62,8,-11.278,1,0.0273,0.0472,0.856,0.0793,0.174,152.06,4
spotify:track:5mISsr6x3yhjqVhGZHOX37,"Whomsoever","Salt Rush","Salt Rush;Mark Peters",2016-06-24,168445,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.556,0.726,6,-9.702,1,0.0298,0.0228,0.946,0.0876,0.793,134.778,4
spotify:track:3BsFe0hbS7ggWtjw29lwDQ,"Ritornello","Salt Rush","Salt Rush;Mark Peters",2016-06-24,216658,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.414,0.783,2,-8.884,1,0.037,0.0153,0.0629,0.102,0.203,100.585,4
spotify:track:5tCagFiEzSZD9aOybWWtxt,"Interlude","Salt Rush","Salt Rush;Mark Peters",2016-06-24,158800,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.491,0.692,5,-7.469,1,0.0314,0.101,0.0363,0.0941,0.0461,135.017,3
spotify:track:4sWl8VPg8FjXPdePIPy2Vl,"Cross Ancient Blue","Salt Rush","Salt Rush;Mark Peters",2016-06-24,195666,0,false,5forty,2017-11-21T11:48:42Z,"dream pop,avant-garde,ambient","Pedigree Cuts",0.38,0.485,0,-10.802,1,0.0272,0.00132,0,0.142,0.206,81,4
