Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1sSh7ltlG7MvKGBNLkYdFz,"Pristine Christine","Stardust","The Sea Urchins",1992-01-01,168626,0,false,,2011-04-18T11:09:39Z,"","Sarah Records",0.315,0.774,2,-9.1,1,0.0289,0.000735,0.953,0.334,0.941,165.993,4
spotify:track:78ISES9b8EExjBV4shJJbY,"Sullen Eyes","Stardust","The Sea Urchins",1992-01-01,184706,0,false,,2011-04-18T11:58:21Z,"","Sarah Records",0.427,0.414,7,-10.764,1,0.0292,0.138,0.00116,0.0693,0.799,111.134,4
spotify:track:55qTvcpHoc0V5jjZrFheSt,"Everglades","Stardust","The Sea Urchins",1992-01-01,191760,0,false,,2011-04-18T11:46:47Z,"","Sarah Records",0.364,0.734,5,-11.124,1,0.0316,0.0595,0.033,0.0778,0.627,143.155,4
spotify:track:0PTYx9FjQzBss38XrumhZf,"Anorak City","London Weekend","Another Sunny Day",1993-01-01,138160,0,false,,2011-04-18T11:27:35Z,"jangle pop","Sarah Records",0.264,0.661,8,-8.171,1,0.0419,0.00000172,0.796,0.121,0.32,174.323,4
spotify:track:5tJ0iG48T1RlgofhTmgNPR,"Come Get Me","Air Balloon Road","14 Iced Bears",1984-12-31,138080,0,false,,2011-04-18T11:40:55Z,"jangle pop,shoegaze,dream pop","Sarah Records",0.219,0.504,0,-12.315,1,0.0346,0.000394,0.0000361,0.0923,0.518,178.141,4
spotify:track:3VwdFL0UgcWHgl1fwxS6ut,"Dreamabout","Air Balloon Road","Poppyheads",1984-12-31,255146,0,false,,2011-04-18T11:42:29Z,"jangle pop,power pop","Sarah Records",0.392,0.478,7,-11.979,1,0.0287,0.0128,0.0929,0.0784,0.566,90.892,4
spotify:track:6DzOqikKvMg49HIWcCSs5U,"I'm In Love With A Girl Who Doesn't Know I Exist","London Weekend","Another Sunny Day",1993-01-01,98706,0,false,,2011-04-18T11:57:19Z,"jangle pop","Sarah Records",0.661,0.52,7,-11.246,1,0.0314,0.308,0.372,0.333,0.83,104.669,4
spotify:track:04xckGePFdgdlzuDYngJdG,"Things Will Be Nice","London Weekend","Another Sunny Day",1993-01-01,114133,0,false,,2011-04-18T12:04:50Z,"jangle pop","Sarah Records",0.475,0.534,2,-10.04,1,0.0315,0.0293,0.0685,0.116,0.762,80.614,4
spotify:track:6ADjdQgZj1IMQDkCpGBS4W,"The Centre Of My Little World","London Weekend","Another Sunny Day",1993-01-01,156666,0,false,,2011-04-18T12:04:56Z,"jangle pop","Sarah Records",0.627,0.621,4,-10.798,1,0.0345,0.11,0.457,0.143,0.641,136.075,4
spotify:track:7fVPRTYkTeVYmkJsGCaprd,"Solace","Stardust","The Sea Urchins",1992-01-01,229640,0,false,,2011-04-18T12:02:55Z,"","Sarah Records",0.197,0.778,2,-8.948,1,0.0341,0.000575,0.018,0.123,0.495,169.878,4
